movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
21bridgesmovie,0.0,0.5954575,0.34219468,0.6637252,0.51745325,0.47041455,0.21176666,0.34166482,0.69390506,0.58005834,0.274003,0.3785221,0.5452008,0.52924484,0.695255,0.2879255,0.53191096,0.60660815,0.36350346,0.0,0.35187158,0.26643288,0.31309372,0.6430357,0.5432871,0.576823,0.5903125,0.5448542,0.0,0.48245305,0.03201539,0.34305033,0.39720574,0.50362575,0.3872567,0.17598951,0.69979304,0.0,0.74571854,0.65520155,0.24930915,0.41996047,0.49399513,0.36573124,0.12290153,0.0,0.7411286,0.590696,0.60396796,0.2971115,0.0,0.51058984,0.0,0.40972772,0.08871458,0.28320917,0.51804256,0.37857783,0.6690651,0.38137072
47metersdown,0.0,0.6910689,0.5329392,0.62801844,0.69711584,0.29872748,0.2404563,0.44758716,0.8985688,0.5134129,0.16884306,0.34875995,0.33107847,0.4330523,0.6318561,0.25691488,0.81126875,0.7894006,0.23225856,0.0,0.37502024,0.45828986,0.49296656,0.76014346,0.64290327,0.55571514,0.5759127,0.6303204,0.0,0.6285798,0.09253495,0.40095302,0.58885974,0.66191113,0.41510028,0.06813531,0.6394376,0.07740826,0.5527309,0.4398884,0.49187985,0.5241283,0.5905578,0.3803771,0.262857,0.0,0.6752295,0.61739504,0.76024395,0.6439526,0.0,0.67678785,0.0,0.586799,0.098188214,0.4038308,0.44319442,0.6300852,0.5197988,0.48264524
abeautifuldaymovie,0.0,0.498552,0.33491883,0.4332606,0.39103347,0.49273527,0.22929837,0.3353932,0.8536354,0.53725344,0.21470527,0.29452837,0.4279827,0.47011995,0.63806957,0.04542204,0.6700432,0.4920887,0.22137439,0.0,0.46209303,0.3875871,0.27152288,0.44570985,0.6186089,0.37673655,0.5668366,0.52617157,0.0,0.53226674,0.029999977,0.45073393,0.4948047,0.5364889,0.31846744,0.21843675,0.6436301,0.06490296,0.46052024,0.45814392,0.19244576,0.36373067,0.42921567,0.3099934,0.17169583,0.0,0.63922715,0.48100677,0.47976202,0.59670395,0.0,0.46753782,0.0,0.6588587,0.038810007,0.4312289,0.41986668,0.4546507,0.47894382,0.38830924
abominablemovie,0.0,0.78155434,0.63874143,0.80343217,1.0198857,0.5851077,0.47354552,0.4301974,1.2479246,0.73888487,0.64481235,0.525508,0.65939486,0.7047293,0.8249393,0.32194865,1.0735414,0.6823606,0.6106225,0.0,0.52539104,0.6121613,0.60373586,0.8775908,0.81443304,0.97223294,0.86617506,0.8366789,0.0,0.9084048,0.2823555,0.75557226,0.47644454,0.73319,0.428933,0.14545313,1.0200241,0.028998533,0.9804716,0.58321226,0.5276739,0.51534754,1.0666,0.42691976,0.4930707,0.0,1.002674,0.81013346,0.6701705,0.5729711,0.0,0.6276584,0.047725867,0.9246798,0.16364947,0.52187383,0.5320523,0.87508947,0.9981895,0.6558766
adastramovie,0.0,0.3487497,0.37161872,0.4861816,0.35179642,0.43855342,0.13978636,0.41163436,0.7462937,0.39281094,0.18094003,0.39800835,0.457895,0.31959164,0.46306956,0.2129974,0.4951467,0.54897344,0.33896115,0.0,0.38561088,0.37271604,0.25410253,0.4991963,0.5134927,0.35392153,0.47602546,0.38801482,0.0,0.42661387,0.13894139,0.33813483,0.5669294,0.48519495,0.25901482,0.17094254,0.3984188,0.0,0.5272258,0.5843236,0.2412068,0.4448333,0.518569,0.25421834,0.085780665,0.0,0.56228745,0.5310479,0.4839716,0.45866865,0.0,0.40658915,0.0,0.54672694,0.2334547,0.3561791,0.41034743,0.37512663,0.55334735,0.3180175
adogsjourneymovie,0.0,1.2581133,0.79093975,1.3663268,1.2116693,1.1810775,0.75342363,0.62403345,1.5200313,1.057273,0.62429535,0.5907763,1.3829664,0.6916159,1.3652563,0.30075946,1.487663,1.6305281,0.52176005,0.0,0.7778526,1.1171578,1.4588801,1.320104,1.2505345,1.0023885,1.2161419,1.1723173,0.0,1.2008437,0.11079678,0.79571074,0.7396382,0.8216243,0.59295,0.27744848,1.4814023,0.42200717,1.6934171,1.2063898,0.6769609,1.1658677,1.5344362,0.76858157,0.49735716,0.0,1.8940456,1.2385603,1.1011256,1.1288036,0.0,1.0496788,0.0,0.9117231,0.35533988,0.836345,0.9649223,0.9525588,0.7115788,1.2255735
aftermathmovie,0.0,0.37639463,0.2879077,0.5008426,0.41329163,0.44936708,0.2188956,0.27547783,0.5901784,0.47015998,0.29083356,0.3353077,0.4537778,0.4260891,0.5860789,0.07423939,0.55470204,0.4972119,0.2991323,0.0,0.41626906,0.32118106,0.42124477,0.4586994,0.552144,0.37535965,0.3810921,0.42114407,0.0,0.43010148,0.13423127,0.41683757,0.33710554,0.46331102,0.303546,0.14258704,0.6153453,0.055804305,0.55067337,0.5875926,0.31994712,0.3946618,0.5362462,0.33564645,0.20642649,0.0,0.54781204,0.48991933,0.53691196,0.4152538,0.0,0.42115748,0.0,0.4674349,0.18212621,0.29813847,0.23661561,0.31309095,0.46829954,0.43070588
aftermovie,0.0,0.36660367,0.20248686,0.37742385,0.58825475,0.45777264,0.26221895,0.4018102,0.61822015,0.46259716,0.26058984,0.3681731,0.37568623,0.28909552,0.5803229,0.10662876,0.64876896,0.45424363,0.28841054,0.0,0.45259196,0.4339896,0.4448419,0.6505684,0.52311534,0.5862386,0.5561862,0.4819456,0.0,0.61297166,0.16272241,0.44031686,0.4367794,0.5636543,0.28163728,0.19307823,0.61090493,0.0,0.6744284,0.5981832,0.45300132,0.46388286,0.35585052,0.4345533,0.10617807,0.0,0.5471686,0.71660376,0.48626086,0.39077818,0.0,0.44920802,0.0,0.5440573,0.0,0.46291324,0.46501938,0.35095832,0.5526946,0.43389115
ahiddenlifefilm,0.0,0.21429245,0.1381633,0.2385853,0.2065266,0.1976602,0.10913495,0.15830177,0.3257894,0.20235029,0.1300268,0.1496569,0.24005419,0.15907584,0.2758626,0.087159656,0.29114825,0.24695203,0.14978611,0.0,0.17394647,0.18043959,0.17039907,0.24601257,0.25079286,0.19777977,0.25361544,0.23172298,0.0,0.2350989,0.04973845,0.17619298,0.19295014,0.23629932,0.13538706,0.06980373,0.2894226,0.04694973,0.2593929,0.25299233,0.112855695,0.19819716,0.2541774,0.1492181,0.07001379,0.0,0.2816016,0.2659017,0.24046408,0.2094344,0.0,0.22877264,0.0,0.2379805,0.074497074,0.18029815,0.19658689,0.18659432,0.21648835,0.19537072
alitamovie,0.0,0.6520573,0.8705564,0.92240405,0.67590696,0.7590021,0.4154509,0.45092088,0.9480926,0.46840292,0.32157823,0.47338066,0.56132036,0.6752719,0.7865712,0.38155493,0.930332,0.82937545,0.4366568,0.0,0.54514325,0.7556179,0.59444356,0.8750112,0.7520321,0.7502928,0.7531731,0.9672822,0.0,0.77184975,0.3191811,0.715937,0.6526071,0.62361497,0.32082373,0.37722185,1.1319301,0.11049169,0.93232113,0.784871,0.4073197,0.5297729,0.9377024,0.37599295,0.30937153,0.0,0.72797775,1.0204146,0.9421688,0.59346366,0.0,0.81392676,0.0,0.8615734,0.3535183,0.5871389,0.5274061,0.69820756,0.8085617,0.65707827
angelhasfallen,0.0,0.7055195,0.38890538,0.66873085,0.6296687,0.7957945,0.36882535,0.33903185,1.1877592,0.42801008,0.34823072,0.6692217,0.8408879,0.81211144,0.7696048,0.36950114,0.885267,0.84791356,0.5522726,0.0,0.6171823,0.5380985,0.53381294,0.95358163,0.93470705,0.7249096,0.7542263,0.7348243,0.0,0.6956712,0.17213409,0.48535532,0.5954593,0.9162293,0.54279023,0.25253785,0.71291965,0.0446259,0.9108076,0.77627033,0.3481779,0.55143553,0.8634788,0.6012241,0.24509707,0.0,0.8388841,0.7737858,0.8304842,0.68098843,0.0,0.6714949,0.0,0.79220784,0.3014435,0.4974359,0.63013864,0.5761995,0.64386016,0.75401515
