movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
21bridgesmovie,0.0,0.12729229,0.41137493,0.6402012,0.638675,0.5672269,0.3197857,0.62865436,0.56183445,0.280912,0.49149278,0.19581251,0.56150556,0.085547514,0.5116134,0.056978397,0.67451304,0.66698617,0.5996865,0.2010492,0.6779495,0.35669038,0.0,0.5690133,0.16109434,0.48995477,0.5215848,0.4479931,0.27079678,0.65155023,0.0,0.679653,0.09068072,0.317105,0.16261612,0.027541097,0.60335714,0.4758489,0.33103523,0.6263085,0.7700544,0.4129602,0.70921487,0.20787144,0.4500916,0.5827986,0.5843218,0.44472057,0.20076618,0.5048402,0.48423094,0.34786364,0.63434666,0.40272418,0.5310086,0.0,0.5364276,0.48599517,0.44395807,0.0
47metersdown,0.0,0.20302862,0.13401234,0.8681681,0.81428295,0.68105274,0.3554308,0.52663,0.68432593,0.4937903,0.7366544,0.3042297,0.49453223,0.034534603,1.0114683,0.12086403,0.8278858,0.6085759,1.0433068,0.4806771,0.7426202,0.46929148,0.0,0.42352766,0.41238767,0.80732936,0.6290526,0.45289493,0.7636142,0.7256971,0.0,0.66673124,0.124031216,0.6101928,0.498158,0.18167122,0.7109982,0.7097989,0.5680967,0.80343527,0.8004313,0.32219908,0.8899659,0.5774152,0.35748973,0.8032101,0.7213739,0.81570286,0.123714305,0.90440387,0.33633062,0.34377095,0.6667219,0.45993295,0.56613386,0.0,0.76700777,0.8305568,0.2761083,0.0
abeautifuldaymovie,0.0,0.12555861,0.4675101,0.6607628,0.6388504,0.71829855,0.46706274,0.59932035,0.56330144,0.17592488,0.7602893,0.30834395,0.34276134,0.08281525,0.6973959,0.16395846,0.49736336,0.54071665,0.67131597,0.3511888,0.73943543,0.32495925,0.0,0.5955068,0.24681446,0.7012219,0.49088952,0.3306683,0.36476204,0.8270771,0.0,0.49081564,0.042303115,0.41072792,0.16024494,0.0,0.64864963,0.50216645,0.40732455,0.5263739,0.6974991,0.23756602,0.5437001,0.45328292,0.52708715,0.6854022,0.42470986,0.5274957,0.1738128,0.67806166,0.6311641,0.22759336,0.6562246,0.30747047,0.44530305,0.0,0.4359475,0.6683447,0.33382025,0.0
abominablemovie,0.0,0.1931414,0.87111413,1.1450279,0.9423661,1.0972306,0.5166692,0.8955441,1.0296978,0.42587206,0.7010999,0.3244734,0.633757,0.044056367,1.1346349,0.07142922,0.9239819,0.7388482,1.1928017,0.3943367,1.019795,0.8529163,0.0,0.58616,0.25557733,0.89574796,0.65652484,0.49628884,0.42708308,0.9172345,0.0,0.9663591,0.3224546,0.4716514,0.33686432,0.21518803,0.9787785,1.0450227,0.58618903,1.0231544,1.3054867,0.5096286,0.80258197,0.47716874,0.6792265,0.9444668,0.8123399,0.56684065,0.50338036,1.0481966,0.73877466,0.5744761,1.0554595,0.6001166,0.7470033,0.0,0.8538215,0.63462585,0.28616658,0.0
adastramovie,0.0,0.16640973,0.34789315,0.49713466,0.5628275,0.50155747,0.097721435,0.4022882,0.46974677,0.23144646,0.5734954,0.30173597,0.36486918,0.11373022,0.74945086,0.01838431,0.54690063,0.5393086,0.72198254,0.34632996,0.7084083,0.1963809,0.0,0.47316676,0.19677746,0.6946374,0.42270094,0.21621679,0.1605842,0.60866106,0.0,0.6218049,0.16404581,0.3197559,0.17988507,0.04134824,0.5635508,0.58195627,0.29260382,0.4567103,0.8120647,0.38032013,0.5935348,0.38267568,0.1818542,0.5604713,0.4623537,0.37838557,0.36985675,0.6639902,0.38673913,0.28335673,0.52297145,0.31499287,0.37721458,0.0,0.44931594,0.45955306,0.24432954,0.0
adogsjourneymovie,0.0,0.1189719,1.0361305,1.2496858,1.3766009,1.0644741,0.6809808,1.2700862,1.3811392,0.2783938,1.3563433,0.7316021,1.1288798,0.21928401,1.3514403,0.09741224,1.387385,1.2239679,1.57724,0.58366895,1.4943005,0.7253415,0.0,1.4601617,0.5153105,1.1654173,1.1333574,1.1315181,0.59337,1.5858885,0.0,1.132242,0.6919536,0.6315914,0.29295278,0.17700633,1.2746948,0.69217044,1.025891,0.92153955,1.5033376,0.61254925,1.2170641,0.63498247,0.9828014,1.4266158,0.9892846,0.8833317,0.598873,1.0795308,1.3480624,0.4270284,1.430995,0.5873374,0.9930895,0.0,1.1562142,0.9630663,0.9660698,0.0
aftermathmovie,0.0,0.088306785,0.34793347,0.44100532,0.39320463,0.45128337,0.1818353,0.34825808,0.34233207,0.16357417,0.4171069,0.19725479,0.30138654,0.13454287,0.5601594,0.09628766,0.5141891,0.38261947,0.51206005,0.29343617,0.4378402,0.2520679,0.0,0.48821816,0.21548507,0.45268723,0.33022887,0.26543346,0.40015718,0.54695845,0.0,0.48153225,0.11706572,0.23122464,0.14096794,0.0,0.58899176,0.4013235,0.351767,0.35943148,0.5927875,0.30302182,0.5161529,0.3089787,0.29133996,0.41238877,0.40994257,0.36456627,0.18720086,0.55720705,0.31066397,0.31081843,0.44891775,0.21092534,0.3845244,0.0,0.4749852,0.38777924,0.2445402,0.0
aftermovie,0.0,0.083135255,0.360667,0.58300865,0.6462536,0.63653535,0.45196387,0.6180133,0.4754801,0.12094176,0.74213433,0.33925578,0.46369016,0.0,0.5743329,0.091330156,0.5213785,0.44202986,0.7586405,0.42131925,0.6906221,0.4298623,0.0,0.50485444,0.20153122,0.47162196,0.43803015,0.46821368,0.24970046,0.7725885,0.0,0.6822859,0.012619283,0.2651805,0.15146108,0.041461874,0.7263988,0.46241575,0.372647,0.4008736,0.5858131,0.37081954,0.60177404,0.2746529,0.4917244,0.60906446,0.4113704,0.3481059,0.11285224,0.4726401,0.56516194,0.3375896,0.6423331,0.36239228,0.40233934,0.0,0.5365726,0.43544984,0.3541372,0.0
ahiddenlifefilm,0.0,0.05981645,0.18302435,0.25122866,0.23082864,0.2452324,0.13854545,0.25402606,0.21459885,0.09251583,0.2681864,0.09806744,0.19081077,0.03174873,0.28684762,0.02592632,0.2258037,0.25214234,0.3283725,0.14508924,0.27672786,0.13392195,0.0,0.2326007,0.07937808,0.26435566,0.18965743,0.17041674,0.15073219,0.29202446,0.0,0.2649242,0.062793866,0.13504131,0.08649117,0.050730884,0.2796194,0.2519884,0.16201404,0.21176082,0.30864513,0.1594283,0.22468175,0.17516197,0.18085487,0.25857782,0.18630369,0.21727774,0.09606496,0.26998335,0.21641561,0.1052998,0.24030848,0.12270266,0.17028755,0.0,0.22546966,0.22504051,0.13631585,0.0
alitamovie,0.0,0.05678615,0.5829019,0.8851843,0.7333712,0.7658919,0.33684537,0.8244129,0.6514007,0.53062236,0.8144578,0.13095808,0.6859033,0.16361822,1.0902809,0.28657377,0.7294206,0.8590507,1.081985,0.5734086,0.9735721,0.40418,0.0,0.7300794,0.4166469,0.982277,0.6602029,0.42309213,0.44370794,1.0742563,0.0,0.96716034,0.294409,0.66617346,0.4382235,0.091455676,1.0661484,0.72057045,0.58209884,0.78951013,1.2209766,0.5810054,0.59560627,0.4039809,0.39108452,0.60905653,0.5798699,0.4402182,0.29603544,0.82359844,0.59351325,0.51611495,0.71787894,0.7063956,0.8210876,0.0,0.6750175,0.50777835,0.39351276,0.0
