movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
21bridgesmovie,1.9374725,1.684304,2.2632773,1.5040168,1.4560807,1.6040493,0.0,1.7840778,0.0,0.0
47metersdown,1.6853958,1.4879363,1.6732832,1.368837,0.8483648,0.97145224,0.0,1.330273,0.073808216,0.0
abeautifuldaymovie,1.430887,1.2095752,1.8504469,1.2486348,1.0747746,1.2807922,0.0,1.3644716,0.020433484,0.0
abominablemovie,1.1381761,0.8490114,2.806068,1.5419805,1.122621,0.4544225,0.0,0.59683996,0.6876739,0.0
adastramovie,1.4796803,1.3409863,1.7303611,1.5545356,1.19847,1.1401342,0.0,1.4241637,0.0011558328,0.0
adogsjourneymovie,0.69286144,0.7608115,2.0538185,0.8499917,1.4197329,1.1638688,0.0,0.26058498,0.34228396,0.55438876
aftermathmovie,1.4097887,1.2209524,1.843345,1.2013961,1.1282328,1.2220522,0.0,1.3076915,0.0,0.0
aftermovie,1.361849,1.1937351,2.0489097,1.2760385,1.4221109,1.418323,0.0,1.270579,0.07942899,0.0
ahiddenlifefilm,0.8204258,0.75657856,1.0928403,0.7265608,0.75762725,0.7686331,0.0,0.79332244,0.0,0.0
alitamovie,0.8371015,0.620568,1.4158753,1.4201102,0.8785891,0.634516,0.0,0.768526,0.203232,0.18789305
angelhasfallen,1.2510723,1.2991097,2.2939396,1.1805159,1.4996533,1.242727,0.0,1.052834,0.32904404,0.0
angrybirdsmovie,0.3333204,0.87307036,1.7041229,0.12486373,1.0138953,1.4667885,0.0,0.504273,0.07459598,0.011894446
annabellemovie,1.4575857,1.6313889,3.069848,1.2587824,2.1172276,1.4564822,0.0,1.2464253,0.3591896,0.14510699
annamovie,1.5285646,1.3024474,2.1200788,1.4430497,1.42314,1.4318243,0.0,1.3245081,0.11924545,0.0
apollo11movie,1.1711311,1.1734084,1.5405062,1.0050861,1.1600856,1.2586422,0.0,1.3252763,0.012979964,0.0
arcticdogsmovie,1.0629437,1.0170254,1.5369693,0.82451767,0.8623944,0.8958788,0.0,1.1308728,0.053118832,0.0
arcticmovie,0.7360469,0.89054215,1.30025,0.6322559,0.91128576,0.89004993,0.0,0.6741079,0.08095617,0.0
artofracingmovie,1.4782876,1.5325097,2.0136108,1.5115845,1.2814969,1.1072141,0.0,1.3944281,0.0,0.0
avengers,0.99367684,0.98236823,1.4786235,0.66656256,0.88820094,0.97984815,0.0,0.9926734,0.13728304,0.0
beachbummovie,1.0932451,1.2938037,1.6425363,1.108669,0.9387401,1.2097985,0.0,1.7079061,0.14571396,0.17480563
bernadettefilm,1.3764611,1.3724349,2.294176,0.9931457,1.5146462,1.5046127,0.0,1.6333874,0.05390715,0.24300681
blackandbluemovie,0.9124906,0.99283236,1.750255,0.89039475,1.1849672,1.3757468,0.0,1.0899374,0.33150417,0.6038152
blackchristmas,1.5065839,1.2255497,2.0536127,1.339819,1.5992204,1.3900619,0.0,1.3116647,0.080316804,0.0
blindedbythelightmovie,1.336001,1.0615368,1.3625484,1.1000068,1.2377981,1.1640773,0.0,1.1673145,0.0,0.0
bombshellmovie,0.5632403,0.49560133,1.1249424,1.3283212,0.77724326,0.36428997,0.0,0.50624317,0.48975864,0.36496696
booksmart,0.0,0.0,2.1009865,2.217566,0.0,0.0,0.0,0.0,3.2544968,1.5321187
breakthroughmovie,0.9423984,0.85210085,1.8563108,1.137464,1.2652185,1.0324087,0.0,0.522355,0.5787878,0.2583204
brianbanksmovie,1.2719771,1.6126354,2.3241208,1.2396286,1.4607079,1.1254416,0.0,1.2972332,0.5535141,0.22119342
brightburnmovie,1.6846888,1.3815519,1.8996319,1.439451,1.1618983,1.4474746,0.0,1.5671031,0.0,0.0
brittanyrunsmov,0.5218214,0.68761766,0.63600045,0.6700663,0.59411114,0.49204376,0.0,0.6445644,0.16231859,0.0
captainmarvelofficial,1.0042453,1.1937011,1.9609638,0.9425326,1.0340278,1.0768745,0.0,1.0722225,0.22425301,0.0
captivestatemovie,1.0020281,1.1646338,1.7724925,1.0122705,1.0196773,1.3698604,0.0,1.0458808,0.37458262,0.07294561
catsmovie,0.60413396,1.1123744,2.0009007,0.7535444,1.5255641,1.2770008,0.0,0.5953338,0.68568236,0.0
