movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119
21bridgesmovie,0.22914307,0.22858547,0.22435646,0.3258881,0.0,0.2382698,0.21049255,0.26151657,0.62618315,0.44727284,0.3957638,0.042305242,0.25565565,0.25400978,0.16096362,0.5489941,0.5862561,0.29347768,0.36523664,0.17415123,0.0,0.48465338,0.3215548,0.4110684,0.11802604,0.0,0.3685765,0.0,0.43791956,0.55282724,0.5630927,0.44615787,0.0,0.46111786,0.346846,0.1381804,0.11833475,0.3353015,0.46611094,0.18767586,0.39108393,0.45045272,0.5522481,0.19279596,0.41566223,0.26942387,0.44592404,0.53219056,0.0,0.0,0.4964967,0.0,0.5643551,0.1350499,0.0,0.0,0.47054306,0.26106435,0.048255287,0.367817,0.17136851,0.39834937,0.25185162,0.3479968,0.4088129,0.0,0.28990158,0.4986428,0.0,0.19141127,0.29039332,0.12123628,0.54776967,0.36242333,0.5473006,0.27597097,0.35434237,0.0,0.6626918,0.5068862,0.5488242,0.5306963,0.39663026,0.0,0.47780994,0.0,0.081711784,0.59341884,0.295978,0.4389979,0.43948507,0.3164863,0.32002065,0.309883,0.0678346,0.38883716,0.588378,0.21843447,0.7300419,0.35101053,0.6069266,0.29524016,0.056113787,0.31101578,0.44920543,0.0,0.25061378,0.0,0.5768964,0.4737619,0.0,0.2729852,0.4736615,0.43922976,0.15740642,0.24947166,0.35374242,0.41274315,0.54184324,0.2254764
47metersdown,0.33798578,0.0,0.4776086,0.4132648,0.0,0.29457378,0.28118235,0.29543406,0.74134094,0.64063466,0.29550678,0.15245375,0.35037816,0.2562258,0.106226034,0.5386464,0.6743145,0.22065622,0.5585739,0.37537053,0.34275338,0.36736408,0.6319655,0.2536951,0.22558953,0.0,0.44688508,0.0,0.73137957,0.9257493,0.7493307,0.38779452,0.0,0.43366414,0.4513007,0.4191876,0.06973666,0.45809755,0.5442467,0.45996827,0.38604742,0.4544232,0.447032,0.17071968,0.3513341,0.32322964,0.41205257,0.46378803,0.121060565,0.0,0.69753003,0.0,0.6024151,0.029850807,0.0,0.0,0.7964804,0.3459808,0.11462487,0.42706674,0.21544406,0.6073118,0.44126517,0.44988278,0.42961356,0.0,0.32109895,0.6866953,0.0,0.23073238,0.4876667,0.33828217,0.358183,0.28021425,0.46540028,0.23151574,0.55690384,0.0,0.50885105,0.6312997,0.5681721,0.50882894,0.6285984,0.0,0.34697768,0.0,0.0019240463,0.5603423,0.38119116,0.5622732,0.45993337,0.48985183,0.39068487,0.49648756,0.19279072,0.31025767,0.51440746,0.28190383,0.82148784,0.24293533,0.6924973,0.32454526,0.2835269,0.6825218,0.5787174,0.0,0.3827813,0.0,0.93928003,0.20273356,0.0,0.30325574,0.5847336,0.5399211,0.0,0.55132943,0.41466808,0.49707395,0.5400498,0.01478124
abeautifuldaymovie,0.23946707,0.27779803,0.42812532,0.46172196,0.0,0.29933882,0.5207465,0.28593343,0.550173,0.4951444,0.3478519,0.090723775,0.2438326,0.06634499,0.36341026,0.46784687,0.5199057,0.38678664,0.38135618,0.22166182,0.06571933,0.5171446,0.34058824,0.30510977,0.12745686,0.03698547,0.25434515,0.0,0.41309273,0.6248394,0.5760527,0.29650524,0.0,0.5774032,0.13136874,0.46680182,0.07147163,0.37707815,0.5323185,0.05957631,0.45461044,0.45887002,0.37790388,0.08958292,0.4320116,0.17903343,0.41306543,0.61723244,0.0,0.0,0.22434705,0.0,0.47630617,0.046609715,0.0,0.053179234,0.62224466,0.22336538,0.052054793,0.44976342,0.16091402,0.3346288,0.33164376,0.2749607,0.4237897,0.0,0.25485012,0.3447891,0.0,0.18985721,0.27002615,0.11065333,0.38498613,0.48891497,0.608563,0.14325738,0.3756032,0.0,0.5203605,0.5201086,0.39319897,0.3698973,0.4035074,0.0,0.29298016,0.0,0.19300333,0.435824,0.4335509,0.613511,0.4216436,0.38319618,0.3968154,0.364092,0.12945737,0.47350663,0.61977744,0.45539254,0.71624625,0.34113026,0.52985024,0.34894186,0.030832406,0.6022444,0.37423992,0.0,0.21924949,0.0,0.62785804,0.46606743,0.0,0.1716889,0.34663594,0.37369215,0.021128055,0.29490498,0.46110645,0.40138167,0.5378558,0.18930672
abominablemovie,0.1464342,0.25855228,0.199695,0.28341728,0.0,0.31794515,0.6963488,0.5098016,0.72390324,0.5988183,0.741221,0.20711853,0.3514526,0.43270218,0.126136,0.7107635,0.6817501,0.52563643,0.50729257,0.22287688,0.32848004,0.9065355,0.7700266,0.65718895,0.27733508,0.0,0.39635754,0.0,0.64777756,0.8817996,0.83364946,0.48553902,0.0,0.47461963,0.23985806,0.40468836,0.10244527,0.566209,0.892124,0.094720006,0.363509,0.5261705,0.54318506,0.31076375,0.5002824,0.31792033,0.7269178,0.70413464,0.05325242,0.0,0.4315405,0.0,0.37568983,0.0,0.0,0.0,0.7661995,0.4212526,0.07787425,0.48471934,0.30909446,0.48770377,0.32036918,0.5133763,0.45723316,0.0,0.4712279,0.33315042,0.0,0.48105055,0.7413532,0.20922162,0.73642355,0.3951232,0.71052873,0.34505326,0.61980283,0.0,0.61538476,0.5902417,0.9010539,0.63929,0.39654377,0.0,0.3617594,0.0,0.0,0.69925046,0.34654635,0.64656574,0.5251178,0.30642343,0.32148454,0.46090382,0.18347609,0.278258,0.7620234,0.39279354,0.65647066,0.3424066,0.77648616,0.31632614,0.3777798,0.9390253,0.32884783,0.0,0.15899095,0.0,1.1977459,0.5909168,0.0,0.43859094,0.5577258,0.6079192,0.105161764,0.23893641,0.51383466,0.48347956,0.4492059,0.25596917
adastramovie,0.2460851,0.1700644,0.21014926,0.405437,0.0,0.14315048,0.25436184,0.3193351,0.58663803,0.34775817,0.26432946,0.16718788,0.08991343,0.11290768,0.14798482,0.45765823,0.54205287,0.15703861,0.31988287,0.35244116,0.084829144,0.4932451,0.41727513,0.22079824,0.18493082,0.08490707,0.35471222,0.0,0.48805827,0.3978019,0.41549024,0.30076516,0.0,0.544346,0.32783392,0.3025355,0.039102055,0.3224435,0.4759726,0.18279031,0.4208983,0.42391232,0.29453394,0.11755835,0.34902555,0.1685244,0.35460392,0.2933185,0.028490653,0.0,0.333477,0.0,0.54420584,0.05295278,0.0,0.0,0.44366917,0.33034965,0.055958916,0.371529,0.28163844,0.35703063,0.21774825,0.26007825,0.27611277,0.0,0.30031374,0.2710766,0.0,0.18395016,0.28269693,0.040151156,0.43981642,0.29778028,0.471923,0.2217928,0.30106553,0.0,0.59958243,0.39380735,0.5147587,0.40517604,0.3419241,0.0,0.29627454,0.0,0.14143755,0.565872,0.30384752,0.44352928,0.2664496,0.2794736,0.15239316,0.22792594,0.1200392,0.35676265,0.50454277,0.21786478,0.56047684,0.23668356,0.5183547,0.33936656,0.11150978,0.32139748,0.47900367,0.0,0.30647656,0.0,0.5816051,0.41559055,0.0,0.22832249,0.3312618,0.426087,0.085982636,0.16062154,0.42960882,0.421318,0.27853003,0.23311417
adogsjourneymovie,0.535208,0.48734045,0.42607537,0.67029285,0.0,0.24287015,0.9841285,0.9429524,1.1993359,1.1332471,0.788835,0.38745943,0.52694356,0.3057112,0.2666053,0.7134199,1.1724535,0.8106397,0.49392176,0.3573599,0.57530475,1.0683666,0.8582263,0.536975,0.0,0.0,0.4186149,0.0,0.61762017,1.1173954,1.3276458,0.5849532,0.0,1.1441153,0.07689959,0.7617448,0.29764968,0.625956,1.1147059,0.0,0.39932063,1.2614247,0.26562306,0.3166214,0.92543745,0.13014567,0.8259556,0.966837,0.04084017,0.0,0.6917487,0.09392608,1.1057234,0.36844617,0.0,0.2529852,1.3508086,0.51784974,0.13683651,0.6083157,0.21219824,0.9541893,0.561183,0.5558242,0.875734,0.0,0.914562,0.5476476,0.0,0.27507696,0.7082764,0.3113047,0.91826016,0.8057026,0.8227495,0.5296178,0.927668,0.0,1.1295418,1.0998564,0.73506737,0.81508553,0.77920103,0.10197142,0.6365704,0.0,0.0,0.8571399,0.43987373,1.2205495,0.76525664,0.665536,0.32272497,0.86451703,0.27037862,0.63822705,1.3561162,0.7202846,1.1731144,0.6432562,1.3065314,0.49211317,0.606661,1.2013298,0.7738901,0.0,0.3769094,0.0,1.2698154,0.80656594,0.0,0.6834131,0.6942718,0.7671951,0.0,0.5061412,1.1027826,0.9336645,1.0064317,0.12304707
aftermathmovie,0.2592544,0.20971607,0.20423107,0.36548898,0.0,0.36756846,0.25559628,0.35183477,0.34911552,0.28616333,0.3222772,0.0,0.026812466,0.112384275,0.096091054,0.35336846,0.39281055,0.19442724,0.27391493,0.26478595,0.13119516,0.37324613,0.32836655,0.333621,0.12589215,0.021227604,0.23502047,0.0,0.346228,0.5061152,0.48599827,0.34440613,0.0,0.36368436,0.3041288,0.27268353,0.008161656,0.24835765,0.37827402,0.17350274,0.3316565,0.42612505,0.40354928,0.016651876,0.32343572,0.23542994,0.2441968,0.38368842,0.09230333,0.0,0.3334846,0.0,0.29250887,0.0,0.0,0.0,0.5095258,0.23825781,0.10141202,0.2610131,0.040857702,0.31548792,0.18372981,0.22518824,0.3715887,0.0,0.17253084,0.30508906,0.0,0.13707995,0.33732256,0.10858545,0.35151318,0.33026162,0.46852988,0.18326324,0.4270776,0.0,0.48038584,0.30828923,0.28730994,0.47587246,0.34306777,0.0,0.17200804,0.0,0.04567931,0.3142314,0.2565717,0.23615552,0.30946738,0.25457954,0.22208872,0.34537435,0.12609589,0.29201472,0.33881208,0.25371155,0.47140756,0.36979657,0.4910959,0.2047678,0.091251805,0.39656165,0.31110403,0.0,0.20086129,0.0,0.5394162,0.2936583,0.0,0.29336953,0.36748764,0.25369275,0.095654294,0.14327554,0.29089972,0.26818356,0.3650975,0.123487055
aftermovie,0.3897062,0.25116488,0.34576708,0.44085163,0.0,0.3306406,0.24764073,0.36694738,0.50471836,0.483293,0.27845985,0.20388314,0.11298694,0.16520113,0.21789986,0.4714465,0.5184786,0.26424935,0.3879214,0.248119,0.05355846,0.55719006,0.29178846,0.40531796,0.037568763,0.059183106,0.22819376,0.0,0.3526219,0.41621226,0.32556638,0.30383778,0.0,0.39701813,0.41255483,0.26227483,0.09696282,0.3624283,0.41016203,0.09681137,0.2277382,0.34909257,0.450967,0.19981463,0.33266497,0.35207045,0.42505604,0.38759285,0.15046147,0.0,0.29306212,0.0,0.45970136,0.0,0.0,0.0,0.49211287,0.3987085,0.0,0.37001765,0.16150774,0.42956933,0.20782112,0.21309462,0.3436954,0.0,0.20233224,0.35323605,0.0,0.11333917,0.26156136,0.12795733,0.39198765,0.35156164,0.40728328,0.17862579,0.31927034,0.0,0.3917371,0.50957793,0.52645326,0.5004522,0.35782167,0.016902035,0.35647422,0.0,0.06057696,0.4964473,0.34732404,0.53184545,0.3377425,0.16244347,0.25959975,0.44038883,0.12605295,0.34013066,0.4883362,0.23781875,0.5786624,0.4284417,0.36156347,0.17312537,0.15294857,0.53346837,0.2937606,0.0,0.24211143,0.0,0.51361734,0.32878995,0.0,0.4475695,0.41381353,0.262845,0.002896883,0.23852426,0.37156656,0.3683664,0.3287828,0.15682316
ahiddenlifefilm,0.11459969,0.094773024,0.1561485,0.17027529,0.0,0.12537514,0.1592198,0.13727282,0.25286874,0.19614981,0.1486111,0.01342871,0.0927491,0.07507468,0.074778,0.21463962,0.2280269,0.15477858,0.18407543,0.124604635,0.06543641,0.21361628,0.16455041,0.1484125,0.062868424,0.0354018,0.11991553,0.0,0.1902952,0.24240576,0.21348752,0.13527516,0.0,0.20465758,0.14447601,0.14548393,0.048157614,0.17176494,0.21047501,0.055373445,0.13328321,0.20073983,0.14949174,0.075174056,0.17725392,0.11342407,0.16993149,0.20513305,0.030982133,0.0,0.15610158,0.0,0.20857953,0.0017752326,0.0,0.0,0.23314822,0.1352815,0.022208203,0.15912852,0.06579735,0.17347644,0.109387785,0.106937066,0.19618723,0.0,0.13724948,0.1683499,0.0,0.06766871,0.16925292,0.048106316,0.17505077,0.18436342,0.20453618,0.0875994,0.1769437,0.0,0.22730167,0.1918702,0.2036783,0.21959472,0.19880536,0.0,0.13597767,0.0,0.02918432,0.18715833,0.13861698,0.19202667,0.15315007,0.1322835,0.12616882,0.17155647,0.0491021,0.15065825,0.23688895,0.13928457,0.25667772,0.13964935,0.23564917,0.11567591,0.0791159,0.2073561,0.13978824,0.0,0.109213315,0.0,0.25374553,0.16989882,0.0,0.15802336,0.18634716,0.17497687,0.0112237,0.10983023,0.18622606,0.1794525,0.19796258,0.060259916
alitamovie,0.51362777,0.11644556,0.52018905,0.6561319,0.0,0.47891283,0.4628389,0.4715261,0.9756203,0.7049595,0.2540428,0.064844355,0.0,0.11669805,0.36589107,0.7859536,0.81090605,0.5128007,0.5116534,0.36349905,0.09168201,0.543071,0.6970802,0.21114686,0.12857983,0.029075952,0.5652613,0.0,0.669853,0.691844,0.6221053,0.30992818,0.0,0.689279,0.5625747,0.42585358,0.15211818,0.5171426,0.6022207,0.23607433,0.50509584,0.37046036,0.3797069,0.088820264,0.5043206,0.33790302,0.4532625,0.77777463,0.052983537,0.0,0.49616617,0.0,0.7796796,0.22733106,0.0,0.0,0.9210006,0.29345882,0.0046281526,0.5808169,0.20930141,0.6435997,0.2587605,0.37819558,0.7458824,0.0,0.3210331,0.6681126,0.0,0.16700691,0.19583996,0.048680097,0.87915325,0.38941306,0.58261037,0.4926666,0.5447391,0.0,0.79292774,0.6176799,0.7974392,0.79655457,0.42445982,0.042266414,0.54250515,0.0,0.015815146,0.75417006,0.45291033,0.72256076,0.57190984,0.6761381,0.29014668,0.5928918,0.29474947,0.55055314,0.80692035,0.3260123,1.013357,0.47673395,0.96258724,0.32262772,0.2938617,0.6580701,0.65209085,0.0,0.6541576,0.0,0.76694083,0.58977,0.0,0.5457336,0.48147178,0.5796984,0.10330806,0.31240147,0.5210152,0.7945806,0.5381087,0.17838944
