movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
21bridgesmovie,0.7490106,0.46697605,0.63613373,0.50965875,0.80680233,0.85494965,0.8138437,0.34193972,0.0,0.6824634,0.0,1.0211724,0.27338248,0.53942007,0.4881203,0.6209451,0.47563374,0.46108216,0.31132117,0.70331883,0.3162929,0.0,0.25033337,0.688409,0.605347,0.0,0.41880706,0.6700938,0.0,0.7041255,0.41174835,0.5966819,0.39240432,0.5039886,0.7735767,0.18586478,0.0,0.22606567,0.62351125,0.9268478
47metersdown,0.83126235,0.3728705,0.69011873,0.6302069,0.99802303,1.1128789,1.105724,0.3209825,0.0,0.807274,0.0,1.2670133,0.52077836,0.73229104,0.7583551,0.7072184,0.13578251,0.5685202,0.17917469,0.5732931,0.68074876,0.0,0.39064983,0.98461986,0.7687542,0.0,0.3162879,0.47094727,0.052576948,1.0558596,0.4669173,0.7246684,0.22593708,0.5648894,1.1771677,0.21386719,0.0,0.6768781,0.80274576,1.2606215
abeautifuldaymovie,0.6041667,0.51000935,0.83727825,0.6376508,0.45119572,0.7593981,0.6114218,0.15430546,0.0,0.4630973,0.0,0.7699762,0.46353975,0.62239766,0.3501512,0.5709973,0.342695,0.41463214,0.35558388,0.5733835,0.56000674,0.0,0.13452838,0.5857332,0.6605016,0.0,0.31434238,0.63120323,0.17029798,0.87336624,0.3909873,0.46964714,0.24907432,0.7566635,0.68675184,0.10315181,0.0,0.25130272,0.66260797,1.076394
abominablemovie,0.7943874,0.9482824,0.883656,0.6653365,0.72952896,1.2085774,1.2269988,0.37052634,0.0,1.1909444,0.0,1.1385092,0.23286739,0.90961945,0.4230335,1.0332303,0.48579454,0.8692883,0.49571976,0.72984654,0.42281038,0.0,0.21213342,0.93251777,0.7251124,0.032636378,0.34154812,1.0884335,0.27152783,1.2858503,0.32466516,1.1462913,0.5452069,0.8632677,1.0915139,0.56283504,0.0,0.4298891,1.0754261,1.3806248
adastramovie,0.578472,0.3771727,0.52325636,0.414186,0.6284111,0.72740525,0.6235938,0.18641612,0.0,0.4168454,0.0,0.70726883,0.32865855,0.54552054,0.398836,0.6729245,0.22655374,0.38667586,0.23433214,0.26072258,0.30308786,0.0,0.19925833,0.85622764,0.5362197,0.0,0.2865902,0.42359233,0.12606844,0.6237904,0.40984628,0.54132307,0.38632682,0.64763945,0.5399076,0.12327498,0.0,0.15158698,0.595029,0.7715695
adogsjourneymovie,1.3497641,1.0340728,1.4481316,1.2800218,1.3400902,1.6236247,1.7313762,0.22208583,0.0,1.6151527,0.0,1.5079978,0.8303479,1.3447256,0.7229489,1.0801352,0.6282192,1.1685348,0.024891725,0.6886858,0.7722236,0.0,0.3692068,1.0917715,1.414611,0.0,0.45666447,1.3114372,0.3598568,1.7657541,0.49841455,0.94603306,0.7146689,2.1184673,1.3761971,0.2174465,0.0,0.61396205,1.4552319,1.9827341
aftermathmovie,0.59288645,0.38570458,0.57169765,0.5302356,0.45089802,0.6444736,0.5272705,0.15239775,0.0,0.6147686,0.0,0.64605963,0.3100191,0.39977854,0.35441062,0.5874002,0.32610953,0.40578616,0.19616522,0.54661065,0.34010077,0.0,0.107916206,0.60916674,0.48266146,0.15607677,0.23641898,0.53431386,0.16917408,0.7657842,0.31939346,0.44249257,0.15014224,0.57658714,0.5313926,0.025091369,0.0,0.24764636,0.44485006,0.77657413
aftermovie,0.36216265,0.5807527,0.7544449,0.4384514,0.5629415,0.7029223,0.62509763,0.34570393,0.0,0.5832627,0.0,0.8831664,0.36823162,0.53275084,0.38322464,0.39787522,0.3714209,0.48393583,0.39575505,0.40736616,0.18347189,0.0,0.33993167,0.5356529,0.6312835,0.04167318,0.23434183,0.53025347,0.102924526,0.8908824,0.41790283,0.57166594,0.28210136,0.635931,0.7246721,0.15210663,0.0,0.19089076,0.5396452,1.044525
ahiddenlifefilm,0.31833524,0.21252626,0.3261813,0.2572443,0.27975777,0.38892984,0.3348836,0.10757674,0.0,0.33411476,0.0,0.41128471,0.16190493,0.2583959,0.20665845,0.2921936,0.1647566,0.2228565,0.14412664,0.21989316,0.16051549,0.0,0.09403549,0.3138569,0.27950028,0.0,0.15983546,0.31530374,0.05972806,0.38532925,0.18660705,0.2785986,0.16368885,0.3354851,0.37821013,0.08255854,0.0,0.13020897,0.3080202,0.46731025
alitamovie,0.86627024,0.6141161,0.90428036,0.6180265,0.7880404,1.3817296,1.1356468,0.5557647,0.0,1.0177938,0.0,1.0438085,0.3192786,0.6455855,0.39969623,0.73655957,0.6429033,0.77348316,0.4327883,0.57277334,0.47777393,0.016927175,0.28516465,0.71957636,0.7922115,0.0,0.5065965,0.7384975,0.114376016,1.0532298,0.4712383,0.77135795,0.42400524,1.0761877,0.8995313,0.17274725,0.0,0.27757788,0.8710455,1.3172939
angelhasfallen,0.9457231,0.61417085,1.0109463,0.80318856,0.8138084,0.857511,0.9664842,0.22776723,0.0,1.1837262,0.0,0.926956,0.3019764,0.90657276,0.6021535,0.82778096,0.39667624,0.72276944,0.4255172,0.64198923,0.3817442,0.0,0.117103145,0.7857121,0.591427,0.0,0.20486793,1.0229626,0.31080192,0.92638296,0.41427055,0.59349865,0.3198404,1.1056192,1.0018748,0.15733857,0.0,0.4057442,0.8016152,1.3465052
angrybirdsmovie,1.8519473,1.0669351,1.547432,1.167599,0.93349266,1.8962722,1.5109761,0.08867759,0.0,0.95950913,0.0,1.9049065,0.6191598,1.2595618,0.6321235,1.1319647,0.63965297,1.0949099,0.5547551,1.1277791,1.2486639,0.052970264,0.18167686,1.4121588,1.5465063,0.0,0.5295849,1.2525014,0.17219153,1.6431229,0.64704216,1.0764886,0.77552634,1.5187333,1.958597,0.21820366,0.0,0.63523346,1.6950326,2.5900917
annabellemovie,1.0584958,0.84231836,1.1478195,1.2930394,1.0605757,1.7050538,1.3666668,0.5802065,0.0,1.0964183,0.0,1.7057943,0.85701525,0.9563131,0.67528915,1.0084026,0.67432916,0.84522694,0.3444295,0.86371446,0.68465066,0.0,0.31620094,1.1465477,0.88619566,0.0,0.70227027,1.349009,0.18830228,1.2989557,0.381655,1.1396768,0.7617405,1.1445321,1.1678367,0.35323063,0.0,0.62607384,1.282979,1.7585402
annamovie,0.8275653,0.6641666,0.82270104,0.6805349,0.60157984,1.00218,0.95821786,0.28173918,0.0,0.87213135,0.0,0.8769885,0.35390055,0.68541974,0.47780794,0.8383509,0.5190401,0.6250647,0.29863974,0.5313934,0.3574585,0.0,0.07397746,0.89763033,0.67558753,0.0,0.4878121,0.9519533,0.2674956,1.0563965,0.29838118,0.6851131,0.3951552,0.82685053,1.0241901,0.099601746,0.0,0.26109475,0.88149685,1.0931811
apollo11movie,0.46326613,0.28112966,0.30666614,0.23027465,0.3998867,0.42742324,0.38035706,0.14120272,0.0,0.29709718,0.0,0.47225267,0.18763152,0.34973508,0.29685238,0.35968015,0.19211857,0.24276985,0.20185491,0.275766,0.24827778,0.0,0.08845047,0.47354716,0.33742172,0.038637783,0.26914558,0.40803057,0.0,0.47748026,0.28828517,0.33591753,0.18220672,0.4157197,0.39716095,0.20875195,0.0,0.14978486,0.4020892,0.5865891
arcticdogsmovie,0.65468454,0.4153552,0.5262499,0.56368494,0.6115252,0.76202625,0.7008233,0.19815086,0.0,0.6428981,0.0,0.87927306,0.27950522,0.6244044,0.5462046,0.52208865,0.24205978,0.41870782,0.21078593,0.4233485,0.38338745,0.0,0.26315525,0.7992809,0.5049045,0.10583606,0.41709694,0.71530473,0.094391264,0.8254079,0.34859222,0.49445197,0.10168392,0.5251381,0.7521992,0.2802451,0.0,0.28738084,0.6098178,0.95940495
arcticmovie,0.62926704,0.39402288,0.507627,0.502678,0.4477201,0.6034414,0.54021096,0.09547245,0.0,0.5937096,0.0,0.649924,0.3652059,0.40758896,0.43771377,0.53997207,0.35909915,0.44033486,0.41138297,0.3812278,0.4344722,0.0,0.2464615,0.431941,0.49133834,0.0,0.31957468,0.57140166,0.13602783,0.6437557,0.2904899,0.54919386,0.33226132,0.5407979,0.60042095,0.09102551,0.0,0.38770714,0.44345155,0.7891041
artofracingmovie,0.87075317,0.54907745,0.79118794,0.6157969,0.8462779,1.0379255,0.9360044,0.33645168,0.0,0.7269186,0.0,1.0694089,0.28982985,0.75140053,0.66330856,0.84307206,0.5132271,0.44863504,0.33488443,0.38421738,0.42309898,0.0,0.3088509,0.996842,0.57465947,0.0,0.19470452,0.5554462,0.07376179,0.78770036,0.69083476,0.5208315,0.42518452,0.9363435,0.8801182,0.092679545,0.0,0.39148763,0.5671729,1.1461412
avengers,0.6435763,0.43003237,0.51520514,0.57977146,0.5974092,0.82979435,0.80134904,0.2207843,0.0,0.70537126,0.0,0.7406189,0.27580374,0.5239055,0.43846998,0.6383652,0.3288108,0.4979077,0.3007747,0.42962572,0.26470485,0.0,0.27681026,0.8123332,0.5124958,0.0,0.3216299,0.61876047,0.051561147,0.632074,0.38490474,0.6674529,0.36331043,0.47346592,0.67489797,0.10597351,0.0,0.39202553,0.4726327,0.72900736
beachbummovie,0.7026532,0.5065152,0.49649155,0.3163562,0.67401224,0.7650545,0.51827073,0.19223654,0.0,0.5606054,0.0,0.90465176,0.29629198,0.48972094,0.38646188,0.6272889,0.29652423,0.45687613,0.32313675,0.45633462,0.4567762,0.0,0.2705725,0.56160545,0.37514198,0.0,0.5108454,0.741791,0.08353154,0.55711025,0.5112009,0.54845977,0.30674133,0.5955898,0.6494713,0.33046612,0.0,0.22262424,0.6996947,0.9143437
