movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.6881787,1.1872873,0.55944294,1.0628064,0.81430787,0.65025735,0.77087444,0.81523603,0.43943253,0.6209821,0.8922063,0.83494437,0.8161583,0.66100365,0.4433527,0.8112221,0.0,0.72173697,0.96748114,0.026849391
47metersdown,1.1269779,1.1312959,0.7006076,1.00826,1.183151,0.702564,1.1178555,0.88233554,0.4809559,0.58601856,1.0852528,0.90219754,0.6417288,0.7448266,0.6319745,1.2881024,0.0,0.8560762,1.2896644,0.0
abeautifuldaymovie,0.823237,1.1465336,0.6163242,0.9715684,0.7910479,0.6950533,0.76601315,1.0636836,0.2413691,0.6307922,0.9616538,0.7053437,0.79538757,0.6318197,0.45677793,0.9275366,0.0,0.74927074,1.1687975,0.0
abominablemovie,1.2984345,2.1181283,1.3098117,1.2366052,1.2061722,1.0125053,1.1926008,1.2276883,0.55279887,1.2183714,0.9245985,1.2056655,0.9343849,0.98561704,0.56522876,1.3059665,0.0,1.1089725,1.2173208,0.014620783
adastramovie,0.6664522,1.2607983,0.703245,0.630362,0.81177926,0.77943087,0.79617006,0.7702988,0.6134799,0.48345315,0.81814885,0.67330086,0.5536267,0.44677964,0.42237288,0.8155893,0.0,0.7485207,0.8065018,0.027449226
adogsjourneymovie,1.6453931,2.4726286,1.2895306,1.8459092,1.6473904,1.1230818,1.4317023,1.7070286,0.66384214,1.2226253,1.7515004,1.2491649,1.4941114,1.2477599,0.7911996,2.0204816,0.0,1.3103973,1.9920971,0.0
aftermathmovie,0.59810376,0.8868221,0.5364699,0.7419989,0.46831313,0.47940195,0.6131096,0.6161916,0.2611019,0.42042792,0.5965499,0.616985,0.60754097,0.4455711,0.35853764,0.6683189,0.0,0.6717605,0.60839784,0.0
aftermovie,0.83065146,1.2734978,0.7822869,0.89857274,0.81914663,0.7908233,0.81260985,0.7224217,0.42158535,0.6543995,0.70061177,0.82049453,0.583275,0.6347866,0.47080398,0.99309856,0.0,0.8859036,0.90338117,0.0
ahiddenlifefilm,0.37440675,0.5931337,0.33621374,0.43177953,0.3702372,0.31603694,0.38249195,0.38590983,0.15327519,0.26415676,0.3781582,0.3458735,0.35293424,0.25122288,0.173459,0.41670564,0.0,0.36811358,0.43396965,0.0
alitamovie,0.8693905,1.4245487,0.78027195,1.0903563,1.008025,0.9406014,0.8993069,0.94729036,0.46730053,0.5477668,0.976723,1.0874337,0.74456406,0.8080744,0.50715864,1.141028,0.0,0.85684067,1.0101411,0.12463289
angelhasfallen,0.88115764,1.5126945,0.8067135,1.1354834,0.89233446,0.8979348,0.98805517,1.0538254,0.49324936,0.7687718,1.055237,1.0776095,0.9128702,0.72348726,0.5696445,0.9385272,0.0,1.0104399,1.1249664,0.0
angrybirdsmovie,1.6243377,3.0325756,1.4300029,2.3131855,2.0209653,1.4164108,1.7133085,2.321182,0.8216033,1.2744192,2.0290318,1.9587458,1.8484424,1.1533945,0.77930015,2.3997502,0.0,1.7560475,2.256323,0.0
annabellemovie,1.3924065,2.0858111,1.4015434,1.3108684,1.2027184,1.0525976,1.2917112,1.2630504,0.53847116,1.1124732,1.276565,1.2532281,1.1478292,0.8811043,0.58882254,1.4250576,0.0,1.4551477,1.5044539,0.02351077
annamovie,0.6442128,1.2896155,0.7795829,0.8378175,0.85773766,0.706558,0.93114,0.74275786,0.38247883,0.8177417,0.7233026,0.9118624,0.6756039,0.6015385,0.53896815,0.8766207,0.0,0.78432316,0.9696824,0.0
apollo11movie,0.6433995,0.82629424,0.43584675,0.6294635,0.47897866,0.45026731,0.52689123,0.5430732,0.24539015,0.39845026,0.654253,0.5989069,0.556843,0.49385428,0.37519458,0.6450277,0.0,0.542152,0.7094031,0.022312446
arcticdogsmovie,0.7770676,1.0791086,0.7135685,0.981806,0.7180785,0.6651132,0.8680707,0.86393106,0.42255613,0.5473334,0.9547423,0.6282092,0.73023146,0.76087946,0.38343874,0.90021026,0.0,0.68344927,0.93586034,0.0
arcticmovie,0.6456662,1.0295368,0.6627212,0.8006901,0.77112865,0.5208377,0.67704254,0.7160662,0.31540775,0.49789873,0.63080436,0.5637722,0.69706297,0.5044838,0.269986,0.6569558,0.0,0.6814745,0.7473915,0.0
artofracingmovie,0.7223055,1.5210282,0.7451692,0.9514789,0.9075587,0.6861123,0.84142345,0.8102252,0.7723149,0.7022819,0.790311,0.88070333,0.6131136,0.5066647,0.47273174,1.0022496,0.0,0.9950252,0.95764863,0.0770191
avengers,0.49891257,0.88767886,0.6230424,0.85114247,0.6301849,0.61198914,0.6819228,0.6495376,0.1910122,0.40480095,0.69842625,0.49058264,0.53534085,0.62636834,0.35896698,0.5615456,0.0,0.60638165,0.8440262,0.007424807
beachbummovie,0.98739564,1.0989691,0.6217087,0.74862367,0.7221364,0.5573751,0.8154269,0.71647257,0.4852432,0.5838358,0.8730167,0.8057418,0.9009041,0.7316571,0.57223886,0.92531466,0.0,0.6710341,0.88982993,0.015018145
bernadettefilm,0.7835927,1.3634377,0.91527516,1.137496,0.837254,0.7878149,0.6340156,1.1700228,0.41629195,0.7929241,0.9323292,0.98310566,0.7705781,0.6865318,0.4580941,0.8281712,0.0,0.81956154,1.2615844,0.0
blackandbluemovie,1.765623,2.5883937,1.0256233,1.9055161,1.5822184,1.3573339,1.7311645,1.912248,0.32635716,1.2082455,1.1921382,1.2190281,1.9762968,1.2422056,0.58401185,1.738851,0.0,1.2044847,2.3323739,0.09447408
blackchristmas,0.78231645,1.2500584,0.7593488,0.9877028,0.9114177,0.6413552,0.80775243,0.85821193,0.34794036,0.58697563,0.68920934,0.6711514,0.7101113,0.5562293,0.5026223,0.9518912,0.0,0.67151165,0.9929616,0.0
blindedbythelightmovie,0.5646243,0.71507037,0.4651886,0.6504189,0.48516488,0.37878418,0.47155234,0.6015704,0.26206225,0.31183502,0.45989868,0.42363375,0.38567555,0.42429236,0.3017486,0.6139075,0.0,0.46460682,0.57974976,0.0006917771
bombshellmovie,0.72517085,1.3210789,0.71382713,1.121063,1.011539,0.71309125,0.7205071,1.0779461,0.1894831,0.69131815,0.930712,0.79548186,0.96547467,0.5140301,0.5227082,0.8693005,0.0,0.7509226,1.2858549,0.115320995
booksmart,0.05954282,0.38146433,0.36891475,0.25391263,0.108636335,0.12674421,0.44458324,0.026989894,0.0,0.28947848,0.18586305,0.3135126,0.258206,0.0,0.22652201,0.2407144,0.1451648,0.19700702,0.482002,0.0
breakthroughmovie,1.2938005,2.6638174,1.5752678,2.0056446,1.4330795,1.5269015,1.6436038,1.9003829,0.56714255,0.84285897,1.599096,1.627662,1.6241359,0.7661001,0.70934504,1.5694598,0.0,1.7038532,1.8173035,0.0
brianbanksmovie,1.1374328,1.9216725,0.98855287,1.4476237,1.3448132,0.9640824,1.1099029,1.1912378,0.458219,0.8046218,0.9684464,0.8641426,1.1812931,0.70175785,0.50485533,1.1539477,0.0,1.0022303,1.2429148,0.09283328
brightburnmovie,1.1220126,1.4499711,0.6372931,1.2483672,1.0595357,0.94021106,0.93335587,1.2699119,0.3032259,0.82064456,1.0066708,0.87376106,0.97675306,0.6973743,0.3677908,1.1961399,0.0,0.8342827,1.4089185,0.04920478
brittanyrunsmov,0.6853884,0.9326573,0.48140606,0.73464197,0.565528,0.50751245,0.5283946,0.73853123,0.3691951,0.53018117,0.5875987,0.46333864,0.53941387,0.48149592,0.44001898,0.7343309,0.0,0.5089077,0.7258936,0.049679667
captainmarvelofficial,0.76392215,1.1705393,0.7371176,1.0901501,0.7285883,0.81094754,0.96482074,0.9246149,0.28940424,0.51255506,0.8298278,0.6795864,0.8257831,0.692059,0.5812738,0.8630739,0.0,0.88404435,1.1273254,0.0
captivestatemovie,1.1651349,1.6163098,0.9922721,1.2090945,0.9690838,0.9543395,1.0131303,1.1451172,0.30249196,0.931821,1.2911608,0.89555967,1.0679868,0.64539415,0.69501394,1.1261247,0.0,1.2800877,1.3713547,0.0
catsmovie,1.2659781,1.9640883,1.1185949,1.1604257,1.1994288,1.28234,1.105372,1.3167983,0.6975673,1.0776215,1.2496144,0.90646267,1.257722,0.61239964,0.77526504,1.2732031,0.0,1.0745772,0.9777983,0.024230586
charliesangels,1.5436682,2.537186,1.0746578,2.35159,1.8261858,1.312104,1.2115719,2.3495638,0.46331954,1.2543606,1.8046027,1.6537199,1.6086096,0.95362705,0.49530807,1.8419927,0.0,1.3327905,2.134802,0.0
childsplaymovie,1.599056,2.667387,1.0854919,2.0976565,1.3980421,0.78575623,1.5661397,1.0699402,0.0,0.5896242,0.97400063,1.4211994,1.4176064,0.9925603,0.42423603,1.6220697,0.0,1.8738631,1.931497,0.0
clarathefilm,1.1640334,1.6401676,0.61001956,1.579741,0.8022082,0.36294734,1.0506833,0.96112764,0.11323112,0.58066195,1.0044491,0.93948793,0.84000653,0.79249066,0.29425976,1.1414692,0.043118298,1.0358249,1.3777753,0.0
coldpursuitmovie,0.5861583,0.9502567,0.5934723,0.6268657,0.666669,0.5183367,0.5994364,0.61324686,0.30607706,0.3519356,0.6808826,0.5295747,0.6076598,0.3990987,0.29986125,0.6202271,0.0,0.65134233,0.7521613,0.0
countdown,0.99008596,1.7715259,0.87114567,1.320852,1.159344,0.86407506,1.0449134,1.1245959,0.45174134,0.7771907,1.2694873,1.1691632,1.2415291,0.6129586,0.7940833,1.3149692,0.0,0.93898004,1.5560315,0.0
currentwarmovie,1.005561,1.5508156,1.0741494,1.1586722,0.9887197,0.8294221,1.3304237,1.1053942,0.5796072,0.8314691,1.0635537,0.979479,0.8597618,0.5433168,0.4489638,1.2191449,0.0,1.0383964,1.1798892,0.0491573
darkwatersmovie,1.2622759,2.144267,1.3491288,1.5307199,1.5238991,1.3611782,1.4616443,1.2966841,0.5702102,1.1340039,1.8793101,1.4894518,1.1985807,0.9069522,0.6304565,1.4480859,0.0,1.5625429,1.9648143,0.0
detectivepikachumovie,1.4155424,1.6502796,0.99314195,1.2219747,1.1865696,0.8668715,1.1900833,1.0590831,0.56712633,0.5008299,1.0543131,1.0558325,0.88834536,0.8274236,0.7152947,1.1381648,0.0,0.9670883,1.389869,0.07793392
disneyaladdin,1.28321,1.735116,1.0233921,1.617946,1.3096381,0.92171633,1.2676448,1.2498428,0.3167832,0.8899382,1.0143573,1.2770206,1.2413143,0.6790646,0.58611625,1.7286861,0.0,1.2565293,1.5995536,0.021537224
disneyfrozen,1.3027288,1.8137416,1.1373601,1.6822369,1.1586283,1.1783334,0.90080285,1.2810282,0.2452313,0.784716,1.1339666,1.149357,1.4461619,0.51402247,0.7968715,1.4635969,0.0,1.1156392,1.343115,0.0
disneymaleficent,0.9656085,1.4468185,0.91157955,1.1183586,1.0996659,0.8897661,1.112419,1.1446077,0.22513655,0.5719676,0.8148255,0.9750066,0.98645425,0.55506426,0.5350214,1.1684059,0.0,1.0666556,1.2213706,0.0
doctorsleepmovie,0.81575763,1.2868543,0.80510676,1.1483567,0.82672286,0.63997304,0.986981,0.84687334,0.31882048,0.5968661,0.6839444,0.7068747,0.9365716,0.6301582,0.54953957,0.8576417,0.0,0.60051584,1.0687084,0.0
dolemiteismyname,1.387256,2.1289551,1.0273733,1.4899725,1.2812989,0.91843104,1.4451351,1.4382919,0.5016199,0.9616238,1.4320239,0.9893791,1.3670757,0.88142985,0.64649993,1.7107724,0.0,1.0641146,1.5344981,0.0
