movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89
angelhasfallen,0.7628666,0.59199053,0.46363017,0.5964897,0.36623055,0.66793984,0.7313032,0.77133,0.0,0.7294323,0.07440924,0.37658983,0.75798017,0.38270676,0.55688107,0.6546397,0.48878315,0.50935924,0.68490815,0.70996183,0.5412401,0.52980566,0.8080365,0.2915569,0.0,0.0,0.5070191,0.9701396,0.27330917,0.29290372,0.21091133,0.13794687,0.6794312,0.078841224,0.0,0.0,0.80486286,0.37820467,0.0,0.39141038,0.0,0.7416195,0.4160793,0.054863572,0.30337498,0.388855,0.68053615,0.0,0.5427738,0.7205045,0.7316382,0.3183297,0.6223061,0.8037005,0.0,0.44252402,0.29442412,0.5373996,0.4628129,0.67162436,0.5012433,0.0,0.4677198,0.56841975,0.6051648,0.738744,0.0,0.5619937,0.0,0.60812026,0.5245471,0.4700996,0.10916473,0.71187663,0.6263881,0.61669827,0.81425834,0.5513238,0.36017457,0.41518375,0.2698624,0.48444033,0.12419389,0.6770265,0.5618931,0.4576954,0.29886964,0.5953571,0.61392725,0.6440011
angrybirdsmovie,1.2804141,0.9589651,1.045083,1.4001757,0.72980404,1.1815351,1.7013026,1.3969212,0.0,1.4955068,0.0,0.57238865,1.063554,1.4436772,1.3601155,1.0382668,0.7451367,0.9038624,1.1829348,0.9532242,1.424071,0.56891,0.7668969,0.7256175,0.0,0.0,1.2599351,1.393078,0.6405408,0.5369052,0.660869,0.17780247,1.3361468,0.078576446,0.0,0.0,0.8430814,0.88575965,0.35687643,0.88554764,0.0,1.2672116,1.001833,0.34658146,0.42532715,0.72001195,1.5101528,0.0,1.3721969,1.5071123,1.112577,0.4956103,1.0295893,1.6493037,0.0958837,0.7232447,0.8300385,0.6041491,0.8158856,1.0311517,1.6856506,0.0,0.61115783,1.1355706,1.1376083,1.1741798,0.0,0.90823424,0.0,1.2575885,1.5904065,0.6453131,0.0,1.1177408,0.8425934,1.1213485,1.6109262,0.5494056,0.5516209,0.60346174,0.94438064,0.6676693,0.18152548,1.1307646,0.4418533,0.9846588,0.17687342,1.1504424,1.2600002,1.5749664
annabellemovie,0.9501047,0.9321495,0.6867296,0.959191,0.6630963,0.67467093,0.9589245,1.1965457,0.0,1.0806255,0.0,0.31559038,1.0795436,0.63984203,0.9306201,0.7266887,0.48205793,0.50049776,0.9251888,0.7611502,0.7674384,0.63479954,0.6391366,0.3418891,0.0,0.0,0.8677067,1.0015943,0.23933886,0.40887275,0.48845366,0.28527224,0.78851914,0.0,0.0,0.01292557,0.8313811,0.4741371,0.0,0.23481393,0.0,0.6334319,0.6053545,0.1410703,0.27913108,0.4845432,0.86287785,0.0,0.46445748,0.86481255,0.78372407,0.54707503,0.5529197,1.1668116,0.05289293,0.48080418,0.5183053,0.6936395,0.48270383,0.6922832,0.9195826,0.0,0.50372154,0.7884244,0.8098802,0.72379756,0.0,0.53390115,0.0,0.48472255,0.99605036,0.43015924,0.20871902,0.8798135,0.603308,0.72974586,1.133938,0.6708294,0.3731644,0.60442245,0.6363213,0.50670004,0.18857822,0.6521908,0.8248356,0.7282141,0.31195882,0.76328146,0.76993936,0.88712597
annamovie,0.5080522,0.40629452,0.5310689,0.46627438,0.19433703,0.5693548,0.44680867,0.62735045,0.0,0.5809074,0.0,0.39059326,0.6538944,0.4302798,0.56881297,0.63577116,0.31817564,0.22807555,0.5041847,0.6420738,0.37876472,0.32580557,0.45175642,0.24116504,0.0,0.0,0.493963,0.54275167,0.28965113,0.12076339,0.24032155,0.087391034,0.6225218,0.0,0.0,0.0,0.35415146,0.35276604,0.0,0.34738648,0.0,0.49963257,0.19917396,0.045784026,0.1390866,0.31658733,0.5409523,0.08367437,0.3602251,0.55438673,0.5888784,0.32510036,0.36820054,0.5539622,0.00850058,0.23733528,0.36937314,0.3483271,0.20365688,0.43400267,0.46908632,0.0,0.31423554,0.40013164,0.30875584,0.41861588,0.0,0.2863854,0.0,0.42636395,0.32157847,0.25285783,0.17628588,0.5480052,0.31881875,0.48059326,0.6972773,0.22375575,0.19775611,0.50498515,0.29652742,0.34322435,0.22613958,0.40060562,0.2964945,0.51277155,0.1835441,0.35266116,0.50384504,0.5347935
apollo11movie,0.36352414,0.26546156,0.3547823,0.24415992,0.19646817,0.33390114,0.30441388,0.50012565,0.0,0.3944086,0.0023402418,0.26184198,0.37009865,0.22923058,0.27464968,0.3872086,0.30635804,0.20069046,0.3468615,0.28030434,0.37377912,0.25525287,0.21878925,0.17053607,0.0,0.0,0.26505744,0.3483798,0.14454329,0.1681509,0.19334331,0.12843987,0.3757535,0.0,0.0,0.0,0.26572952,0.23757699,0.0,0.15329178,0.0,0.38595432,0.32095444,0.16766278,0.11443523,0.26374206,0.43679076,0.025525937,0.2908357,0.38006625,0.41312802,0.24878442,0.33695704,0.37979868,0.056799777,0.21712416,0.23848526,0.323961,0.24698101,0.29762083,0.37284088,0.0,0.330974,0.24052423,0.24146743,0.31674698,0.0,0.18184476,0.0,0.2725256,0.36886513,0.26299387,0.07470369,0.35088825,0.3287991,0.24139963,0.45212877,0.2305909,0.1504593,0.20725073,0.19983253,0.16376582,0.17392284,0.25747558,0.30166477,0.21813749,0.1651414,0.39026546,0.36099547,0.33179274
arcticdogsmovie,0.53119475,0.41695,0.4565337,0.47130105,0.20073986,0.41368374,0.50238854,0.37436733,0.011736294,0.4500072,0.0,0.33441192,0.6154098,0.37344998,0.5468266,0.29380482,0.2528029,0.27656847,0.42616504,0.58347565,0.3324145,0.35540012,0.45425254,0.17608911,0.0,0.0,0.4678442,0.60110116,0.1946203,0.13154149,0.13860306,0.16555019,0.30554265,0.008224045,0.0,0.0,0.32159624,0.38627508,0.0,0.29718357,0.0,0.43161514,0.28012997,0.14990816,0.20251955,0.27844396,0.50914395,0.0,0.33967832,0.44054547,0.47223118,0.3463845,0.34008667,0.46366623,0.020083463,0.40378588,0.2352406,0.21400465,0.27040997,0.59030354,0.41384307,0.0,0.28903374,0.34012812,0.37816256,0.5557797,0.0,0.33206177,0.0,0.37596977,0.4504056,0.2519453,0.0,0.28550056,0.29935408,0.32552996,0.4398566,0.51837265,0.17036204,0.27037087,0.34465203,0.34666952,0.30384427,0.2535136,0.3609651,0.42892596,0.10981281,0.3965435,0.40209717,0.45082873
arcticmovie,0.5993334,0.38552654,0.35447505,0.3460689,0.32868308,0.38510123,0.56021404,0.5856521,0.0,0.4800348,0.0,0.22515078,0.50161535,0.30040395,0.5147444,0.53271174,0.32926667,0.34268856,0.63481855,0.4473702,0.35066515,0.38220516,0.4350829,0.15470198,0.0,0.0,0.48663872,0.4660648,0.2571582,0.19244418,0.36270574,0.09108761,0.45215362,0.0,0.0,0.0,0.4501195,0.34213862,0.0,0.3469675,0.0,0.39818472,0.17913854,0.064114526,0.15407388,0.4074467,0.49486226,0.045129783,0.32468203,0.5231656,0.4238773,0.19251955,0.16876617,0.59237015,0.116456196,0.19470598,0.26225922,0.30858558,0.18617624,0.36072433,0.41625652,0.0,0.34303764,0.37116945,0.42649361,0.315659,0.0,0.40781143,0.0,0.43452585,0.5700227,0.29296035,0.093903095,0.47165707,0.26271787,0.35394406,0.5108646,0.3222693,0.19212145,0.50036794,0.3120939,0.21640271,0.1783558,0.24121979,0.26765493,0.51024663,0.0857477,0.36468324,0.5080934,0.44965827
artofracingmovie,0.5404461,0.5421736,0.5208083,0.48829463,0.33068568,0.62302965,0.71869266,0.5351822,0.0,0.41787356,0.0,0.3849126,0.80892307,0.30164564,0.59963167,0.5385928,0.36111623,0.39592534,0.6207108,0.6970295,0.37886694,0.30725405,0.57292324,0.018697673,0.0,0.0,0.2961343,0.7488251,0.34060678,0.14834233,0.4263669,0.23226373,0.743906,0.23497087,0.0,0.0,0.24376005,0.56741273,0.0,0.32341602,0.0,0.4752772,0.30795965,0.05742906,0.365239,0.36294878,0.7636329,0.0,0.38247088,0.46843866,0.6694983,0.17254423,0.48160568,0.6384407,0.22874543,0.40552813,0.2197548,0.223335,0.3409343,0.46406105,0.5951167,0.0,0.39258465,0.42816004,0.44311085,0.65282035,0.0,0.407723,0.0,0.554748,0.4589408,0.30792984,0.06041019,0.5173667,0.197916,0.3173608,0.5946793,0.36920658,0.027018765,0.3469778,0.22884855,0.42506504,0.10210778,0.3096775,0.3970075,0.57985723,0.3615747,0.5366855,0.6007027,0.65004015
avengers,0.51542455,0.505069,0.45869884,0.39317563,0.15638158,0.3597759,0.65724325,0.57540727,0.0,0.42054364,0.0,0.5724239,0.5574985,0.45402402,0.40772915,0.21545137,0.38019353,0.35803682,0.41741645,0.3701596,0.42020607,0.21626553,0.45626843,0.24252439,0.0,0.0,0.38196957,0.6030476,0.36026272,0.23143926,0.29573014,0.22825673,0.39523375,0.03283131,0.0,0.0,0.45087108,0.263072,0.006321677,0.3731913,0.0,0.50167173,0.3200424,0.0,0.20451011,0.2792962,0.40229273,0.11789889,0.30247512,0.47767425,0.48313594,0.26980898,0.34749767,0.59831375,0.12733787,0.28265217,0.37505868,0.395391,0.36957416,0.43638217,0.5525803,0.0,0.4091561,0.40140906,0.4807062,0.34555003,0.0,0.30311042,0.0,0.3990445,0.46539083,0.14190131,0.015155531,0.42591056,0.28447986,0.31660914,0.6779098,0.23325527,0.25397986,0.25720623,0.11463372,0.20614941,0.18865311,0.4173185,0.2913384,0.4802634,0.007441327,0.28685898,0.4352495,0.48053625
beachbummovie,0.560898,0.574651,0.42449924,0.36925125,0.28446817,0.43341509,0.5610702,0.7227144,0.0,0.49437514,0.0,0.37647122,0.62888926,0.4668278,0.6935396,0.55212843,0.31926954,0.3426862,0.71541655,0.4588422,0.6161102,0.36026457,0.44446358,0.27820307,0.0,0.0,0.41647094,0.63069236,0.27893627,0.12442313,0.29753485,0.15337986,0.55889046,0.049501494,0.0,0.0,0.32830697,0.36684123,0.0,0.22266719,0.0,0.4887499,0.39691573,0.1289358,0.20199433,0.2782245,0.5354109,0.0,0.43806145,0.4757464,0.59409595,0.23710471,0.35681653,0.5077047,0.19809455,0.2774472,0.44136304,0.28464243,0.12805998,0.6125696,0.5477728,0.0,0.42423886,0.327177,0.40938634,0.34727523,0.0,0.41440395,0.0,0.38968116,0.6903876,0.5103358,0.013437699,0.57825756,0.2659291,0.39924845,0.6961881,0.32464096,0.07641393,0.2651199,0.4056781,0.2930936,0.24520773,0.45274708,0.24987245,0.46586192,0.20302604,0.4615392,0.52512974,0.33245787
