movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
angelhasfallen,0.6089855,0.63432693,0.19320267,0.24423546,0.87084174,0.46692228,0.885689,0.0,0.28371543,0.61030954,0.35521477,0.0,0.4216068,0.2542123,0.3777081,0.32486317,0.36758074,0.31799468,0.4419744,0.34479615,0.46615997,0.26334763,0.76392525,0.30017206,0.7498367,0.1561494,0.0,0.6652511,0.7654515,0.7437632,0.49384692,0.39636475,0.46721664,0.3025251,0.694262,0.36900997,0.7243046,0.5876533,0.0,0.47655204,0.43209845,0.4169909,0.73887116,0.35386577,0.59261256,0.62136483,0.27085665,0.055741373,0.6964761,0.40082633,0.5591226,0.23089497,0.6391441,0.0,0.00018976745,0.2196724,0.0,0.21024919,0.7821925,0.58023095,0.47106552,0.38110262,0.13778254,0.6847708,0.48567635,0.83942777,0.22783177,0.50290614,0.0,0.5703203,0.27912778,0.3796876,0.42787805,0.28816026,0.5661942,0.24144949,0.5618237,0.34115574,0.5487447,0.6970961,0.51500845,0.19730306,0.18504721,0.14876263,0.55117345,0.4540116,0.51757765,0.68656933,0.0,0.24873942,0.34940863,0.4671538,0.5052767,0.7699274,0.39608467,0.35830745,0.0,0.0,0.7028696,0.16373311
angrybirdsmovie,1.0043794,0.67718273,0.0,0.7404909,1.1771581,0.72804964,1.2965535,0.0,0.3979947,1.345929,0.6168836,0.0,0.29548338,0.45178786,0.78603256,0.69410866,0.78104347,0.83468544,0.9237575,0.26800367,0.7762918,0.0,1.4589317,0.32375237,1.5476426,0.21106808,0.0,0.8792693,1.2460634,1.0204254,0.81186134,0.32852942,0.50779116,0.25509697,1.3810079,1.0119984,0.99659973,1.2496572,0.0,1.1433663,0.78569305,0.39101988,1.0504994,0.23347268,1.4015976,0.80642354,0.046600886,0.0,1.168516,0.6143621,0.61227757,0.2073394,0.613878,0.0,0.0,0.5102321,0.23602338,0.21813092,1.2064488,1.1238792,1.0377984,0.42865574,0.4029169,1.0622704,0.4064198,1.4007392,0.17406787,1.0886521,0.0,0.48103252,0.7289014,0.4084031,0.62990326,0.27561513,0.65257704,0.5589586,0.89282143,0.93237925,0.9320674,1.4742577,1.13918,0.6240327,0.81297636,0.38612306,0.38335082,0.49659833,0.37071896,0.3378721,0.038172085,0.028759755,0.40184703,1.2980332,0.93744457,1.1006981,1.234789,0.6351299,0.0,0.0,1.2526163,0.16666357
annabellemovie,0.83760494,0.72431886,0.107584685,0.29766467,0.9209649,0.7479452,0.7994286,0.0,0.67167395,0.7356399,0.4397133,0.0,0.55135316,0.18537195,0.40144578,0.34924203,0.5259244,0.4235561,0.77127796,0.67581826,0.647898,0.24729697,0.78202295,0.301255,1.2537822,0.31929314,0.0,0.61298627,1.0030452,1.0087162,0.5513334,0.507098,0.593449,0.23181236,0.68007064,0.9695961,0.79054266,0.5598331,0.0,0.8652375,0.63644207,0.5752942,1.1452621,0.5635385,0.5721213,0.7666293,0.089388125,0.0,0.6374513,0.6325542,0.6656043,0.5237974,0.72032803,0.0,0.0014614568,0.37986118,0.3437119,0.49410355,0.75303227,0.8556964,0.7645327,0.58976454,0.0,0.9263619,1.1969289,1.3050468,0.41391674,0.72923815,0.0,0.7499725,0.1302525,0.6309557,0.53351074,0.46786365,0.5866773,0.19810201,0.7332501,0.38717544,1.037168,1.1019385,0.7066505,0.5387875,0.49679118,0.44021672,0.53676283,0.412381,0.7548083,0.5408582,0.0,0.1876781,0.52372277,0.8620951,0.6756191,0.8168196,0.45409358,0.7787112,0.0,0.0,0.6179796,0.39116827
annamovie,0.4128872,0.4676894,0.0,0.1004716,0.67543095,0.41576034,0.4809701,0.010251308,0.23498863,0.5727889,0.1657103,0.0,0.3418769,0.2786209,0.31839028,0.41379052,0.35407165,0.23665577,0.35066524,0.36344543,0.37366816,0.18439199,0.41616535,0.25342438,0.7692401,0.09197191,0.0,0.29904667,0.5783971,0.582191,0.5585594,0.29499793,0.4099696,0.28322333,0.5926399,0.47047615,0.5559932,0.52906656,0.0,0.48068252,0.4072564,0.45230857,0.62953013,0.4068484,0.3710411,0.35119236,0.03188528,0.12127352,0.4378153,0.5628332,0.4040628,0.14111023,0.4357263,0.0,0.0,0.29044282,0.03266478,0.2143884,0.49986678,0.5194267,0.39336577,0.15165193,0.122796774,0.5979025,0.4835098,0.7136722,0.13026719,0.42571804,0.0,0.37755048,0.14134522,0.28044713,0.25842217,0.23386571,0.46610907,0.3154295,0.2838692,0.22183554,0.5045574,0.5587079,0.46857986,0.45300996,0.25482938,0.28418386,0.3843922,0.261039,0.4100907,0.27087098,0.0830431,0.19717094,0.09295649,0.50600326,0.49726987,0.5448011,0.41285092,0.38523674,0.0,0.0,0.40486264,0.18484248
apollo11movie,0.37605587,0.27311912,0.013682315,0.09815289,0.3014137,0.16860214,0.34860095,0.0,0.14868131,0.33629748,0.16474749,0.0,0.17985885,0.22024012,0.17322943,0.21050769,0.31911227,0.12736481,0.18560673,0.26299077,0.33418858,0.15679558,0.27929515,0.15508778,0.44675893,0.06712754,0.0,0.30276173,0.4044843,0.3512909,0.23894072,0.28244293,0.19807014,0.13306937,0.3148182,0.2843196,0.3811596,0.3526247,0.0,0.30252492,0.24972981,0.23015146,0.37207007,0.14673775,0.25325066,0.25337398,0.12018938,0.0,0.32039985,0.29541114,0.33512717,0.119213864,0.2529413,0.0,0.0,0.21695812,0.07069199,0.15190434,0.35277873,0.3194522,0.2575704,0.19646525,0.119206496,0.38990253,0.24622932,0.37375286,0.035251085,0.38147184,0.0,0.32464713,0.17491016,0.19427322,0.25388062,0.14172587,0.37924275,0.1321036,0.30700594,0.092600144,0.30326623,0.4204214,0.27748588,0.2601774,0.2144271,0.14814194,0.33560073,0.23931631,0.26445413,0.27815127,0.0,0.24675798,0.26883638,0.4255825,0.24738431,0.34510368,0.29743248,0.19149785,0.0,0.0,0.22644791,0.07328971
arcticdogsmovie,0.5880869,0.35293174,0.099018,0.102049254,0.5783655,0.38256437,0.5516349,0.0,0.21318448,0.56665456,0.29450238,0.0,0.26125342,0.3182105,0.4694083,0.44333342,0.40398052,0.15643542,0.401457,0.26683468,0.30672666,0.19514912,0.6932778,0.27431554,0.7757817,0.09118449,0.0,0.48921967,0.43264487,0.49931616,0.50770205,0.3492414,0.4912589,0.30501893,0.6575368,0.44358477,0.6200607,0.7413262,0.0,0.40158316,0.37519738,0.23033464,0.7411882,0.20267922,0.48936507,0.40493584,0.16077383,0.18319142,0.61469215,0.29479128,0.43899834,0.15324847,0.4092303,0.0,0.0,0.3058361,0.030119672,0.31117594,0.5165128,0.40806836,0.4033143,0.2749976,0.058103215,0.5083973,0.40648398,0.6651289,0.017487708,0.45820817,0.0,0.61753184,0.20370178,0.20723903,0.39423993,0.25077286,0.4939166,0.26625684,0.4821879,0.35028023,0.5636294,0.6412146,0.39858365,0.564323,0.31384295,0.1995274,0.471365,0.41652533,0.3585998,0.32999998,0.06642168,0.19239733,0.33716542,0.54899234,0.548918,0.6212087,0.373514,0.23213284,0.0,0.0,0.62597805,0.16464068
arcticmovie,0.34802938,0.39981627,0.016718995,0.20320602,0.31453925,0.23340094,0.44036642,0.0,0.3920471,0.49169502,0.21518946,0.0,0.18450117,0.13805443,0.23522118,0.20549086,0.3403409,0.2545613,0.3057854,0.24471445,0.2917564,0.15540779,0.443384,0.124704376,0.61017454,0.10958967,0.0,0.35393497,0.41412222,0.43174428,0.31362814,0.2673142,0.305535,0.22866587,0.35189003,0.37305346,0.42822015,0.37747574,0.0,0.30347043,0.24406289,0.37495926,0.47519398,0.2166346,0.3359108,0.27292272,0.112194836,0.0,0.41936463,0.3494048,0.31026572,0.076530874,0.25308013,0.0,0.0,0.23155966,0.01858579,0.21971738,0.350371,0.38110027,0.35226208,0.19263615,0.11094976,0.3270214,0.37986997,0.40694267,0.21817254,0.3467802,0.0,0.37936714,0.1451331,0.17738117,0.2179205,0.09907055,0.24435245,0.18947315,0.2088837,0.1839477,0.3526342,0.48225734,0.2532264,0.3153616,0.24264692,0.20148323,0.3131613,0.2678686,0.35986897,0.43041143,0.13743645,0.1943188,0.29676312,0.393153,0.22199905,0.28504983,0.32553685,0.22086069,0.0,0.0,0.28789338,0.10611318
artofracingmovie,0.699096,0.44938916,0.07282157,0.19353689,0.431478,0.26505068,0.54984236,0.0,0.14628336,0.77723557,0.46174508,0.0,0.21685375,0.20321329,0.3521318,0.50896466,0.51471484,0.39142072,0.36502013,0.26491624,0.46838644,0.13699606,0.6336517,0.2815855,0.6430048,0.18233079,0.0,0.4718445,0.6670814,0.57696086,0.3169319,0.31282228,0.31670955,0.23687477,0.5968985,0.4750289,0.5563978,0.5146679,0.0,0.48182443,0.3628727,0.38282564,0.74827856,0.26056102,0.5069303,0.35708734,0.0,0.0,0.52615196,0.4159973,0.41626734,0.08982091,0.5041912,0.0,0.0,0.3216787,0.0,0.26312736,0.5425006,0.5481344,0.35542738,0.17232119,0.12114592,0.46684408,0.42920503,0.79419,0.0,0.42562836,0.0,0.41869974,0.19546767,0.298014,0.40308172,0.42694035,0.5854351,0.15706892,0.4353835,0.19074105,0.5416542,0.6967193,0.3132598,0.4469705,0.34814063,0.16706057,0.39441666,0.38241586,0.31103685,0.5221366,0.024721142,0.3792635,0.26863614,0.51715696,0.48035294,0.43564448,0.3440373,0.29508668,0.0,0.0,0.45720136,0.28714657
avengers,0.5552181,0.4994021,0.15712,0.060374565,0.5004924,0.33794263,0.6052071,0.0,0.40928787,0.47590286,0.19130328,0.0,0.1877248,0.086844295,0.25499427,0.2122989,0.42263684,0.35620674,0.36421922,0.24658877,0.33728868,0.16631767,0.5196148,0.24989763,0.84132516,0.11736051,0.0,0.41030303,0.35146853,0.4081688,0.55008066,0.38996744,0.28310597,0.15984693,0.53685737,0.52660614,0.5404557,0.53441125,0.0,0.2931716,0.41215757,0.3240066,0.52996826,0.2481462,0.4795986,0.31581184,0.047400527,0.19137806,0.30692747,0.34501436,0.33928338,0.0731601,0.29557818,0.0,0.0,0.31746322,0.06484309,0.12245903,0.36420763,0.43987772,0.3444054,0.29194075,0.11762222,0.45267475,0.33651677,0.5077032,0.08569012,0.52894527,0.0,0.45571446,0.0616539,0.09535711,0.19181928,0.23377022,0.3161765,0.20031242,0.3789324,0.18425001,0.39293295,0.57847965,0.31250817,0.2809208,0.25746566,0.14794305,0.40400782,0.30444348,0.26637456,0.52225757,0.12056028,0.24613577,0.27562347,0.50593,0.25667423,0.3337523,0.34181643,0.26378077,0.0,0.0,0.46708956,0.06563726
beachbummovie,0.6468356,0.5189725,0.20790161,0.0,0.4507529,0.3807449,0.53899086,0.0,0.16682789,0.5240148,0.35861933,0.0,0.29054865,0.13172479,0.36807588,0.28855577,0.3748629,0.2669019,0.3891784,0.39414594,0.5350805,0.10767615,0.45505464,0.27138868,0.855187,0.038775176,0.0,0.5566215,0.6930079,0.62054133,0.48858196,0.56162345,0.3615761,0.1283395,0.53841645,0.34145954,0.57543135,0.50658184,0.0,0.517924,0.37041175,0.2891411,0.6448535,0.28558493,0.35632423,0.45880097,0.1412835,0.0,0.63494176,0.40733784,0.59042495,0.25179514,0.33466017,0.0,0.0,0.35435733,0.12345539,0.34552932,0.6212505,0.5143634,0.4309578,0.29607964,0.015357074,0.639098,0.41038784,0.6758695,0.2821186,0.5714863,0.0,0.484891,0.2686116,0.34372634,0.56554335,0.32503524,0.7488808,0.21857004,0.45548204,0.26831228,0.49818042,0.7862275,0.6383478,0.42046756,0.26257074,0.22149867,0.6134713,0.3513367,0.3541853,0.48939776,0.0,0.30532855,0.28679883,0.6248567,0.50168055,0.6170225,0.501824,0.37969854,0.0,0.0,0.46116364,0.15146683
