movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.34371498,1.050357,0.0,0.69827056,1.0428222,0.91175634,0.40899774,0.5494043,0.5361383,0.8610887,0.97281957,0.9199323,0.975371,0.51592505,0.55725527,0.56190014,1.0235686,0.54931337,1.1309437,0.9425367
47metersdown,0.4116252,0.725769,0.0,0.67373925,1.3657944,1.15256,0.3886831,1.0093154,0.56752324,0.9959786,1.1298026,1.0849178,1.1269448,0.7538748,0.75364995,0.6341022,0.7104554,1.0183825,1.2849193,1.471343
abeautifuldaymovie,0.3385192,0.8157039,0.0,0.5297509,1.120309,0.7977026,0.58688366,0.49965504,0.5296861,0.68885237,0.7680555,0.86981326,0.74676114,0.56069505,0.53762484,0.649063,0.86778486,0.54365224,1.0337582,0.92927873
abominablemovie,0.50899714,1.064689,0.0,0.9740781,1.4772183,1.2596723,0.99122834,0.71461123,0.7723081,1.0131997,1.0592356,0.7642295,1.4682289,0.7771462,0.7907508,0.51284957,1.2821333,0.45617852,1.5086228,1.2025932
adastramovie,0.36827666,0.84371555,0.0,0.6992765,0.9321478,0.794621,0.47192764,0.44359466,0.4761177,0.6143746,0.7754758,0.80859065,0.62128764,0.31733602,0.48356313,0.35964102,0.68381166,0.47898415,0.9560084,0.90787417
adogsjourneymovie,0.7956481,1.5348582,0.0,1.1290463,2.0820096,2.1610065,1.3210549,0.76517004,1.0809923,1.2655419,1.6560593,1.542515,2.2572064,0.99928725,0.89302903,0.5965835,1.4445516,0.72610927,2.8062694,2.3441598
aftermathmovie,0.4383417,0.6405194,0.0,0.40005785,0.78603417,0.75692147,0.4140854,0.47863972,0.35480085,0.4461358,0.4633484,0.5416844,0.75281745,0.47150552,0.44114113,0.38702786,0.5451695,0.23186994,0.8640055,0.6492679
aftermovie,0.35569164,0.6335338,0.0,0.4965756,1.0056235,0.85187525,0.4803344,0.5473681,0.75341606,0.66873074,0.9999594,0.6434129,0.85654587,0.63860905,0.5783387,0.583712,0.82289416,0.6434297,0.9189509,0.74028313
ahiddenlifefilm,0.17967185,0.379379,0.0,0.27183124,0.4869101,0.42915457,0.25223136,0.24332038,0.22440721,0.30947262,0.36321703,0.32654482,0.37826234,0.23039544,0.23464093,0.2095019,0.3462901,0.2269158,0.48548794,0.42746764
alitamovie,0.7972183,0.96377224,0.0,0.6496119,1.3362828,1.2636014,0.6435558,0.70519346,0.70448375,0.8411281,1.2340257,1.132707,1.1727262,0.54680216,0.90762705,0.57502747,1.103789,1.01644,1.3260236,1.3265095
angelhasfallen,0.5694627,1.0621469,0.0,0.6486128,1.488581,1.1555369,0.9890704,0.59160846,0.6405073,0.8366418,0.74775165,0.9220477,1.100312,0.8194776,0.7742984,0.4475916,1.0851849,0.5987632,1.2164607,0.895381
angrybirdsmovie,0.36049476,1.6017748,0.0,1.2153099,2.672078,1.5200561,1.224104,0.7953015,1.0552769,1.3181278,1.7314612,0.9649663,2.1078022,1.0648464,0.8069138,1.1284391,1.630306,0.97093093,2.600301,1.9570197
annabellemovie,0.7457892,1.178514,0.0,1.1833465,1.9556142,1.648204,0.86348265,0.7800297,0.98904246,1.0391824,1.4502659,1.2012157,1.7024909,1.0832103,0.97946334,0.7657455,1.2521151,0.74616164,1.8777598,1.9149228
annamovie,0.63892466,0.7732298,0.0,0.63569766,0.9800963,0.8766956,0.58016664,0.66816956,0.4963215,0.630538,0.8525694,0.7843779,0.7992021,0.66821015,0.47341675,0.3509643,0.71109974,0.6453324,1.0776479,1.029143
apollo11movie,0.3927016,0.45051715,0.0,0.35174477,0.65899867,0.6150886,0.41294196,0.34696925,0.34980077,0.46047056,0.5251231,0.54755294,0.61487013,0.43073565,0.37765735,0.3602997,0.47590885,0.39097553,0.80419683,0.61058277
arcticdogsmovie,0.5155866,0.8487312,0.0,0.5546867,0.99712324,0.85198617,0.43631327,0.5466482,0.55038285,0.7883986,0.85908777,0.77998954,1.003908,0.66480756,0.6008095,0.46786296,0.71285295,0.50427943,0.97242814,0.94801164
arcticmovie,0.34913585,0.3932293,0.0,0.24946167,0.78032273,0.707033,0.44276357,0.42210093,0.4125108,0.51949304,0.63809365,0.64358336,0.7774406,0.5465294,0.5110568,0.36150318,0.63090223,0.3520732,0.5659654,0.7077882
