movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
angelhasfallen,0.58577496,1.0636958,0.30992854,0.90504426,0.1380831,0.8611335,0.49911416,0.5657918,0.6612853,0.0,0.69415414,0.89045674,0.3104148,0.86834353,0.7888361,0.0,0.68494064,0.70581293,0.70341665,0.82529527,0.55770373,0.4948389,0.5759166,0.3040359,0.9972309,0.7027694,0.0,0.6743395,0.19702153,0.5139575,0.33340368,0.9449868,0.78901213,0.7487365,0.9214877,0.18674405,0.06474382,0.74739826,0.51546514,0.8789124,1.1083298,0.8389579,0.86730593,0.69480425,1.1445521,0.59435314,1.0958824,0.83460015,0.2201335,0.49101883
angrybirdsmovie,1.335384,1.7957668,0.09864212,1.8355513,0.7063495,1.6721779,1.116136,0.9572956,1.300436,0.0,1.0703597,1.9887111,0.822877,1.3017197,1.5461425,0.0,1.307663,0.9631259,1.4802692,1.3561757,0.9767878,0.82228786,1.1250639,0.571477,2.1786199,1.3580418,0.0,1.3091564,0.51052284,1.412854,0.0,1.4539628,0.88497615,1.1108135,1.8120621,0.30716112,0.0,1.713523,0.33998212,1.8186499,1.8254281,1.6388664,1.546221,1.6971859,1.8831123,0.9760493,1.7954878,1.4161272,0.6770638,0.748098
annabellemovie,0.8174308,1.2352982,0.12935612,1.0577708,0.314207,1.3078911,0.73937577,0.98867905,0.9092055,0.0,0.9671151,0.7651647,0.46231169,0.84681755,0.9803083,0.0,0.82944673,0.7974735,0.63890505,1.0280851,0.8720284,0.4508357,0.45705462,0.6616548,1.2432402,0.83878124,0.0,1.0071285,0.0,0.70652246,0.23961523,0.94364303,0.7694598,0.9236295,0.93633676,0.3600028,0.26298887,1.2656397,0.72091895,0.798958,1.099689,1.0447134,0.8358427,0.9935825,1.0974818,0.903455,1.0895838,1.1451968,0.39895588,0.603056
annamovie,0.55096704,0.62367374,0.07729921,0.5425312,0.20814495,0.572294,0.45543075,0.3798499,0.5848155,0.0,0.5262465,0.7010379,0.32072717,0.5566176,0.49793455,0.0,0.57945454,0.47793242,0.40838206,0.46467295,0.4807533,0.3599968,0.3877063,0.20842272,0.6358129,0.4509041,0.0,0.49340287,0.09631405,0.4073279,0.13450177,0.57631034,0.51605296,0.49279186,0.5614507,0.28459835,0.07561886,0.6613728,0.34003583,0.50457585,0.7396995,0.4188449,0.54353935,0.5125959,0.6374445,0.49455062,0.592939,0.61132306,0.2561686,0.50401384
apollo11movie,0.35564727,0.5298907,0.07566156,0.51467663,0.24478504,0.49751014,0.26703152,0.33037508,0.4542207,0.0,0.44239223,0.44497886,0.16087739,0.318108,0.34281376,0.0,0.4624903,0.37171385,0.32165176,0.4870624,0.37730402,0.28562903,0.31431612,0.19897503,0.4774646,0.349921,0.0,0.38983557,0.0,0.41079503,0.14014411,0.49404657,0.36952397,0.4672887,0.41034997,0.1798414,0.1338001,0.3493859,0.38414374,0.49133056,0.47643262,0.4773492,0.39419022,0.39365298,0.4921711,0.35475996,0.48919308,0.47827968,0.16852388,0.43929815
arcticdogsmovie,0.4888929,0.66588974,0.0779394,0.7211439,0.119549565,0.71479696,0.4692145,0.6037317,0.5388868,0.0,0.5689789,0.68321115,0.28519505,0.41368034,0.5202403,0.0,0.62852097,0.57384735,0.45921093,0.5691162,0.5435043,0.49870342,0.37026513,0.32658598,0.8634903,0.5455723,0.0,0.5753727,0.20584242,0.59842163,0.078782216,0.71810144,0.4570512,0.6829946,0.72929937,0.12989658,0.10461028,0.7986748,0.33199224,0.7097967,0.7674306,0.54023564,0.7744867,0.6144129,0.7179769,0.5351088,0.75050414,0.6695995,0.37059888,0.5238804
arcticmovie,0.38934195,0.5272788,0.119155,0.61317813,0.12735482,0.42133015,0.3167159,0.40938377,0.29007024,0.0,0.4705302,0.41980463,0.22580789,0.37055135,0.5224489,0.0,0.5639158,0.4202269,0.38426664,0.41153613,0.39286578,0.14500804,0.27945444,0.20957044,0.7341758,0.36353725,0.0,0.4268427,0.08918413,0.30465046,0.06718139,0.38118422,0.35794422,0.49512213,0.5417924,0.18276072,0.065159,0.42095944,0.26703167,0.4319365,0.55997574,0.41327474,0.40567398,0.46237865,0.57358587,0.3228831,0.42739612,0.4928691,0.22049528,0.28767043
artofracingmovie,0.58170754,0.73690164,0.21552086,0.7625249,0.17365077,0.73755634,0.47213888,0.32937074,0.60061496,0.0,0.5053137,0.7198631,0.22556004,0.6303552,0.59985113,0.0,0.8123068,0.5961897,0.5384193,0.59352213,0.71849126,0.6731846,0.49948317,0.3232665,0.79861695,0.5256372,0.0,0.56044674,0.23813047,0.66903424,0.111865945,0.6276857,0.67906636,0.57510674,0.76444185,0.23011471,0.05111979,0.67304575,0.34369886,0.59634745,0.6832605,0.5055703,0.7882419,0.683436,0.6584413,0.27624425,0.77014595,0.53254074,0.38256374,0.6384695
avengers,0.6514716,0.6324887,0.0,0.7433367,0.078119464,0.51306844,0.41923445,0.44671184,0.48860514,0.0,0.56828237,0.6833133,0.20912679,0.36830664,0.7476852,0.0,0.4506211,0.4626484,0.49982017,0.5143794,0.4787188,0.46271014,0.51261663,0.29676607,0.70907855,0.5034802,0.0,0.6462876,0.0,0.46935976,0.0,0.46734476,0.583013,0.4422731,0.73279756,0.23205882,0.171843,0.5406911,0.41230127,0.46894667,0.6830998,0.5242661,0.58310944,0.6873107,0.55442166,0.35260192,0.6415982,0.601426,0.27442992,0.24223258
beachbummovie,0.38735226,0.5075176,0.01253811,0.6529016,0.2786228,0.6712243,0.34926546,0.44529662,0.82009083,0.0,0.63260627,0.6286813,0.2980888,0.5373681,0.4387332,0.0,0.5576512,0.39078274,0.38880363,0.62631047,0.60100675,0.45320058,0.5259264,0.2931449,0.68465,0.599241,0.0,0.6408673,0.06423767,0.40287817,0.0970266,0.63728374,0.4760668,0.5899098,0.79303825,0.14540438,0.08340658,0.51316446,0.43585262,0.7864105,0.4841674,0.6340837,0.6022703,0.44734132,0.69806015,0.30852908,0.6986738,0.72429365,0.24762961,0.5497142
bernadettefilm,0.7125568,0.73206234,0.21204954,0.7303096,0.33375996,0.81767267,0.42509657,0.65202314,0.6278775,0.0,0.74346834,0.94789505,0.21902864,0.5726482,0.65017986,0.0,0.6558678,0.4919847,0.55773115,0.64594537,0.59632134,0.3570844,0.7269473,0.34822175,0.84734464,0.5429473,0.0,0.49085388,0.18264431,0.63807946,0.113747984,0.80481774,0.67059195,0.82084525,0.8753989,0.41293946,0.20275193,0.7219738,0.54401654,0.8648892,0.66503227,0.7056401,0.61065114,0.5869285,0.6583134,0.64973927,0.8323986,0.7077455,0.1753656,0.72214746
blackandbluemovie,1.0599755,1.3692766,0.12559217,1.4708797,0.42209372,1.39791,0.88595647,1.0412736,1.3551066,0.0,0.9933542,1.3473254,0.48385102,0.9615614,0.8785437,0.0,0.93989295,0.8983878,0.91547483,1.1841078,0.98547816,1.078968,0.93532974,0.44806498,1.7184987,1.4565322,0.0,1.2793518,0.19667852,1.3153493,0.18321253,1.0329192,0.8758184,1.070832,1.547087,0.21130289,0.38420576,1.2159541,0.5331919,1.2181374,1.5360641,1.4383141,1.3916318,1.3759129,1.6867698,0.9206415,1.8632947,1.2733011,0.4809473,0.8566568
blackchristmas,0.7245192,0.9302256,0.012145725,0.75430006,0.31107116,0.7389023,0.401478,0.6014521,0.54603004,0.0,0.5297892,0.73364514,0.10426548,0.44653374,0.64595467,0.0,0.54456204,0.5335541,0.52655494,0.58953696,0.636981,0.4280803,0.4756327,0.20420891,0.84251213,0.51332045,0.0,0.7635438,0.17126535,0.6869824,0.11317572,0.64346516,0.70615554,0.52833843,0.679094,0.1959474,0.13146421,0.5209373,0.5124398,0.65539914,0.84834045,0.7262751,0.5539644,0.44182283,0.77464616,0.49164677,0.67307436,0.83072954,0.3657165,0.6387736
blindedbythelightmovie,0.44861594,0.43436098,0.0333389,0.43044543,0.14695174,0.49592817,0.35214025,0.3422466,0.40631562,0.0,0.28114688,0.44091827,0.19669163,0.36517593,0.44147417,0.0,0.4544062,0.35585192,0.44175065,0.45413223,0.28742826,0.29344034,0.39883077,0.19057688,0.54581445,0.25959373,0.0,0.4125146,0.06474355,0.3580745,0.044552997,0.42069513,0.30637148,0.3640608,0.49562335,0.002551362,0.16593468,0.4253089,0.31409487,0.34749871,0.51190746,0.41263926,0.4661267,0.38896054,0.4685253,0.30920205,0.48497015,0.4069811,0.20920798,0.3932365
bombshellmovie,0.64300233,0.9963997,0.031722497,1.0447541,0.20010063,1.1025447,0.43779394,0.8107051,0.8697089,0.0,0.5469705,0.92392796,0.2871502,0.56076366,0.6804682,0.0,0.78318423,0.70070267,0.6427735,0.7229479,0.67151695,0.27241933,0.44256225,0.25245097,1.0363109,0.7253107,0.0,0.6658057,0.18554218,0.77692395,0.052763514,0.78233176,0.661091,0.65497696,0.5735958,0.30247164,0.25758028,0.81342554,0.5327962,0.82396513,1.1459458,1.0847071,0.7468494,0.7923048,1.0277623,0.7846181,0.75900006,0.85029584,0.38427037,0.6731959
booksmart,0.55310786,0.65606713,0.014161431,1.0070167,0.0,0.89590603,0.29216737,0.5170987,0.292328,0.0,0.47516882,0.63122505,0.07256289,0.29000482,0.7742003,0.0,0.91892964,0.14648464,0.932886,0.7945227,0.19643173,0.09609659,0.11547659,0.0,1.1919363,0.5178684,0.0,0.27282745,0.0,0.48795548,0.0,1.03001,0.23697229,0.8008026,0.20322876,0.1669651,0.0,1.1394986,0.64102376,1.0559286,1.2462449,0.12422184,0.68976253,0.17530948,0.14491248,0.42643702,1.0830737,0.6751648,0.33113223,0.67384243
breakthroughmovie,1.0188566,1.8626416,0.0,1.4368427,0.5832842,1.494642,0.8940436,0.8174333,1.34185,0.0,0.86551964,1.5057195,0.542125,1.0248817,1.3059562,0.0,1.009426,1.3635414,0.91266656,1.0254985,1.4170061,1.2982404,0.8116235,0.29773307,1.714463,1.2130158,0.0,1.2945033,0.36492708,1.2184535,0.1197287,1.2704667,1.4922969,1.00447,1.555364,0.16494067,0.5373802,1.3998846,0.6900478,1.5160419,1.489186,1.273529,1.3443087,1.0063449,1.577521,0.763437,1.6783668,1.3886776,0.575499,1.2725506
brianbanksmovie,0.3942615,1.0257099,0.20991568,0.88251156,0.41156256,0.7368168,0.46852344,0.7532591,0.76667964,0.0,0.8193816,0.85679483,0.35902667,0.6080819,0.6845336,0.0,1.0581392,0.57274103,0.55887663,0.78390676,0.64721084,0.37123114,0.7896228,0.42116588,1.0238668,0.6977601,0.0,0.50849193,0.19231424,0.6401681,0.08118779,0.88808006,0.48557222,0.77993596,0.82485956,0.42005593,0.17304328,0.7729305,0.6110024,0.66615635,1.0405886,0.7184986,0.7758375,0.9370094,1.0377991,0.49884346,0.89734006,0.75958776,0.3847129,0.73392665
brightburnmovie,0.76930636,0.7509391,0.20873058,0.9085848,0.11031863,0.831158,0.4770847,0.4450242,0.7691722,0.0,0.6573536,0.8567212,0.3378864,0.5271179,0.68569946,0.0,0.58599657,0.5224236,0.5854043,0.7621185,0.44430232,0.502393,0.71664387,0.30955794,0.9426144,0.75139135,0.0,0.7922423,0.19993336,0.8028669,0.060236864,0.6984751,0.69408745,0.62485933,0.9760089,0.22118758,0.084149346,0.7152511,0.32180193,0.81770784,0.94152975,0.85226464,0.78071564,0.8712386,0.8089722,0.57979393,0.96892834,0.7828856,0.38886297,0.54367375
brittanyrunsmov,0.4317566,0.5445325,0.03265587,0.3700715,0.1839535,0.54091996,0.2911374,0.42425936,0.28148848,0.0,0.30273497,0.42819232,0.18910617,0.3291758,0.4749324,0.0,0.50717336,0.3742764,0.31555375,0.5145138,0.30871916,0.26630408,0.24717064,0.12997353,0.5034772,0.4028464,0.0,0.504107,0.10451564,0.32525837,0.0,0.50686085,0.3174312,0.390256,0.39486063,0.16880172,0.108887866,0.50522184,0.2647464,0.512801,0.5329139,0.5105614,0.4068636,0.46722206,0.40895924,0.3123583,0.46389538,0.35057956,0.2344576,0.3799224
