movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159
21bridgesmovie,0.2801286,0.20089976,0.40037593,0.0,0.3459048,0.06536647,0.40630972,0.32465777,0.3804558,0.49634662,0.4792933,0.10560814,0.4470871,0.22908783,0.23821189,0.30049035,0.2912207,0.0,0.18624033,0.31835467,0.2875427,0.0,0.14991434,0.032920957,0.46458998,0.31614938,0.1893092,0.23794484,0.075286604,0.4124763,0.0,0.31662878,0.25679225,0.0,0.45658663,0.2825546,0.22036922,0.17395405,0.25268236,0.28056952,0.31306145,0.0,0.32626396,0.30347973,0.0,0.3535957,0.08433915,0.11525392,0.45063537,0.3834485,0.3241096,0.03563296,0.22765408,0.2505034,0.53403634,0.17638044,0.0,0.43093204,0.14412633,0.19093232,0.0,0.0,0.0,0.29461068,0.39472923,0.14945221,0.25458506,0.20012596,0.0,0.5901725,0.09065622,0.0,0.19227995,0.0,0.054568373,0.36767322,0.3661298,0.0,0.38677478,0.4757208,0.3748116,0.023972988,0.31006503,0.15205692,0.1812675,0.3238501,0.0,0.0,0.0,0.33827123,0.46034354,0.10743438,0.26480135,0.067210846,0.25239286,0.0,0.0,0.3542089,0.3097959,0.18881528,0.0,0.3805998,0.39623684,0.317472,0.33524424,0.113170974,0.096323326,0.3479358,0.4044449,0.15847844,0.33578393,0.0,0.5370206,0.4368484,0.02076284,0.37502205,0.0,0.13764942,0.23329185,0.2674882,0.32715935,0.23720461,0.39093438,0.20602569,0.0,0.24752219,0.0,0.35955828,0.3055566,0.45636684,0.49220085,0.3396384,0.34241307,0.31374457,0.35924417,0.08625377,0.0,0.0,0.124261945,0.0,0.2762073,0.22925249,0.3362448,0.23924336,0.4022229,0.12862657,0.45256054,0.44968966,0.39708665,0.40054864,0.0,0.4574194,0.35218,0.5681414,0.4516237,0.0,0.21052283,0.27366924,0.0,0.25142685
47metersdown,0.36664382,0.374193,0.56228715,0.0,0.33987015,0.17312913,0.4862585,0.38411874,0.3373856,0.44211873,0.497295,0.47783017,0.5866899,0.3422276,0.37848163,0.33062568,0.28678107,0.0,0.42189875,0.4347877,0.30764407,0.0,0.38573685,0.0,0.34636647,0.35546634,0.32213357,0.27229822,0.33310923,0.48563075,0.0,0.4460583,0.40741897,0.0,0.4053463,0.2642504,0.45027354,0.070813246,0.32435873,0.42205065,0.3549308,0.0,0.37012753,0.48531127,0.0,0.15966862,0.35035288,0.14643472,0.48647213,0.4847539,0.6052266,0.16375208,0.55328906,0.19481675,0.3412814,0.30122703,0.0,0.46893498,0.4724428,0.39518875,0.0,0.0,0.0,0.36461914,0.55664855,0.3074222,0.50070477,0.2248751,0.0,0.40534323,0.14958385,0.0,0.31989434,0.0,0.14747064,0.44323373,0.33332837,0.0,0.5757568,0.45582914,0.61449456,0.08359113,0.305423,0.121930584,0.025695806,0.5714552,0.0,0.0,0.0,0.34340036,0.45842195,0.50040054,0.376919,0.0,0.38706377,0.0,0.047192324,0.5989945,0.3574446,0.44841155,0.0,0.36698824,0.6695466,0.3953044,0.43046683,0.22175656,0.0,0.35829598,0.31655568,0.21458595,0.37077922,0.0,0.5158562,0.46150738,0.17088977,0.40298963,0.0,0.24302427,0.35987353,0.42029616,0.45819837,0.34094688,0.25256655,0.2502908,0.0,0.48909965,0.0,0.5007795,0.31142694,0.5919017,0.5313691,0.5055488,0.27866197,0.3030579,0.547494,0.0,0.0,0.0,0.14755905,0.16652101,0.2503227,0.18244494,0.38948748,0.4020171,0.4791029,0.36679855,0.5472116,0.26310012,0.6151555,0.6510547,0.0,0.54987466,0.40604663,0.71163917,0.5165572,0.0,0.57174134,0.38541034,0.0,0.5567855
abeautifuldaymovie,0.43254894,0.14437757,0.48113212,0.0,0.29441428,0.07310306,0.369588,0.36068183,0.35501522,0.5454177,0.5325792,0.2963622,0.2791606,0.31494877,0.3550395,0.11553147,0.2508931,0.0,0.23243973,0.25582707,0.3494001,0.0,0.22648562,0.04963531,0.40981874,0.343862,0.29067475,0.17401484,0.09600173,0.50391203,0.0,0.41637668,0.32034087,0.0,0.53955233,0.29510093,0.2575993,0.14450479,0.21055822,0.18349193,0.3275657,0.0,0.33193335,0.38970673,0.0,0.24430701,0.12386572,0.23251638,0.41632068,0.4315984,0.43222916,0.08910919,0.2975596,0.20755588,0.4033198,0.23444061,0.0,0.3299666,0.33365518,0.3049516,0.0,0.0,0.0,0.2569087,0.32657665,0.3030837,0.37563673,0.16267362,0.023312554,0.44968826,0.20066504,0.0,0.31064308,0.0,0.0,0.37284967,0.3738362,0.0,0.37622127,0.45697364,0.39724797,0.17496093,0.4236347,0.10183348,0.25676665,0.4604791,0.0,0.0,0.0,0.2865642,0.44671455,0.19422305,0.39773262,0.154437,0.24537952,0.0,0.0,0.44800502,0.15032771,0.31329376,0.0,0.36046287,0.3205343,0.29188514,0.36821717,0.14694238,0.17911536,0.35284066,0.39834782,0.09614667,0.3895978,0.0,0.558075,0.41917717,0.0,0.128014,0.0051885257,0.29387054,0.43833813,0.24616706,0.29335755,0.41729498,0.28665796,0.2108031,0.0,0.18976341,0.0,0.23169558,0.13849057,0.43054217,0.42711806,0.3615068,0.35794717,0.2718141,0.36998123,0.13337083,0.0,0.0,0.046179622,0.1676393,0.23272073,0.123692304,0.22973007,0.28711745,0.35161683,0.08428372,0.48779842,0.34219348,0.41912922,0.45992664,0.0,0.33913618,0.27589482,0.4648801,0.447574,0.016030593,0.37542874,0.21451037,0.0,0.5046966
abominablemovie,0.85145444,0.0,0.8054292,0.0,0.76622164,0.44058406,0.8807358,0.53629506,0.3998119,0.83557445,0.88247216,0.5638385,0.7540769,0.5480593,0.659003,0.31419283,0.44681922,0.0,0.2708224,0.3108709,0.2245473,0.0,0.2986155,0.15340188,0.7103076,0.5323093,0.2639792,0.5056342,0.32353777,0.697907,0.0,0.69275045,0.441208,0.0,1.0308172,0.5315967,0.29833308,0.71894515,0.40236333,0.29888976,0.633134,0.0,0.6144252,0.5370805,0.0,0.8455777,0.39417082,0.51518995,0.4550745,1.0120025,0.605643,0.114819065,0.47735646,0.21754326,0.69275296,0.537573,0.0,0.7270943,0.5382064,0.45898032,0.0,0.0,0.0,0.5349519,0.74947065,0.61045796,0.61085546,0.38935363,0.0,0.94940096,0.38682,0.0,0.6866194,0.0,0.0,0.81843364,0.48794103,0.0,0.7953347,1.0399835,0.6719999,0.05587444,0.5649357,0.0,0.38593358,0.49044958,0.0,0.0,0.0,0.47062162,1.049935,0.541876,0.6842847,0.18486372,0.5350442,0.0,0.0,0.7119204,0.705573,0.27827334,0.0,0.51418394,0.33318412,0.5974346,0.45073965,0.32690525,0.4396117,0.6236358,0.6034346,0.40603966,0.48624504,0.0,0.8450485,0.7355691,0.18617909,0.4760504,0.0,0.310708,0.4315698,0.43631753,0.71376485,0.39915168,0.5602445,0.34645766,0.0,0.40004885,0.0,0.32372397,0.48700213,0.74321866,0.8542953,0.8356411,0.4805351,0.5202683,0.39316487,0.1543374,0.0,0.0,0.057037346,0.075195804,0.6019225,0.33136618,0.46918646,0.63210464,0.8648326,0.27692664,0.53650326,0.7910713,0.6310009,0.6187743,0.0,0.870289,0.4596228,0.97779185,0.6866668,0.0426011,0.5943136,0.41363716,0.0,0.62167495
adastramovie,0.35535377,0.10974722,0.37212038,0.0,0.29719833,0.21056908,0.4408905,0.33775383,0.202021,0.4923334,0.41413164,0.07672327,0.32934567,0.25789338,0.32205206,0.12090666,0.24516165,0.0,0.2030792,0.23162337,0.23350383,0.0,0.1698628,0.07964157,0.32473612,0.26821622,0.22922581,0.27387297,0.017676998,0.28559798,0.0,0.2670025,0.26765257,0.0,0.5196718,0.19315682,0.13838407,0.2154859,0.4039233,0.27223894,0.23802757,0.0,0.23106872,0.28014845,0.0,0.40182376,0.16395506,0.08473187,0.31099808,0.35589665,0.2982021,0.08605805,0.16328394,0.19001035,0.22238867,0.14081657,0.0,0.2713818,0.3072636,0.26420212,0.0,0.0,0.0,0.19197272,0.36648616,0.18939105,0.23696989,0.17084885,0.06578393,0.4838087,0.14741655,0.0,0.3833036,0.0,0.0,0.29387832,0.28637734,0.0,0.4194105,0.5427115,0.372868,0.20899631,0.3151772,0.060442865,0.2678589,0.46405327,0.0,0.0,0.0,0.30582026,0.4272268,0.12026453,0.42138425,0.21094522,0.35865837,0.0,0.071037404,0.28882012,0.23635237,0.2668425,0.0,0.335047,0.31012365,0.2679171,0.28150454,0.08195476,0.04461904,0.34657153,0.3626317,0.15905212,0.45401585,0.0,0.42473698,0.39265054,0.12696649,0.19787298,0.0,0.1674142,0.19694206,0.31809595,0.29535824,0.3049375,0.3791004,0.2706072,0.0,0.18440412,0.0,0.26306474,0.19465801,0.25959763,0.295583,0.30507287,0.31995332,0.33751893,0.2824015,0.0,0.0,0.0,0.049768753,0.025783341,0.18471912,0.10935907,0.29147685,0.21914494,0.3285206,0.22189638,0.47732022,0.36996207,0.44387823,0.3846248,0.0,0.4165805,0.26978475,0.4764579,0.37760144,0.0,0.2023778,0.17214665,0.0,0.30629176
adogsjourneymovie,0.9190807,0.19989042,0.95812345,0.0,1.0511777,0.52142286,1.3095171,0.7775195,0.72256464,1.1334054,1.0431879,0.40805325,1.0265434,0.74970514,1.0935365,0.44847444,0.67092806,0.0,0.61704195,0.34464848,0.28472263,0.0,0.59705067,0.38807362,0.98333144,0.57729363,0.69697225,0.73876154,0.10042462,1.3394874,0.0,1.1094828,0.4328838,0.0,1.1121756,0.7496224,0.5846393,0.5851319,0.721257,0.61512744,0.6878607,0.0,0.8395963,0.8274255,0.0,0.7034427,0.23167956,0.3539837,0.56500685,0.72581506,1.1971482,0.0,0.35261026,0.025591632,0.53194743,0.27560002,0.0,0.6603335,0.936763,0.40448844,0.0,0.0,0.24549755,0.31977484,0.8072945,0.72874296,0.8686022,0.3536526,0.09239907,1.1692194,0.3698648,0.0,1.0435088,0.0,0.27733237,0.6251807,0.83839595,0.0,1.2871019,1.3408293,1.1115267,0.08301591,0.9931877,0.1117504,0.6345648,0.79395103,0.0,0.0,0.0,0.5465956,1.2328361,0.4132336,0.8085602,0.26465788,0.7943979,0.0,0.0,0.91789913,0.9146945,0.48657286,0.0,0.8619015,0.76999784,0.65224546,0.6699108,0.4776026,0.20296492,0.6819427,0.5991209,0.27337906,0.65326995,0.0,1.0007216,1.0483453,0.033713154,0.6600435,0.0,0.53038114,0.83087194,0.5793988,0.79137176,0.9227776,0.86019725,0.638244,0.0,0.5038229,0.0,0.68518,0.36775494,1.1655823,0.6563953,0.48633945,0.8213954,0.5106228,0.5225789,0.10006867,0.0,0.0,0.10626994,0.0,0.43131745,0.2816235,0.92034376,1.0280093,0.8144951,0.62632084,1.1024114,0.81481564,0.8049909,0.8867543,0.0,1.10811,0.42966807,1.3875544,1.0676906,0.0062576397,0.7126142,0.732939,0.0,1.0055374
aftermathmovie,0.25490835,0.10679293,0.31868204,0.0,0.20410682,0.13124068,0.4012011,0.26137975,0.1959953,0.3130237,0.407583,0.19539493,0.30414596,0.21682963,0.3657799,0.29231024,0.19538763,0.0,0.1556682,0.28529066,0.2739555,0.0,0.19312194,0.007550031,0.35157195,0.2579149,0.22617266,0.3216196,0.09581815,0.35997295,0.0,0.31453392,0.15455028,0.0,0.35853618,0.22781277,0.26540974,0.19076657,0.13007647,0.20293415,0.30002618,0.0,0.4037214,0.30841774,0.0,0.22974081,0.19863959,0.13294308,0.33686787,0.36864248,0.40442652,0.044817343,0.2319658,0.15543532,0.40987763,0.17536996,0.0,0.20742966,0.2552935,0.18205063,0.0,0.0,0.0,0.17656101,0.4011098,0.25556108,0.33045992,0.057195358,0.0,0.37717438,0.14815867,0.0,0.27990243,0.0,0.04264374,0.26749897,0.33223385,0.0,0.45743182,0.38134202,0.41808078,0.055070568,0.26801556,0.16682516,0.12942933,0.40365618,0.0,0.0,0.0,0.35977563,0.3970403,0.1214333,0.36757487,0.13965729,0.23324867,0.0,0.0,0.41175836,0.3819975,0.2787131,0.0,0.2856175,0.35102022,0.26581937,0.3082688,0.18654661,0.08458211,0.28717175,0.3529618,0.1250444,0.32622308,0.0,0.44773835,0.36400902,0.066586606,0.15466696,0.0,0.28110108,0.23382226,0.2314313,0.21347556,0.31586215,0.35213903,0.25107703,0.0,0.18844466,0.0,0.28751868,0.28330314,0.32936683,0.3004036,0.2173914,0.2393169,0.20200579,0.26856622,0.07009823,0.0,0.0,0.13854982,0.10918236,0.27398464,0.16557042,0.30069843,0.27183923,0.33518377,0.28710797,0.39140415,0.29929492,0.50822675,0.40324485,0.0,0.3505571,0.30962288,0.5201311,0.40099677,0.0,0.222687,0.16554649,0.0,0.42000347
aftermovie,0.36585236,0.095744684,0.5204906,0.0,0.4376219,0.12997238,0.5114055,0.400541,0.3069459,0.47751752,0.5373587,0.3150718,0.31642342,0.3429313,0.3897421,0.17934969,0.27351585,0.0,0.19408964,0.29999554,0.28407001,0.0,0.26478273,0.0,0.43658754,0.39298534,0.26393294,0.14338931,0.26076338,0.3833174,0.0,0.39504132,0.3748427,0.0,0.60468394,0.3071386,0.25835565,0.20701861,0.35293078,0.25620466,0.2787947,0.0,0.35601124,0.38707113,0.0,0.40261436,0.10259492,0.3720208,0.3176298,0.51099867,0.3014474,0.00588396,0.44147104,0.29267746,0.52330995,0.3906759,0.0,0.35202688,0.4052976,0.20134296,0.0,0.0,0.050413787,0.3582912,0.4909571,0.3609905,0.28922588,0.26531097,0.03395282,0.41685408,0.17428134,0.0,0.2986933,0.0,0.011685155,0.25675955,0.35605788,0.0,0.34108526,0.41016445,0.42072746,0.19716375,0.40911594,0.18501985,0.18863556,0.4098959,0.0,0.0,0.0,0.34125686,0.57603455,0.33005717,0.4096954,0.08567096,0.27944005,0.0,0.10698712,0.3994741,0.21470328,0.41005915,0.0,0.3606264,0.32010165,0.2867788,0.4079625,0.14621289,0.010844966,0.2933287,0.4342561,0.36199763,0.36915338,0.0,0.44946572,0.43058854,0.0,0.27319798,0.0,0.1387274,0.18647377,0.31479383,0.32301843,0.3805335,0.31229055,0.39726987,0.0,0.13909109,0.0,0.29387975,0.37825114,0.4901563,0.3489744,0.30890167,0.2961378,0.20858572,0.44644678,0.0,0.0,0.0,0.07383434,0.082688056,0.31765288,0.26714617,0.3023205,0.41752163,0.37357858,0.26110134,0.4833099,0.33718237,0.41852376,0.5416416,0.0,0.4363039,0.45880836,0.4678287,0.42455512,0.07114905,0.34975594,0.2235853,0.0,0.27842724
ahiddenlifefilm,0.16504201,0.046277765,0.18527114,0.0,0.14049576,0.06563458,0.18726097,0.13577156,0.13613981,0.18470572,0.19771567,0.115651995,0.15828836,0.11764674,0.1482099,0.08690499,0.103203,0.0,0.085999355,0.11620424,0.1242563,0.0,0.09811053,0.024471628,0.18906167,0.13013719,0.101296365,0.12367864,0.08251569,0.18249786,0.0,0.1690048,0.10329885,0.0,0.20562497,0.09738626,0.1281483,0.099564806,0.12155682,0.11976308,0.1186906,0.0,0.15331508,0.15233083,0.0,0.1645972,0.071894065,0.09567496,0.13454595,0.1996231,0.1365296,0.03149917,0.12616973,0.07724518,0.16132654,0.10994322,0.0,0.13519564,0.14452896,0.11188913,0.0,0.0,0.0,0.10222739,0.15644798,0.13573451,0.14564893,0.0798778,0.002296445,0.19818573,0.09566929,0.0,0.13058448,0.0,0.03260444,0.14139496,0.16119978,0.0,0.18692781,0.21194409,0.17922623,0.04801207,0.15421514,0.04475119,0.09695694,0.16219568,0.0,0.0,0.0,0.1279554,0.19611557,0.09327114,0.16504933,0.05332709,0.13221575,0.0,0.021651857,0.17593586,0.121767275,0.119159035,0.0,0.14948261,0.15164691,0.13683964,0.13099416,0.070841186,0.043606758,0.13588864,0.16490087,0.06433791,0.1636626,0.0,0.1917772,0.1674823,0.035069726,0.11725319,0.0,0.10909678,0.11943621,0.12507705,0.16025846,0.12664948,0.16143887,0.115197375,0.0,0.10545054,0.0,0.121115975,0.12004767,0.18798526,0.16145273,0.1380395,0.13091102,0.114066705,0.13368976,0.031865783,0.0,0.0,0.01758484,0.041075148,0.13302803,0.07190611,0.13923152,0.12899193,0.15256923,0.09471161,0.17215501,0.14709717,0.19802932,0.17585166,0.0,0.17223452,0.12674925,0.22447127,0.171493,0.0,0.14139116,0.111573555,0.0,0.16915657
alitamovie,0.50199646,0.21086077,0.60392237,0.0,0.2742389,0.1457675,0.67217994,0.4083302,0.5555999,0.60263103,0.5931761,0.33383563,0.6094027,0.39743784,0.42404875,0.41801044,0.30847982,0.0,0.15132649,0.28790802,0.4180693,0.0,0.36661157,0.048845418,0.6865978,0.43076515,0.27822042,0.46430603,0.0,0.7692281,0.0,0.5655956,0.3078993,0.0,0.93182886,0.3634483,0.34266317,0.45996773,0.5367698,0.1829577,0.33138433,0.0,0.38063747,0.5664742,0.0,0.6964411,0.20037965,0.39270312,0.374055,0.729577,0.55052227,0.31011817,0.38121006,0.2590234,0.42633072,0.30264625,0.0,0.33154902,0.5179799,0.6380892,0.0,0.0,0.00787558,0.23979494,0.50555015,0.5169726,0.45156223,0.2540091,0.061263356,0.4710583,0.38969183,0.0,0.45131835,0.0,0.07181573,0.44747582,0.50112647,0.0,0.69471204,0.76772785,0.49714223,0.1997157,0.52796304,0.30990082,0.23058504,0.72710663,0.0,0.0,0.0,0.6838505,0.6195482,0.13335481,0.5615452,0.25876287,0.596204,0.0,0.0,0.6826173,0.34202757,0.34538114,0.0,0.3655481,0.39025086,0.47641748,0.54144067,0.03159275,0.044615917,0.5428318,0.6283054,0.05552247,0.68232685,0.0,0.47262955,0.5676837,0.0,0.44780672,0.0,0.2783131,0.5269507,0.37093174,0.5781424,0.6622477,0.6024163,0.16417466,0.0,0.59749466,0.0,0.3322069,0.37537023,0.6781203,0.47754526,0.5557547,0.5662643,0.39168602,0.5016359,0.0,0.0,0.0,0.15316494,0.21489112,0.24492808,0.29676235,0.5368525,0.5019138,0.41974905,0.21825728,0.67625487,0.5361713,0.59783673,0.7041726,0.0,0.4041844,0.46692675,0.7367719,0.50827426,0.04507781,0.39845756,0.4454696,0.0,0.59198576
