movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79
21bridgesmovie,0.0,0.362658,0.37654096,0.32175627,0.26945478,0.011613131,0.4887344,0.27377087,0.2201502,0.4057395,0.48266643,0.0,0.7819672,0.23617038,0.29290545,0.4905962,0.07769783,0.42929736,0.45478353,0.15361457,0.33155203,0.5669626,0.669444,0.49061245,0.12157449,0.0,0.0,0.7677506,0.22411951,0.31440887,0.0,0.55608064,0.089962274,0.0,0.39343074,0.2691642,0.0,0.4605219,0.39953512,0.38410655,0.28706896,0.44845635,0.7282538,0.14317012,0.370424,0.67123926,0.03556239,0.0,0.42973572,0.0,0.1645309,0.0,0.036703017,0.6123159,0.33200774,0.39157847,0.47404194,0.49779826,0.31049278,0.3035326,0.72240734,0.054857425,0.22212963,0.42304862,0.3444387,0.24167934,0.32746458,0.5905539,0.48908404,0.37892863,0.70904976,0.59008795,0.16589622,0.38120645,0.30535772,0.5119841,0.25606894,0.18109226,0.0,0.56198543
47metersdown,0.0,0.55492514,0.3752374,0.5249936,0.21507508,0.41367587,0.36991554,0.07815549,0.4832052,0.39334735,0.48745352,0.0,0.87855023,0.2680414,0.16387734,0.28063732,0.16982368,0.67982,0.57886684,0.14188902,0.6106506,0.8763903,0.801947,0.83926874,0.0,0.0,0.0,0.61069524,0.70157665,0.5674155,0.0,0.7078689,0.1587498,0.0,0.4205357,0.40894535,0.0,0.64756685,0.6474411,0.5676368,0.29637516,0.4522726,0.5922719,0.45154843,0.55501455,0.900455,0.23018435,0.0,0.91990817,0.0,0.26304272,0.0,0.16357678,0.5943456,0.36160806,0.07050505,0.9965394,0.7351718,0.3358252,0.37402263,0.6427748,0.2115639,0.7966346,0.59605765,0.6520136,0.19857916,0.8251988,0.767026,0.5359455,0.3250392,0.60688907,0.6199586,0.5763203,0.53761315,0.3105611,0.57090294,0.08213434,0.50532883,0.0,0.6868688
abeautifuldaymovie,0.0,0.37935996,0.48693305,0.2980815,0.08678333,0.04602232,0.26321143,0.32400298,0.30359107,0.3864724,0.49444783,0.0,0.5826498,0.16442116,0.14735731,0.17596051,0.15336278,0.4421729,0.44097108,0.06861141,0.3575606,0.60220283,0.56508946,0.32025704,0.0,0.0,0.0,0.54146725,0.24786898,0.3451827,0.0,0.46160385,0.24213575,0.0,0.2525849,0.41513112,0.0,0.44548163,0.3919368,0.37511262,0.24733907,0.32357413,0.4378558,0.14354989,0.22437474,0.63650805,0.040278792,0.0,0.49404618,0.0,0.28162903,0.0,0.137382,0.57004344,0.24806088,0.28647557,0.4268747,0.39167026,0.17217685,0.27662224,0.617224,0.00496486,0.4525215,0.45065862,0.3946209,0.11475949,0.40152562,0.2780645,0.5113788,0.42685157,0.5804941,0.49103004,0.2899721,0.2800098,0.17004496,0.4662008,0.2110023,0.28447032,0.06850537,0.5404043
abominablemovie,0.0,0.96238405,0.60648715,0.5945351,0.61195225,0.63232166,0.42677197,0.5592084,0.47788084,0.6015141,0.85787827,0.0,0.9297831,0.0,0.0,0.29715365,0.34768727,0.928042,0.84239507,0.011913041,0.25172132,0.67312485,0.93377143,0.47749877,0.0,0.0,0.0,0.8589335,0.4089581,0.52930915,0.0,0.7886045,0.3835325,0.0,0.7946611,0.4773996,0.0,0.47022364,0.55407715,0.69196504,0.48591307,0.79932845,0.96948874,0.41845235,0.35155654,0.6771574,0.0,0.0,1.0912673,0.0,0.26582378,0.0,0.2609866,0.94983023,0.7092023,0.34355992,0.73988014,0.55651206,0.44324368,0.08641429,0.821034,0.13027127,0.6815528,0.67481,0.7194829,0.3409155,0.5166509,0.57497746,0.82480705,0.71326727,0.846062,0.6736253,0.31701472,0.6538801,0.43288815,0.72017074,0.27919,0.7323437,0.0,0.8754001
adastramovie,0.0,0.37812495,0.31232592,0.3106223,0.041389056,0.18028265,0.27216455,0.14432274,0.25592488,0.47419876,0.46408156,0.0,0.43507123,0.16042271,0.19639868,0.19460496,0.1450589,0.40830353,0.37382916,0.0,0.12804896,0.51018107,0.5772436,0.32951257,0.0,0.0,0.0,0.48147535,0.2213574,0.47112837,0.0,0.42050275,0.29364753,0.0,0.31863683,0.26160944,0.0,0.34980866,0.38474572,0.43587336,0.17156494,0.3902942,0.4894482,0.21102697,0.2493804,0.42756635,0.12358622,0.0,0.33875903,0.0,0.17973448,0.0,0.112437256,0.7140793,0.16065629,0.35014212,0.36541057,0.27526328,0.15564154,0.05814862,0.45324877,0.0962242,0.40046722,0.3597252,0.37978953,0.13301331,0.4422394,0.36264148,0.5146107,0.33459854,0.5896376,0.5574911,0.2673927,0.24791059,0.29127222,0.42999536,0.23568277,0.322083,0.0,0.49485484
adogsjourneymovie,0.0,0.81886023,0.7871758,0.38444987,0.32531568,0.04336524,0.8211958,0.39954844,0.52938247,0.6232678,0.7987371,0.0,0.97828394,0.27521446,0.0,0.18742205,0.54134506,1.0773271,0.75168157,0.0,0.53959596,1.2385826,1.4653181,1.017,0.03579893,0.0,0.0,1.1432607,0.7893238,0.63201886,0.0,1.177116,0.28937885,0.0,0.14036421,0.36549273,0.0,1.1809555,0.49121007,0.60699266,0.21652137,0.794831,0.46898282,0.61464787,0.502922,0.84123635,0.58100295,0.0,1.023064,0.0,0.19435823,0.0,0.09384308,0.9560773,0.6214354,0.347887,0.81960106,0.6274548,0.59140116,0.51535773,0.72492063,0.19538239,0.7055626,0.40564173,0.8102657,0.619105,0.7814944,0.6233689,1.0555282,0.5889702,1.1288667,0.89721525,0.49374223,0.8990016,0.63973886,0.5493115,0.37786466,0.73746717,0.0,1.0942631
aftermathmovie,0.0,0.37623945,0.41646227,0.22782338,0.10752557,0.11267767,0.2954117,0.0860627,0.2827686,0.32826203,0.45836347,0.0,0.5068448,0.1935265,0.18532887,0.1275512,0.27588627,0.39841568,0.20157461,0.0,0.18855774,0.43863615,0.49535784,0.37462884,0.0,0.0,0.0,0.40648234,0.22598422,0.40210333,0.0,0.4361215,0.25584587,0.0,0.17094319,0.134412,0.0,0.31457356,0.37356928,0.35890517,0.114458114,0.44078404,0.483057,0.19072372,0.327575,0.3960722,0.253831,0.0,0.30789238,0.0,0.007773742,0.0,0.005698651,0.54134256,0.25568148,0.2767634,0.21712491,0.2996378,0.20449427,0.31190586,0.5354959,0.0,0.44579667,0.2471748,0.2872841,0.27232718,0.33358186,0.1757628,0.468104,0.15512191,0.39079005,0.37058386,0.20664282,0.33880582,0.29840127,0.37044635,0.20761418,0.23151168,0.0,0.43195543
aftermovie,0.0,0.43750188,0.3739761,0.40330842,0.25189596,0.1892091,0.395949,0.20394017,0.37935126,0.25630462,0.5222968,0.0,0.65597194,0.101060435,0.1910027,0.22338834,0.23015916,0.5272664,0.2619314,0.006596053,0.32361817,0.683582,0.79926,0.35875484,0.0310182,0.0,0.0,0.47414744,0.34845155,0.36671606,0.0,0.59019464,0.19287033,0.0,0.4216073,0.57356167,0.0,0.41069284,0.523837,0.41628978,0.3185763,0.50629467,0.6857729,0.27176625,0.4034547,0.49523216,0.21674165,0.0,0.6123526,0.040712047,0.13091657,0.0,0.0,0.6177824,0.4946186,0.34599924,0.5420939,0.3773761,0.4169312,0.08503513,0.5706257,0.044498183,0.63920796,0.46147716,0.43644634,0.3515328,0.45212817,0.4537641,0.54245377,0.39456275,0.5994726,0.58141047,0.43334416,0.35191286,0.37572202,0.3514212,0.2006322,0.41875026,0.0,0.50304455
ahiddenlifefilm,0.0,0.24833855,0.2154681,0.1985492,0.07371594,0.10579988,0.1673047,0.104749106,0.21190485,0.1811877,0.25817564,0.0,0.30766767,0.10702194,0.11442584,0.13042966,0.13245903,0.24199136,0.20813371,0.0,0.13057214,0.2891167,0.33862907,0.2188681,0.0,0.0,0.0,0.27820566,0.19328842,0.22490487,0.0,0.27840334,0.12115139,0.0,0.16762194,0.18436018,0.0,0.21937475,0.19121408,0.23108992,0.15550199,0.24112709,0.29115576,0.14551084,0.17765975,0.28613615,0.07752426,0.0,0.2701732,0.0,0.104403764,0.0,0.04880113,0.3086251,0.14181171,0.15892223,0.24751943,0.20273204,0.15191564,0.16556047,0.285536,0.045549124,0.22942182,0.21200728,0.20583943,0.11485642,0.23658483,0.26275158,0.26321432,0.19307761,0.27544916,0.26148,0.1690762,0.21490982,0.15956697,0.20907214,0.07585358,0.17625573,0.0,0.2646752
alitamovie,0.09627095,0.6028401,0.7657287,0.5142383,0.18286364,0.18597066,0.14215845,0.0,0.5336338,0.49804062,0.48420167,0.0,0.7445847,0.65484285,0.30304694,0.25928807,0.15346226,0.21425568,0.52285707,0.011416094,0.1173768,0.8614456,0.86502856,0.52866477,0.0,0.0,0.0,0.5149692,0.40775144,0.45193234,0.0,0.6405038,0.46983993,0.0,0.17546839,0.34613246,0.0,0.48862326,0.50279963,0.8355173,0.5039635,0.5015271,0.73395705,0.33269504,0.48047963,0.71169496,0.1815684,0.12493408,0.42045534,0.0,0.20734909,0.0,0.17378724,0.69315475,0.31038526,0.04131945,0.49090585,0.45481214,0.2712504,0.33801275,0.67917776,0.18206932,0.66835284,0.3310098,0.6282433,0.32903472,0.52091795,0.82903415,0.72158265,0.31709892,0.67840475,0.49447843,0.44260967,0.36913103,0.49747878,0.61697084,0.3971666,0.39038172,0.0,0.42156628
