movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109
21bridgesmovie,0.29505298,0.34736723,0.48103854,0.4200526,0.30850115,0.33190426,0.4473199,0.46823078,0.22647017,0.39966056,0.0,0.300182,0.11466123,0.26144406,0.5887794,0.47123748,0.5647449,0.25964317,0.060828365,0.29848313,0.30823812,0.5311425,0.3583046,0.6161313,0.5433331,0.0,0.36190224,0.17815357,0.07079026,0.12701117,0.1065121,0.0,0.5685693,0.53125566,0.36973783,0.40969,0.34322408,0.0,0.33040085,0.48869646,0.3371235,0.25561124,0.39722922,0.33717394,0.0,0.43541417,0.4384024,0.19536708,0.52364504,0.0,0.36872265,0.0,0.22334778,0.43271476,0.46189356,0.42959055,0.296779,0.44472435,0.48884124,0.19449976,0.0,0.243297,0.0,0.0,0.32680386,0.3223511,0.39843026,0.19634368,0.28889295,0.28177077,0.52445424,0.4824845,0.0,0.13057283,0.26017186,0.3995122,0.1643931,0.20500255,0.46681535,0.4598664,0.27077812,0.30491528,0.0,0.14329587,0.18973261,0.22398634,0.038132038,0.0,0.44599846,0.1427431,0.087197304,0.5283108,0.24413691,0.044400003,0.35718232,0.2571598,0.01902699,0.09494542,0.52286214,0.2785863,0.08461568,0.35532498,0.3935464,0.3076386,0.2949679,0.50002444,0.5189001,0.0,0.1855291,0.44875866
47metersdown,0.38188255,0.48200107,0.62166685,0.21468255,0.24242339,0.25042328,0.43686038,0.5777984,0.16453636,0.43063188,0.0,0.47071758,0.08567022,0.19580537,0.54445666,0.5476831,0.7365034,0.5772534,0.3531736,0.58881885,0.21264873,0.24236937,0.58461446,0.7019653,0.45048544,0.0,0.18472682,0.20350301,0.266147,0.13725092,0.34841496,0.0,0.60004544,0.56389916,0.29158422,0.49681225,0.5167351,0.0,0.23169245,0.3640183,0.68542844,0.2501517,0.49325576,0.6372466,0.0,0.48948976,0.40912142,0.049958736,0.594581,0.0,0.4619167,0.081273414,0.23371023,0.49140996,0.44310275,0.32580128,0.21554151,0.5100699,0.33729824,0.20974576,0.0,0.25589725,0.0,0.0,0.4443468,0.6502092,0.63552856,0.38834262,0.47547174,0.34667224,0.5195817,0.60819703,0.0,0.3114189,0.23070528,0.38969037,0.3252695,0.335273,0.5023003,0.54409677,0.46637455,0.46779212,0.0,0.15547712,0.21304414,0.49507725,0.30804834,0.0,0.40369225,0.048704483,0.4396743,0.54168653,0.18535332,0.03636598,0.4175424,0.522259,0.0,0.0,0.5660356,0.2650143,0.12599987,0.42543507,0.23295255,0.44595668,0.35518074,0.43788496,0.5515831,0.0,0.31009573,0.6737122
abeautifuldaymovie,0.32089525,0.24642117,0.38393643,0.41417024,0.17203198,0.47423336,0.43576193,0.29180837,0.16309404,0.3356036,0.0,0.33813405,0.13134322,0.25029084,0.57284105,0.47691822,0.5258018,0.40360168,0.24287476,0.39101166,0.12320894,0.2958217,0.42123643,0.44556683,0.49735296,0.0,0.1826736,0.3150662,0.21062349,0.1460726,0.22637199,0.0,0.5904691,0.38765392,0.31812358,0.4107054,0.339625,0.0,0.19897346,0.4244542,0.36786795,0.26018366,0.33112267,0.2750193,0.0,0.3460369,0.25114465,0.13060626,0.4971075,0.0,0.29508236,0.033080064,0.18871045,0.39976877,0.41994527,0.37766114,0.1254204,0.43002993,0.48268053,0.15758193,0.0,0.28159913,0.0,0.0,0.25744468,0.40009627,0.4535931,0.29589486,0.29390174,0.3802242,0.3440494,0.43980423,0.0,0.16451366,0.31138512,0.38973984,0.126588,0.29766062,0.42674702,0.5006165,0.32756898,0.36224073,0.0,0.25587136,0.33603445,0.32232296,0.24900457,0.0,0.5081535,0.16935126,0.22744386,0.46367207,0.28097034,0.08960256,0.23337214,0.42897707,0.0,0.046961695,0.44211966,0.30886,0.11525212,0.36775023,0.23326774,0.4345947,0.3385755,0.41585052,0.4627373,0.0,0.11240774,0.41020834
abominablemovie,0.2942673,0.62513524,0.6458002,0.7498127,0.101609275,0.41883126,0.6091281,0.56497544,0.20680311,0.8446319,0.0,0.57829285,0.08564165,0.5650538,0.79707575,0.611048,0.75081414,0.7545361,0.432575,0.7039356,0.3955649,0.57314146,0.7089086,0.76894665,0.9722659,0.0,0.36753172,0.40458167,0.2918014,0.32119995,0.54142463,0.0,0.62373924,0.7487603,0.4713917,0.5563326,0.8361915,0.0,0.2272892,0.6095514,0.6570297,0.4593812,0.36967278,0.66876656,0.0,0.6882274,0.57432014,0.37536713,0.9442306,0.0,0.5516955,0.005412588,0.18787852,0.5433894,0.51530075,0.6062535,0.28648353,0.40203565,0.6027083,0.0,0.0,0.14997934,0.0,0.12971365,0.47360098,0.5484761,0.4927403,0.52325535,0.55350757,0.64021677,0.54655164,0.4587868,0.0,0.36934078,0.64913416,0.57225186,0.2726218,0.40524063,0.54819447,0.5547742,0.2330034,0.54812014,0.0,0.40067238,0.55686885,0.7279053,0.18797621,0.0,0.57939976,0.5061268,0.29803705,0.59055626,0.69028324,0.34992698,0.6549117,0.78708965,0.0,0.2789196,0.49041304,0.53502107,0.07585027,0.81718147,0.28853887,0.40372586,0.5651052,0.54737294,0.9908493,0.0,0.2966871,0.45906007
adastramovie,0.1528508,0.29873192,0.3950481,0.396874,0.07348123,0.39885846,0.40836245,0.40030554,0.14726686,0.48179507,0.0,0.37693813,0.039179824,0.3415001,0.604105,0.5008957,0.42787477,0.51780653,0.28746074,0.31669807,0.31027353,0.18443404,0.516552,0.4934187,0.44300878,0.0,0.2845262,0.25541216,0.11752379,0.36065814,0.3392233,0.0,0.39036316,0.36975592,0.37710294,0.41692004,0.41486785,0.0,0.26115805,0.45589757,0.36971432,0.1405637,0.42974353,0.54668474,0.0,0.34949723,0.52141225,0.3108023,0.62370384,0.0,0.3035457,0.0,0.25319797,0.59627295,0.4692402,0.4475443,0.095569216,0.34064397,0.36574292,0.18697998,0.0,0.19876683,0.0,0.0,0.26889148,0.4970504,0.45829475,0.3696921,0.35946995,0.4138679,0.556824,0.4617604,0.0,0.12843415,0.26513764,0.3834235,0.21572475,0.27073106,0.45615086,0.5349224,0.3574949,0.3758674,0.0,0.18824154,0.25059786,0.62248623,0.21803917,0.0,0.32836488,0.29297608,0.4243059,0.4373793,0.19702655,0.15804225,0.4936124,0.4903145,0.049862444,0.12240522,0.50325483,0.34957337,0.21099494,0.38806587,0.18425618,0.40658805,0.5215549,0.4163573,0.491784,0.0,0.32970217,0.5504856
adogsjourneymovie,0.49239108,0.74759823,0.978913,0.90138054,0.22084962,0.83466864,1.3287302,1.0864588,0.27682602,0.5592614,0.0,0.985484,0.0,0.571948,1.1245972,0.95758736,1.2584356,1.0775213,0.44266614,0.8926585,0.027360754,0.7452673,1.0025443,0.90630996,0.9917498,0.0,0.64241827,0.66620904,0.52629906,0.29792425,0.44673932,0.0,1.1106807,0.90991074,0.6958614,0.8789626,0.5870363,0.0,0.48774976,1.0584487,0.5304705,0.57970524,0.904352,1.3046051,0.0,1.1345083,1.0379347,0.050784,1.3529172,0.0,1.1058168,0.09305096,0.689004,1.3060844,0.7630271,1.0013416,0.6189873,0.69685555,0.67300504,0.4834589,0.0,0.55762315,0.0,0.0,0.8995008,0.9331344,0.68692183,0.4375717,1.0931389,0.60359347,0.90780383,1.3811661,0.0,0.32681602,0.25394714,0.8074175,0.25383854,0.30704358,0.6742298,1.2661415,0.68719876,1.0469043,0.0,0.0,0.90238243,0.89643615,0.089322455,0.0,0.8770731,0.37536302,0.58439344,1.1361887,0.5974811,0.121047825,0.74096006,1.0129207,0.05583089,0.17703305,1.1699319,0.9111701,0.17294003,0.6431769,0.4005419,0.8789971,0.92223907,0.6719504,1.1079408,0.0,0.36279872,0.84001064
aftermathmovie,0.13318728,0.3697763,0.405144,0.39331406,0.12465738,0.28474966,0.43829492,0.29598486,0.030961383,0.3701128,0.0,0.33535758,0.079313025,0.15223646,0.21799868,0.31156373,0.43772936,0.34245238,0.32374427,0.44582564,0.20309241,0.25043365,0.3316786,0.4830804,0.38161796,0.0,0.20519064,0.17533392,0.22058305,0.1433552,0.2051185,0.0,0.38904724,0.2847892,0.29170427,0.21801594,0.30655667,0.0,0.26884738,0.40772706,0.19064286,0.22813393,0.29448327,0.26212737,0.0,0.4503545,0.38035074,0.19067724,0.41595078,0.0,0.26673016,0.020170528,0.11436213,0.32554612,0.21112305,0.39620897,0.15740088,0.34353125,0.35812646,0.22518787,0.0,0.12172259,0.0,0.0,0.1900564,0.27253628,0.34821185,0.20383409,0.17175469,0.31368613,0.40568852,0.4192028,0.0,0.18139538,0.16107714,0.22722721,0.33437794,0.28017846,0.36853102,0.32299232,0.20933187,0.2522076,0.0,0.15298095,0.2830415,0.29312655,0.05885823,0.0,0.334137,0.32131884,0.21480857,0.3289034,0.22859001,0.09650445,0.22132264,0.42533165,0.055941753,0.008639226,0.4069885,0.2235754,0.06236287,0.26224107,0.2483278,0.17455587,0.27777272,0.29398644,0.37096712,0.0,0.09816144,0.24893889
aftermovie,0.18469554,0.35045308,0.59923303,0.5336155,0.2849273,0.2941521,0.37313572,0.4820727,0.20650408,0.34889328,0.0,0.28226268,0.139648,0.23045167,0.4900267,0.44864506,0.62219304,0.22019738,0.23205246,0.5077967,0.2430211,0.2721408,0.49416462,0.57144827,0.44583258,0.0,0.32969445,0.18659571,0.35420513,0.20504425,0.13961542,0.0,0.4963204,0.29019684,0.3553742,0.4045262,0.45122537,0.0,0.23776112,0.32061568,0.40302628,0.33296838,0.2997476,0.56815565,0.0,0.30025855,0.5187163,0.3205172,0.53326476,0.0,0.32852587,0.0,0.06763096,0.5683848,0.49834254,0.34358135,0.13377398,0.29228693,0.41547722,0.069023706,0.0,0.21599925,0.0,0.0,0.29847747,0.48689216,0.39949587,0.33962512,0.419599,0.5071434,0.3187147,0.5112584,0.0,0.23796222,0.2630685,0.2609355,0.15799358,0.28728572,0.44799158,0.3563293,0.3647775,0.2807015,0.0,0.10564875,0.19713908,0.44578615,0.21507509,0.0,0.40367186,0.21807055,0.26177278,0.48454523,0.300054,0.11287871,0.27758926,0.40629128,0.070852,0.0283618,0.42612532,0.28007737,0.05251276,0.41123807,0.23952162,0.3911051,0.46852753,0.44069028,0.47504255,0.0,0.19684906,0.34764117
ahiddenlifefilm,0.106017925,0.16703884,0.18497458,0.17491463,0.0616603,0.15756813,0.19533028,0.16317694,0.06461586,0.15179056,0.0,0.16607398,0.047608636,0.12189004,0.20875117,0.18294142,0.21337359,0.17741334,0.09696119,0.1852324,0.1009278,0.1555399,0.17639525,0.21010464,0.20173953,0.0,0.11159645,0.10170359,0.07930617,0.07872563,0.09699997,0.0,0.1968591,0.18828443,0.14362285,0.15057242,0.1410103,0.0,0.11442719,0.19894423,0.15158905,0.11867893,0.15366933,0.18720286,0.0,0.18341476,0.16777034,0.09519205,0.23378982,0.0,0.14789595,0.022050846,0.0871338,0.18765248,0.16031083,0.15150845,0.090056054,0.15200946,0.1625248,0.0683069,0.0,0.094665974,0.0,0.0,0.11605334,0.18076509,0.1799519,0.1281817,0.14798574,0.143422,0.17554432,0.20922536,0.0,0.0966472,0.11573647,0.13584559,0.11269569,0.1274155,0.16850172,0.18445176,0.12767963,0.15714258,0.0,0.05211331,0.13066748,0.17199016,0.07263834,0.0,0.1813866,0.10412464,0.1373567,0.18226373,0.11297114,0.049811352,0.14646277,0.19144922,0.017620433,0.032818414,0.20880426,0.14437875,0.035231728,0.15524982,0.111639194,0.14620465,0.18006714,0.17814757,0.2004514,0.0,0.08968912,0.17820558
alitamovie,0.35262525,0.39411992,0.4835523,0.3885719,0.0,0.46754888,0.84588987,0.5720106,0.19777283,0.4424268,0.0,0.5372145,0.11122672,0.32891956,0.8721227,0.47392762,0.5564769,0.51669127,0.08574075,0.5341453,0.27079222,0.46449795,0.6022852,0.6790742,0.42922682,0.0,0.41943428,0.21688285,0.26077744,0.44757432,0.36273554,0.0,0.70575076,0.4920889,0.54620135,0.22054186,0.6402752,0.0,0.36015192,0.50829494,0.4658727,0.2943006,0.75213385,0.63249356,0.0,0.46678534,0.640407,0.52849084,0.76539654,0.0,0.501106,0.0,0.30729106,0.62755495,0.2692098,0.40803233,0.21084669,0.29453513,0.3406487,0.360629,0.0,0.36095294,0.0,0.0,0.36917531,0.72384363,0.46486345,0.23346233,0.40073675,0.61879176,0.80426234,0.4910774,0.0,0.17176253,0.48808146,0.5004993,0.15769607,0.5967966,0.670372,0.6628328,0.33370578,0.37189823,0.0,0.016242875,0.39527586,0.7520064,0.012299994,0.0,0.7819339,0.3495271,0.3991572,0.4966179,0.5431531,0.2756661,0.45653605,0.43363515,0.21297964,0.23890054,0.48606652,0.284541,0.10691059,0.6056278,0.5543814,0.57306206,0.45273262,0.39876765,0.663824,0.0,0.281696,0.67532057
