Epoch,Loss,Acc,Val_loss,Val_acc
1,0.45190037586416865,0.8799244015139656,0.3338123627984341,0.8944846657715624
2,0.3258018091549459,0.8962893898279947,0.3116878656959209,0.9029173742364172
3,0.30948694118852305,0.9002555312249283,0.3001968326012158,0.9042589348666307
4,0.3008997489585584,0.9022838519013517,0.2930063397656917,0.9108177075191088
5,0.2894924713562051,0.9136339354961857,0.2833093710408706,0.9198892653699222
6,0.2780382284923144,0.9182282730911618,0.2711311135523567,0.9207197519136653
7,0.2706734843717117,0.9220400272886026,0.2677933028954664,0.9203577452867563
8,0.2636667186397507,0.9249893446187957,0.2601129687827531,0.9260860228660363
9,0.25737119990272456,0.9288596599227932,0.2526980886772097,0.932793856987149
10,0.25082158722503833,0.9323732887459776,0.24696598218490562,0.9332197578639757
11,0.24527291811406104,0.9348594470162205,0.24356866832283125,0.9370528039168662
12,0.23870276234523605,0.9375692010941253,0.2368423660020812,0.9403534933696207
13,0.23472500695280565,0.9389001211275234,0.23577848559140752,0.9396081763800405
14,0.2298259445969047,0.9407367940858844,0.22889477065312192,0.9417163473784009
15,0.225113486944106,0.9422007996138356,0.22622034314137707,0.9424190721276265
16,0.22213405954573792,0.943957617173203,0.22213016148320253,0.9450383210710204
17,0.21725363163769346,0.9455014853095683,0.22047149175476582,0.9439735864455696
18,0.21377581261491857,0.9470613228198413,0.21702137325447707,0.9452938659836934
19,0.21040422523955876,0.9482857671263271,0.21456793572569624,0.948296418892667
20,0.20721488457420614,0.9494197155385448,0.2112629059226184,0.9482751193200912
21,0.20404459134988118,0.9502608544578747,0.20907768698526608,0.9499999947807858
22,0.20155387563437377,0.9511179703666973,0.20639099868639568,0.9504897764025596
23,0.19886754039402105,0.9524222724076227,0.2022567848584518,0.9523211192637936
24,0.19596970746423764,0.9533592350844428,0.20076746215609106,0.9525979515641064
25,0.19369263182913019,0.9542536170965972,0.19791090894598368,0.9543441191848742
26,0.19045072849808195,0.955605830508562,0.19600490184922845,0.9550894310973979
27,0.1879285545020128,0.9564097088077812,0.19452702090321855,0.9557282767263344
28,0.18577748118206427,0.9573040830012683,0.19142792212699097,0.9563671168720499
29,0.18280277052161234,0.9585870932882852,0.18914164524062121,0.9551107281314454
30,0.18075804331132053,0.9588639236593165,0.18668935286734742,0.9591993165584805
31,0.1782645920269331,0.9600298106162674,0.1881033750774507,0.9558134577546453
