Epoch,Loss,Acc,Val_loss,Val_acc
1,0.35631990119915474,0.901104748249054,0.28536893669384916,0.9122920036315918
2,0.2759719308561151,0.9169195890426636,0.26412555161909046,0.9215500950813293
3,0.260708844009606,0.9209215641021729,0.25306213799556715,0.9216981530189514
4,0.25072370848128284,0.9231434464454651,0.24572013510936197,0.9232425689697266
5,0.24343205087695124,0.9251437187194824,0.23938075555857138,0.9263874292373657
6,0.23569000792869374,0.9277601838111877,0.23057214946072938,0.9273679256439209
7,0.2271571215436801,0.9332266449928284,0.22122777494024093,0.9373657703399658
8,0.21714246796710546,0.9398823976516724,0.21189447828367644,0.942378580570221
9,0.20687800279948446,0.9447794556617737,0.20408517259537975,0.9470400214195251
10,0.1991830293299653,0.9475997686386108,0.19693889695209704,0.9481871724128723
11,0.19282101484994538,0.949408769607544,0.19416509084114092,0.9479004740715027
12,0.1877112249466269,0.9508947730064392,0.18937312143183266,0.9515446424484253
13,0.18329385832512973,0.952437162399292,0.18449921747776388,0.9522846341133118
14,0.179310394620009,0.9535677433013916,0.17931337772565023,0.953644335269928
15,0.1758278730888432,0.954700767993927,0.17834497251159565,0.9530983567237854
16,0.17238968596982765,0.9565982222557068,0.17651896416325064,0.9551146030426025
17,0.16946274518255586,0.9581195116043091,0.1714700200835114,0.9592949748039246
18,0.16628339194112068,0.9604942202568054,0.1669288466605618,0.9598686099052429
19,0.16236694230299525,0.9632224440574646,0.16294445556664616,0.9628837704658508
20,0.15880096042359074,0.9652730226516724,0.16224995141906118,0.9655104279518127
21,0.1558320823666523,0.9668983817100525,0.15724296940616708,0.966694176197052
22,0.15185786971251683,0.9683901071548462,0.15490406152388805,0.9695523381233215
23,0.14914826862324534,0.9696624279022217,0.15250605714131496,0.9691453576087952
24,0.146156412447942,0.9704843759536743,0.1500911731114442,0.9688863158226013
25,0.14382198741656937,0.9714994430541992,0.14756916864708622,0.9702646136283875
26,0.1414962176171172,0.9722858667373657,0.14435669036648954,0.9709395170211792
27,0.13923728551474793,0.9731155037879944,0.14379585919956167,0.9707826972007751
28,0.13698124815277085,0.9736447334289551,0.14038697775981182,0.9739364981651306
29,0.1356511515153774,0.9740657806396484,0.14089934453450878,0.9722622632980347
