Epoch,Loss,Acc,Val_loss,Val_acc
1,0.3501634281724024,0.899558424949646,0.28418053059799986,0.911034345626831
2,0.2751940064354121,0.9151373505592346,0.26265850189299883,0.9191634654998779
3,0.2572717689623136,0.9210043549537659,0.24883955518435585,0.9258524775505066
4,0.2405134087601408,0.9310181736946106,0.22979614334701656,0.9400478005409241
5,0.22380258199976927,0.9394726753234863,0.21806604687279396,0.9423532485961914
6,0.2123293895079325,0.9436267614364624,0.20646637975194895,0.9450087547302246
7,0.2029878500047676,0.9463052749633789,0.200119169661884,0.9468851685523987
8,0.19478801276425292,0.9492524266242981,0.19173657391704776,0.9505219459533691
9,0.1880271799657882,0.95143061876297,0.1855214485250851,0.9532005786895752
10,0.18277988118004052,0.9533933997154236,0.1812532057440591,0.9517907500267029
11,0.17709298916066785,0.9558843374252319,0.1752219057597395,0.9579035043716431
12,0.17242585019260523,0.9587344527244568,0.1711407279257202,0.9591028690338135
13,0.16738330888416322,0.9613997340202332,0.16774525493731512,0.9607541561126709
14,0.16302879475911397,0.9635578393936157,0.16336473783374,0.9637519717216492
15,0.15886815262427934,0.9652544260025024,0.15973998988190835,0.9656128883361816
16,0.15469382232280238,0.9673155546188354,0.1544933524264147,0.9673416614532471
17,0.15194494416910037,0.9682618379592896,0.15413557484762225,0.96832275390625
18,0.1486212820795136,0.9695207476615906,0.15111797260144588,0.9698719382286072
19,0.14562764063126526,0.9706077575683594,0.1464203647982571,0.9708850383758545
20,0.1429309938810019,0.9714018106460571,0.14512603047331848,0.971008837223053
21,0.14093197271045088,0.9721665382385254,0.1422697513775743,0.9712273478507996
22,0.1382581091713808,0.9729597568511963,0.14210870056030925,0.9704716205596924
23,0.13623952283999882,0.9734806418418884,0.13880633604691753,0.9727692604064941
24,0.13426769152269163,0.9741693139076233,0.13651315543236084,0.9731194972991943
25,0.13208487112570394,0.9745920300483704,0.13660753954400937,0.9727455377578735
