username,acc,truth,top_n,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.3333333333333333,"['Adventure', 'Drama', 'Horror']","['Drama', 'Action', 'Comedy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adogsjourneymovie,0.3333333333333333,"['Adventure', 'Comedy', 'Drama']","['Drama', 'Action', 'War']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
aftermathmovie,0.3333333333333333,"['Drama', 'Romance', 'War']","['Drama', 'Thriller', 'History']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
aftermovie,0.5,"['Drama', 'Romance']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alitamovie,0.0,"['Action', 'Adventure', 'Sci-Fi']","['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
angelhasfallen,0.5,"['Action', 'Thriller']","['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
angrybirdsmovie,0.6666666666666666,"['Adventure', 'Animation', 'Comedy']","['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annabellemovie,0.3333333333333333,"['Horror', 'Mystery', 'Thriller']","['Drama', 'Comedy', 'Horror']",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
annamovie,0.0,"['Action', 'Thriller']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apollo11movie,0.0,"['Documentary', 'History']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arcticmovie,0.5,"['Adventure', 'Drama']","['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
artofracingmovie,0.6666666666666666,"['Comedy', 'Drama', 'Romance']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
avengers,0.0,"['Action', 'Adventure', 'Sci-Fi']","['Drama', 'Thriller', 'Crime']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
beachbummovie,1.0,['Comedy'],['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernadettefilm,0.6666666666666666,"['Comedy', 'Drama', 'Mystery']","['Drama', 'Comedy', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
blindedbythelightmovie,0.6666666666666666,"['Comedy', 'Drama', 'Music']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
booksmart,0.0,['Comedy'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
breakthroughmovie,0.5,"['Biography', 'Drama']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brianbanksmovie,0.3333333333333333,"['Biography', 'Drama', 'Sport']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brightburnmovie,0.5,"['Horror', 'Sci-Fi']","['Drama', 'Horror']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
brittanyrunsmov,1.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
captainmarvelofficial,0.3333333333333333,"['Action', 'Adventure', 'Sci-Fi']","['Drama', 'Thriller', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
captivestatemovie,0.3333333333333333,"['Drama', 'Sci-Fi', 'Thriller']","['Drama', 'War', 'Horror']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
childsplaymovie,0.0,['Horror'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clarathefilm,0.0,['Sci-Fi'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coldpursuitmovie,0.6666666666666666,"['Action', 'Crime', 'Drama']","['Drama', 'Action', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
detectivepikachumovie,0.3333333333333333,"['Action', 'Adventure', 'Comedy']","['Drama', 'Comedy', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
disneyaladdin,0.0,"['Adventure', 'Family', 'Fantasy']","['Drama', 'Action', 'Comedy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
doramovie,0.0,"['Adventure', 'Family']","['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dumbo,0.0,"['Adventure', 'Family', 'Fantasy']","['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
escaperoom,0.3333333333333333,"['Action', 'Adventure', 'Horror']","['Drama', 'Action', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
everybodyknowsmovie,0.3333333333333333,"['Crime', 'Drama', 'Mystery']","['Drama', 'War', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
fastandfuriousmovie,0.5,"['Action', 'Adventure']","['Drama', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fightingwmyfam,0.6666666666666666,"['Biography', 'Comedy', 'Drama']","['Drama', 'Comedy', 'History']",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
fivefeetapartfilm,0.5,"['Drama', 'Romance']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
glassmovie,0.3333333333333333,"['Drama', 'Sci-Fi', 'Thriller']","['Drama', 'Horror', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
gloriabellmovie,1.0,"['Comedy', 'Drama', 'Romance']","['Drama', 'Comedy', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
godzillamovie,0.0,"['Action', 'Adventure', 'Fantasy']","['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
goodboysmovie,0.5,"['Adventure', 'Comedy']","['Comedy', 'Animation']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gretafilm,0.6666666666666666,"['Drama', 'Mystery', 'Thriller']","['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
happydeathdaymovie,0.3333333333333333,"['Comedy', 'Horror', 'Mystery']","['Drama', 'Action', 'Comedy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hellboymovie,0.3333333333333333,"['Action', 'Adventure', 'Fantasy']","['Drama', 'Thriller', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
hersmellmovie,0.5,"['Drama', 'Music']","['Drama', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
highlifemovie,0.3333333333333333,"['Adventure', 'Drama', 'Mystery']","['Drama', 'Comedy', 'Horror']",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hotelmumbaifilm,0.6666666666666666,"['Drama', 'History', 'Thriller']","['Drama', 'Comedy', 'History']",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
httydragon,0.6666666666666666,"['Action', 'Adventure', 'Animation']","['Drama', 'Animation', 'Action']",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hustlemovie,0.5,"['Comedy', 'Crime']","['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
isntitromantic,0.3333333333333333,"['Comedy', 'Fantasy', 'Romance']","['Drama', 'Comedy', 'Action']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
johnwickmovie,0.0,"['Action', 'Crime', 'Thriller']","['Drama', 'Comedy', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lalloronamovie,0.3333333333333333,"['Horror', 'Mystery', 'Thriller']","['Drama', 'Horror', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
lastblackmansf,1.0,['Drama'],['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
latenightmovie,1.0,"['Comedy', 'Drama']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lionking,0.3333333333333333,"['Adventure', 'Animation', 'Drama']","['Drama', 'Thriller', 'Action']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
littlethemovie,0.3333333333333333,"['Comedy', 'Fantasy', 'Romance']","['Comedy', 'Animation', 'Drama']",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
