Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
tt0328810,74.32432432432431,77.63255588122531,7429596.013007359,6754839.757017302,0.3364244009408313,0.3359432686965244,8309.913009225189,4659.362101477487
tt1319706,85.66666666666667,117.74521862027565,12603806.002643745,13717360.694549605,0.460839315502899,0.19327919200763224,7023.839085309466,2260.6495878902037
tt2319991,36.62105263157895,25.92303545715701,7615214.9268796565,27900920.32101114,0.4496604486627697,0.3017676742971085,3795.243281248349,2256.349530166749
tt2728784,33.49230769230769,25.54400310590641,4271519.590068937,26926489.28794159,0.15089893564908136,0.21202044385139165,2799.31381206599,2378.127072451056
tt2990140,34.73728813559322,33.763240457709536,1369688.7483229889,4225555.319313859,0.2077711437530241,0.2574302032845843,1930.673603605798,1275.0251015163865
tt3380190,37.94690265486726,20.982437117684967,23950735.24615634,42642419.35563429,0.2859974053501453,0.3405181708253033,5623.865819374122,3251.8423978711135
tt3429692,165.95454545454547,115.28797038591007,32.51203847471117,78.97915529256572,0.2505407910270749,0.2878385198967822,7631.7311032767075,4100.177065475455
tt3833682,39.45205479452054,28.182400558811022,5334286.108675005,7893686.152581339,0.2574290113025022,0.27635698628938804,4251.226210905377,2885.8381909735554
tt3875548,31.609375,17.97273732933787,5515912.729392156,10518781.805210747,0.17656769742171105,0.2222013200832302,4118.316351235065,2297.211665896792
tt3906724,34.61194029850746,14.166341467139635,1750595.9235083137,2358410.7209102167,0.16166102444075414,0.24371909192839664,3776.8808740759896,2042.2357975540344
tt4016674,43.415841584158414,50.15229624205797,20897847.28553756,41264697.36792243,0.22265197139692106,0.26079915302401124,4574.61339690477,2752.2992961173018
tt4123430,33.76470588235294,26.744314576530034,277797.6352004586,886158.9434389028,0.2786354984764983,0.2671350926356014,2351.1386664327138,2203.4076177794736
tt4177856,38.77215189873418,30.09055925251017,139203678.30592942,218500437.048801,0.2776634047777997,0.2931663640800441,8054.1967668686075,3866.027771313278
tt4212984,42.013888888888886,27.736104156233484,28574421.11700829,91591467.53444092,0.1641286098394071,0.17018250207103794,5559.983823177287,2585.265368225112
tt4264610,28.26530612244898,10.834140125235033,11494505.934483144,19601503.41689219,0.2487057393594972,0.2696934599844653,3792.8031260016633,2104.830896140955
tt4682912,31.74311926605505,19.5932977071452,1899608.2090504072,8695791.462713333,0.32437794620044663,0.3123902926604482,4573.5543873378,2959.984696946557
tt4718534,33.96610169491525,20.70451199634049,1964804.698628607,5368353.30036516,0.2295227526793149,0.2475884836284271,3435.688132451805,2670.135668771301
tt4768586,68.76315789473685,47.45381921878104,4110406.130398512,9598982.766719475,0.09233476646777238,0.11502394640476415,3646.498384974092,2336.302598670877
tt4908174,33.833333333333336,22.589021423888394,2933309.8226644527,14624412.026549887,0.3851254895778509,0.3621571954568792,3784.952096643657,2652.955605952241
tt5028340,36.27835051546392,22.372544969520604,16050712.998720538,46417788.62067931,0.24090619708007185,0.2376709446887553,3206.464777020429,2064.966876739033
tt5072612,39.9125,39.60877230803803,6941478.379901981,14306131.876559168,0.28211874343026183,0.2810104983942521,5057.808880646798,2361.470339317545
tt5086770,75.32432432432431,40.37195578285318,1252466.859257863,2691935.969735697,0.19948613214730151,0.2331294876046133,3600.8567688331273,2655.4430034039765
tt5181834,47.18367346938776,24.44458411648829,27550748.66329989,54898318.22685107,0.3117003834488357,0.2711210616077189,5270.509294660129,2405.029812348492
tt5496628,50.89655172413793,67.87988622284686,953764.8747271128,1730112.5771364402,0.2162109997223052,0.2638444915226308,2888.738279064285,2543.862293817597
tt5521724,49.08695652173913,30.50931866692288,40136207.98869004,54010668.76211504,0.15164784669636575,0.2213516233230836,6705.309458209217,2925.7690567209333
tt5541002,46.914893617021285,39.36400223296906,172567161.4226102,283567427.928475,0.3487437693985075,0.3609432810013937,7012.622702439273,3562.0235909601943
tt5575364,41.16901408450704,19.100907666282726,10825682.92376768,18078616.36300892,0.2706866022305863,0.310339181363482,5099.865141969011,3031.151810838648
tt5933582,47.511111111111106,30.926164558848672,49498023.25375018,110523815.0556316,0.21930790833997404,0.24704524789179724,5643.03893038841,2226.5880200281586
tt6107562,112.4,132.9512692681044,9394783.563054886,18350078.26273718,0.2503898491196676,0.25237259195688644,3694.556956209796,2715.763164800396
tt6144460,53.43037974683544,42.20644966739892,53011159.26661171,115614544.29233772,0.28353997687883065,0.2326964068250124,5292.087200184878,1560.8033235876053
tt6642926,28.878378378378375,14.159279931590946,4700042.913743447,9280006.92274189,0.16777676012442508,0.20215497837851068,4076.9598512616253,2359.1421007239874
tt6812842,40.7875,38.613693733570734,22747506.46895429,85525442.62911192,0.3652140453734248,0.2957538600321398,4813.312681526126,2796.821125320211
