0,A_avg,A_avg_minmaxnorm,A_std,A_std_minmaxnorm,B_avg,B_avg_minmaxnorm,B_std,B_std_minmaxnorm,C_avg,C_avg_minmaxnorm,C_std,C_std_minmaxnorm,D_avg,D_avg_minmaxnorm,D_std,D_std_minmaxnorm
Action,,,,,,,,,,,,,,,,
,3.3640338104000933,0.01934909805174967,2.674866781166759,0.034606451055292815,13.262796950556504,0.3618549919122446,14.494731199760606,0.424259472937848,0.18675777789485096,0.3039631411963861,0.2119923206404689,0.3200926556706956,7.270932370296768,0.029610949472209214,7.083155636622394,0.013163414615034341
,4.265333806412189,0.2814864596977783,4.379209327327488,0.444142601255882,18.67838189694768,0.8963329977364759,19.051982625335,0.8490226465198185,0.3902580101818214,0.8817988700658907,0.3437300103811567,0.8495466395845355,8.812611902024258,0.9082168402062534,8.220301920818361,0.9557027175023364
,3.6687642769587416,0.10797801280853551,3.523941317953217,0.23863041197334767,15.319802816269604,0.5648661908793504,16.344016712366134,0.5966239772935586,0.28157377249341325,0.5731916758846737,0.28141215839244527,0.5990910936483461,8.186871807473528,0.5516064540485617,7.9040072688414496,0.6935375546516389
,0.19715059317246225,0.05733999397519723,0.3564943944420514,0.08566197106137353,1.2129365994719885,0.11970783235687538,1.1860568213902454,0.11054761136835176,0.051910423975831295,0.14739883751926328,0.02887377466245798,0.11604374614250805,0.3359447617151968,0.19145551363290111,0.2570487014676283,0.21305834372988378
Adventure,,,,,,,,,,,,,,,,
,3.2975063154738704,0.0,2.5323844023695927,0.0003693870240868424,12.084084589823801,0.2455248376923199,13.319763090807884,0.3147453960941589,0.15537466216402748,0.21485127459692235,0.2214513139632968,0.3581083648306448,7.530221790743991,0.17738044859416746,7.521147966583973,0.3761993679390736
,4.285309215172076,0.2872961800720005,4.551788171045493,0.4856115391883129,19.72878518909076,1.0,20.671807040843632,1.0,0.4318856842704996,1.0,0.38116551699183465,0.9999999999999998,8.952441080883965,0.9879057364485108,8.220301920818361,0.9557027175023364
,3.717113323737605,0.1220400250317569,3.563341784638402,0.24809794271046726,15.781001509173972,0.6103830759642263,16.715000330462896,0.6312018761747555,0.28058864159761165,0.5703944121036446,0.2894478138716637,0.6313864057583868,8.259354895962838,0.5929146943246354,7.9092257251098825,0.6978629437433987
,0.23396913556649124,0.0680484324590843,0.4320720922276291,0.10382252186253277,1.784834768175078,0.1761499333983606,1.6971173478472161,0.15818151848441017,0.05978278756487507,0.1697522908852824,0.033288286233356744,0.13378567514435105,0.3299312966069383,0.18802842923623714,0.1879572239553141,0.15579092444094397
Animation,,,,,,,,,,,,,,,,
,3.306243372518222,0.0025411173774446683,2.5797151554271647,0.011742484783664131,13.873383102383693,0.4221153095035984,14.616469223372786,0.435606187092112,0.1699839256774364,0.2563340500004067,0.2160033480197401,0.3362129810667368,7.937156640279543,0.4092933387823648,7.521147966583973,0.3761993679390736
,4.029806041084528,0.21298470970270852,4.126319174201904,0.3833756738750044,19.72878518909076,1.0,20.671807040843632,1.0,0.4318856842704996,1.0,0.38116551699183465,0.9999999999999998,8.952441080883965,0.9879057364485108,8.21468398596255,0.9510462151013224
,3.7027686940826787,0.11786798088644546,3.4974404482161696,0.23226252296328576,17.465388677705427,0.7766195774288615,18.271468218584335,0.7762740212020754,0.2845415688889006,0.5816186873629923,0.294382016326167,0.6512169732453119,8.472557105599755,0.7144190105262094,7.91459142475713,0.702310377530334
