Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
tt10298956,69.42857142857143,69.71033361163104,1269934.320813021,2525434.571432871,0.17153119070627826,0.27801983048696993,3599.167911768439,2941.6818918077192
tt10637886,116.625,134.867284302013,691015.0417318607,1093361.2850430757,0.3324518710291449,0.3043768062050089,2326.2917062154143,1850.532104646784
tt1648190,35.32773109243698,30.155649231385226,2921938.358507756,12259932.551239688,0.2987199800559245,0.29780486891588664,3260.968883900173,2971.086901766901
tt1680140,48.323076923076925,57.53931303360076,2649232.2891211524,15473139.230651164,0.18578416323466665,0.22550731861695145,2911.7648244959614,3159.4213911243737
tt2226440,42.32380952380952,48.56326168501791,2955621.8842620463,5546555.63717074,0.451017285488848,0.3092407078719492,6179.551003595288,3654.1431378643792
tt2396489,51.265625,48.309950510835506,672393.4643778311,1117387.2390305973,0.22221486585120614,0.29282737468926884,4047.710887808151,3383.119544886037
tt2829242,77.77966101694916,77.85102413717577,2192642.968748375,2946417.225996438,0.2589787297329464,0.2348280437552232,5847.790040021154,3400.5004251318915
tt2919200,142.0,315.98665726192866,59330405.08292299,242066875.26259628,0.3022805446528643,0.31652673592674857,5204.433840133519,3474.9950830336134
tt3209242,29.80232558139535,26.47896039176917,1316804.2478726134,2872008.3240162632,0.2631978923467222,0.2851652415199297,5204.785571625212,2872.5365037789447
tt3429774,36.814432989690715,26.849842057131962,8625201.854147367,26174250.7339398,0.4283621311871468,0.3439050670207712,3768.381953474031,2304.662938986849
tt3514532,40.7032967032967,44.20668103887021,71105993.32948561,116207816.40877642,0.21893507814612334,0.2963388911486049,8774.701818492376,5270.377929767899
tt3906724,34.61194029850746,14.166341467139635,1750595.9235083137,2358410.7209102167,0.16166102444075414,0.24371909192839664,3776.8808740759896,2042.2357975540344
tt4116488,40.9010989010989,51.05137574860627,11559714.803700287,22807213.625000376,0.4565870818024581,0.3651768202660911,5309.735745448143,2672.9502419638848
tt4121152,39.867647058823536,46.62267323062407,849032.6253978311,2278354.8616360254,0.23079113234042206,0.238278006186167,2488.403882718251,3113.962138961661
tt4164472,29.401869158878505,19.815909690954808,1223414.6460524714,2509546.7830585064,0.2135570418035421,0.2592173261513486,4266.8144272826785,3164.8204627615996
tt4180286,43.14285714285715,37.69664089403561,10738551.64686546,74584851.80370949,0.22045891754745128,0.2749373447159552,3209.1892666847243,2765.751895524189
tt4287470,91.61290322580645,115.231793725168,107819.84546134037,309134.29082595004,0.13969186062971234,0.12917817610032092,1205.1026802655572,1324.3507758559176
tt4346036,44.88679245283019,40.676199696961774,3158583.4725324167,6531422.501520689,0.11159896095685054,0.1442591097602756,2947.611424847083,1992.9281897443257
tt4527172,167.46153846153842,293.76877756929207,196724.9804930648,349441.19284723216,0.04668404366600599,0.06918036362998192,2295.90649641043,3712.1356411884462
tt4860490,41.8875,31.16367827696211,3913650.143058096,8332503.389248799,0.35003357081771963,0.30716296861697256,3042.3448364588744,2868.234051864138
tt4892706,43.69512195121951,50.208027981246346,476382902.0638783,1976471499.0202558,0.4261452998299375,0.33614803270385885,6292.74629696156,3417.880570266085
tt4971344,57.16216216216216,99.27194794794302,905812.55742426,2303545.3177655363,0.19920482174375695,0.23763078577863936,2999.467605494003,2551.120403151398
tt4985906,69.45070422535211,87.70883147792118,20861410.317323994,111276161.43074588,0.33717383946154644,0.35122627229922265,4381.380929204734,3480.758151630741
tt5081304,59.95,71.630865088545,3525582.7637223164,16617840.534373956,0.2050063000868484,0.2801212295335967,3332.481952643957,2946.970348317655
tt5156532,32.69318181818182,15.051697242372141,3078179.89103093,5888590.727618323,0.17741922064284446,0.2098110066908762,3203.5420517171106,2433.542712692349
tt5189828,37.63380281690141,45.91671561493186,7341767.952947686,15053297.141198896,0.36630729165550063,0.3250020440179204,2628.9850159738453,2155.496525756241
tt5226618,36.870588235294115,19.79232663866545,272065.91876817483,464151.3339206089,0.23691370850846316,0.28308879671768544,3523.467714482664,2579.5139539433717
tt5237796,267.3333333333333,233.09821487471282,3044270.1636251006,5687795.290909598,0.29013428107834444,0.25940526553259496,3268.935560055902,2383.2943350470823
tt5333070,47.245901639344254,33.45251380576281,2910365.3961278438,7924734.462355014,0.09110354229856127,0.13622366728724014,3367.2597212623964,2483.071012590854
