Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
tt10233502,4.443957592404372,4.619636052411641,13.6976172996658,14.464581590796454,0.09387688987706178,0.0949235008963231,7.9965691185015455,7.8007739522905455
tt10505100,3.2641284391191885,3.353003784196335,14.363613257168007,15.951489997051723,0.3023864731853448,0.3006530901671573,8.453287412061918,8.279961919652175
tt1235187,3.717449710511756,3.6000312379146453,14.478710627936213,16.263849046753243,0.21823136541993232,0.29051718378014785,7.913817531141637,7.651563089104125
tt1826956,3.391572668287947,2.8609243965472766,13.028640011978931,14.157004508992785,0.47521478455085503,0.3566266054248538,8.44777963421398,8.105415271148264
tt2368254,3.5293516893208463,3.3603997204021505,14.251310890584692,15.07958234365735,0.3248018991225121,0.34417312309045306,8.595962376550954,8.165588446493663
tt2459244,3.999396635636735,3.724276464598786,14.92197297057857,15.46478300517612,0.24461897219828674,0.2647461843077385,8.593681208509409,8.021433019766357
tt2777020,4.043051267834549,3.8453850238958682,16.03949734095291,17.147955665287398,0.21405588472368114,0.2497290483805201,8.222841445881269,8.04680480763521
tt3759298,3.543980714584175,3.477653595568996,14.28745968962054,16.057994078019256,0.2119438717491916,0.2807180386826262,7.71996787174141,7.694049875180128
tt4325644,3.634147760923353,3.309517745613192,14.648518745424385,15.267849574829464,0.21712837155260128,0.2593664839748928,8.203906243113941,8.028089731262916
tt4329936,4.861287874935509,5.397061827971504,13.396002285298605,14.292692569651749,0.07577330545365897,0.13693606849026935,7.435364635697935,6.703423618455332
tt4524418,3.8954152690284856,4.277197283019548,15.818228947857776,16.527578610422452,0.19952043044991388,0.22900581027405545,8.572559190736353,8.158347233749375
tt4530422,3.665532090116945,3.459083746779635,15.101524491233373,16.40371845896838,0.21170990872445916,0.2577787661005935,7.68610588449868,7.967582372170272
tt4642192,4.571793234316948,4.401874259371531,14.4863004882483,15.44927242006194,0.4696350768147764,0.3433789937867077,8.234725313825175,7.829770133867972
tt4743226,3.7614303447725117,4.1973650700439915,15.087782362932986,16.328019308420526,0.2872473243022402,0.3135118106755051,8.393594229219643,7.830562461373532
