Epoch,Loss,Val_loss
1,0.2494082764694185,0.24795792996883392
2,0.24715841629288413,0.24539199471473694
3,0.24407576114842386,0.2417762279510498
4,0.23950472316055588,0.2365988940000534
5,0.23314447700977325,0.22922274470329285
6,0.22386730530045248,0.2188635766506195
7,0.2113330542589679,0.20475058257579803
8,0.19481603440010187,0.1861192286014557
9,0.17399807771046957,0.1624636948108673
10,0.1484362090175802,0.1342138648033142
11,0.11984994917204886,0.10347459465265274
12,0.09118040064067552,0.07391247153282166
13,0.06609156637480765,0.04958723857998848
14,0.0469297475999955,0.03280394524335861
15,0.034272274961977295,0.02291068434715271
16,0.027079105179643993,0.017700906842947006
17,0.0230401705837611,0.015136967413127422
18,0.020866271616383034,0.01390071865171194
19,0.019773850245683483,0.013288313522934914
20,0.019184594014377304,0.01297452487051487
21,0.018835583475954605,0.012806454673409462
22,0.018626814397672813,0.012711639516055584
23,0.018509722935656708,0.01265485119074583
24,0.018434321126815947,0.012619130313396454
25,0.018383998339149086,0.012595722451806068
26,0.018346971676995356,0.012579805217683315
27,0.018317985757620947,0.012568676844239235
28,0.018299589737911116,0.012560509145259857
29,0.018284861647495716,0.01255438569933176
30,0.018272130228014605,0.012549703940749168
31,0.018262579218682014,0.012545978650450706
32,0.018253951446350777,0.01254293043166399
33,0.018248280623193943,0.012540268711745739
34,0.018242758825759996,0.012537963688373566
35,0.018236570949242872,0.012536096386611462
36,0.018231666392900726,0.012534476816654205
37,0.018227621969400032,0.012532984837889671
38,0.01822421465520606,0.012531579472124577
39,0.01821990893927939,0.012530380859971046
40,0.018216555867569918,0.012529281899333
41,0.018213349817828697,0.01252828910946846
42,0.018210388466038487,0.012527383863925934
43,0.018207919558115078,0.012526530772447586
44,0.01820494192229076,0.012525833211839199
45,0.018202352478648678,0.01252523623406887
46,0.01819952375565966,0.012524742633104324
47,0.01819737623869018,0.012524272315204144
48,0.018195172334372095,0.012523936107754707
49,0.018192438803838962,0.012523675337433815
50,0.018190399644839945,0.012523569166660309
51,0.01818821222210924,0.012523636221885681
