userId,movieId
0,26
0,38
0,41
0,47
0,49
0,50
0,68
1,8
1,35
1,36
1,42
1,55
1,58
1,65
2,34
2,35
2,41
2,42
2,55
2,62
2,66
2,68
3,4
3,8
3,9
3,14
3,23
3,30
3,35
3,42
3,47
3,48
3,49
3,55
3,58
3,62
3,65
3,70
4,9
4,28
4,29
4,36
4,43
4,62
4,68
5,8
5,10
5,23
5,30
5,35
5,42
5,59
5,62
5,66
6,0
6,13
6,23
6,41
6,43
6,66
7,8
7,11
7,26
7,51
7,67
7,68
8,0
8,27
8,38
8,48
8,58
8,64
8,68
8,71
9,14
9,20
9,26
9,27
9,34
9,50
9,65
10,7
10,13
10,43
10,67
10,68
10,69
11,16
11,21
11,39
11,48
11,59
11,71
12,35
12,39
12,41
12,49
12,50
12,52
13,0
13,1
13,10
13,32
13,47
13,60
13,68
14,11
14,30
14,43
14,50
14,61
14,71
15,8
15,11
15,14
15,18
15,48
15,54
15,71
16,10
16,24
16,62
16,66
16,68
16,70
17,0
17,3
17,11
17,15
17,18
17,20
17,25
17,26
17,41
17,55
17,65
17,69
18,9
18,15
18,41
18,43
18,45
18,54
18,61
18,71
19,4
19,10
19,13
19,23
19,41
19,43
19,55
19,62
19,70
20,1
20,47
20,49
20,60
20,62
20,65
21,14
21,20
21,26
21,27
21,34
21,50
21,65
22,7
22,15
22,26
22,41
22,49
22,53
23,0
23,3
23,7
23,10
23,11
23,14
23,18
23,20
23,21
23,24
23,27
23,32
23,34
23,35
23,39
23,41
23,45
23,46
23,48
23,49
23,50
23,52
23,54
23,55
23,59
23,61
23,62
23,64
23,65
23,67
23,70
23,71
24,23
24,39
24,44
24,55
24,61
24,67
25,9
25,26
25,36
25,39
25,41
25,43
25,47
25,62
26,1
26,30
26,61
26,62
26,68
26,70
27,4
27,8
27,27
27,30
27,42
27,49
27,56
28,11
28,12
28,34
28,51
28,61
28,70
28,71
29,1
29,4
29,8
29,9
29,14
29,36
29,60
29,62
30,3
30,14
30,18
30,20
30,31
30,32
30,49
30,56
30,68
31,3
31,13
31,18
31,23
31,32
31,39
31,49
31,52
31,58
31,63
31,64
31,71
31,73
32,0
32,4
32,8
32,41
32,47
32,49
32,55
32,72
33,9
33,26
33,30
33,41
33,42
33,47
34,21
34,23
34,32
34,34
34,39
34,41
34,43
34,44
34,45
34,50
34,55
34,70
35,15
35,37
35,41
35,45
35,65
35,66
36,0
36,13
36,36
36,42
36,43
36,45
36,46
36,60
36,62
36,64
37,1
37,9
37,13
37,19
37,32
37,34
37,41
37,47
37,49
37,58
37,62
37,70
38,11
38,15
38,16
38,17
38,20
38,37
38,39
38,67
39,3
39,9
39,13
39,24
39,30
39,32
39,35
39,47
39,53
39,59
39,60
39,62
39,66
39,69
40,6
40,18
40,19
40,30
40,41
40,45
40,46
40,48
40,50
40,59
40,67
40,71
41,7
41,11
41,25
41,35
41,54
41,59
41,67
42,6
42,10
42,14
42,19
42,20
42,46
42,47
42,60
42,72
43,0
43,4
43,7
43,10
43,11
43,28
43,38
43,48
43,51
43,65
44,3
44,8
44,11
44,18
44,32
44,45
44,50
44,53
44,59
45,7
45,8
45,11
45,18
45,34
45,48
45,51
45,71
46,1
46,6
46,20
46,23
46,30
46,36
46,40
46,42
46,45
46,46
46,47
46,58
46,69
46,70
47,35
47,36
47,39
47,46
47,47
47,48
47,56
47,68
48,10
48,14
48,18
48,23
48,41
48,56
48,61
48,63
48,71
49,10
49,11
49,24
49,34
49,43
49,51
49,62
50,8
50,18
50,24
50,47
50,49
50,51
50,56
50,69
51,16
51,21
51,22
51,39
51,40
51,44
51,45
52,3
52,7
52,10
52,13
52,41
52,43
52,46
52,50
52,56
52,61
52,71
53,3
53,6
53,8
53,9
53,14
53,18
53,19
53,23
53,47
53,49
53,50
53,56
53,63
54,1
54,3
54,18
54,39
54,43
54,58
55,1
55,2
55,7
55,11
55,12
55,32
55,39
56,10
56,11
56,23
56,31
56,34
56,48
56,55
57,15
57,18
57,19
57,21
57,60
57,68
58,3
58,7
58,8
58,35
58,49
58,54
59,3
59,8
59,9
59,10
59,14
59,22
59,24
59,26
59,31
59,32
59,34
59,38
59,43
59,44
59,45
59,48
59,49
59,50
59,54
59,57
59,60
59,62
59,67
59,68
59,69
59,70
59,71
60,14
60,24
60,48
60,49
60,55
60,56
60,70
61,3
61,8
61,9
61,17
61,24
61,47
61,53
61,54
61,56
61,58
61,62
62,2
62,21
62,24
62,26
62,31
62,32
62,40
62,44
62,60
63,1
63,3
63,8
63,9
63,10
63,18
63,20
63,29
63,30
63,32
63,35
63,36
63,41
63,42
63,43
63,45
63,47
63,49
63,52
63,56
63,58
63,62
63,65
63,69
63,70
64,10
64,27
64,42
64,45
64,47
64,58
64,62
64,66
64,69
64,70
65,7
65,9
65,10
65,11
65,13
65,24
65,43
65,46
65,62
65,68
66,1
66,6
66,8
66,10
66,20
66,27
66,36
66,49
66,65
66,69
67,22
67,39
67,41
67,45
67,50
67,67
67,70
68,4
68,14
68,18
68,24
68,38
68,50
68,56
69,8
69,36
69,42
69,47
69,52
69,69
70,8
70,12
70,25
70,31
70,46
70,49
70,61
71,3
71,11
71,34
71,37
71,48
71,51
71,57
71,71
72,3
72,6
72,8
72,10
72,26
72,41
72,49
72,55
72,62
73,6
73,10
73,14
73,34
73,60
73,65
74,2
74,8
74,25
74,39
74,48
74,71
75,4
75,23
75,26
75,41
75,42
75,49
75,61
75,64
76,3
76,11
76,14
76,18
76,20
76,49
76,55
76,71
77,0
77,1
77,3
77,5
77,6
77,7
77,8
