movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
bernadettefilm,0.9426636,0.9856831,0.60110646,1.3463762,0.64851665,0.4448843,0.18725649,1.1049027,0.79249644,0.0,0.50534475,0.8216434,1.019625,0.89112407,0.75716877,0.64342624,0.8283429,1.0914805,0.7567557,1.05365
blackandbluemovie,1.3571085,1.9426829,1.0170546,2.4770977,1.2849866,0.54237866,0.46116948,1.6747323,1.4873179,0.0,1.2361791,1.8892382,1.2035171,1.4978279,1.428389,0.6795397,1.4177701,1.897751,1.0882767,1.1955776
blackchristmas,0.73744947,1.0201023,0.89238834,1.33888,0.5429287,0.45429224,0.121673204,1.2186807,0.9361102,0.0,0.78597176,1.1203591,1.0648177,0.86738133,0.61051655,0.80467933,0.69957197,1.1006463,0.72078943,0.8722187
blindedbythelightmovie,0.29246563,0.40065643,0.2739127,0.43552846,0.25661716,0.19604102,0.07554341,0.4200701,0.3503062,0.0,0.25745177,0.41536364,0.37086797,0.304634,0.26638937,0.28255,0.29325986,0.39776534,0.24280822,0.38991213
bombshellmovie,0.8046983,1.5118606,0.72385913,1.8985655,0.37315667,0.65427107,0.1127563,1.3509675,1.055283,0.35617995,0.6556717,1.4883693,0.9530478,0.9526507,0.624565,0.7042373,1.19311,0.92327136,0.9883645,1.127189
booksmart,0.0,0.19445103,0.0,0.23808093,0.0,0.18218721,0.0,0.07202211,0.0,0.49483547,0.0,0.84568906,0.069813915,0.0,0.0,0.4926424,0.47257936,0.0,0.0,0.12635452
breakthroughmovie,1.0938325,1.2919953,1.3153704,2.1468852,0.7231726,0.4271208,0.008116154,1.674173,1.080199,0.0631184,0.8684446,1.6811312,0.64783216,1.5890161,0.96056837,0.95474195,1.5732715,1.4694986,0.91406816,0.68345016
brianbanksmovie,1.2816899,1.3261235,0.8859088,2.179724,0.84572715,0.35965332,0.17523949,1.515775,1.09744,0.0,0.81174153,1.6520054,0.5925381,1.2270441,0.87922126,0.8124833,1.1306612,1.2729511,1.0585344,0.9960813
brightburnmovie,0.85471594,0.93969053,0.57546866,1.072165,0.6053526,0.12627068,0.24920113,0.89249355,0.69898224,0.0,0.4334703,0.88354725,0.61671716,0.88664716,0.60863596,0.426914,0.7626214,0.72871476,0.55611366,0.615111
brittanyrunsmov,0.37359563,0.4694454,0.3627674,0.608704,0.45323548,0.3049132,0.27338076,0.67024064,0.5119588,0.032199826,0.32376704,0.6398888,0.46007994,0.5735182,0.3163763,0.27291298,0.39281732,0.4848775,0.4557542,0.4135384
captainmarvelofficial,1.194159,0.7034892,0.5777728,1.5061839,0.57999355,0.09295796,0.26832283,1.0533514,0.79867953,0.0,0.4134486,1.1096345,0.72229606,0.82809013,0.75458795,0.3876833,0.6522884,0.6248184,0.78270966,0.6258963
captivestatemovie,1.4748672,1.5660543,1.0476297,2.0787978,0.8480033,0.4712775,0.40826422,1.4775543,1.4432703,0.008441774,0.8040664,1.6854552,1.2088776,0.76397204,1.0262666,0.93286735,1.1476307,1.0873214,1.1321815,1.1699153
catsmovie,0.9374128,0.85163754,0.67772937,1.9249068,0.70228684,0.27659422,0.0,1.134879,0.9350888,0.058189202,0.93887305,1.2428223,0.63028544,1.5138515,0.5773183,0.56904876,0.8675584,0.84793186,0.7077068,0.7858066
charliesangels,1.0129473,1.29451,0.6261205,1.7457887,0.64915156,0.06881339,0.4162844,1.0410146,0.82744956,0.49108812,0.47543666,1.6707393,0.7034278,1.2382025,0.36971986,0.57030326,1.1071795,0.8258367,0.72871035,0.6750335
childsplaymovie,0.5583559,0.8913078,0.22755623,1.7774796,0.23125955,0.11171882,0.4010616,0.90724254,0.8454406,0.42259,0.32723045,1.6484514,0.43138298,0.3949552,0.4500289,1.0807188,1.0820267,0.54382944,0.2890913,0.7354991
clarathefilm,0.29208097,0.5071196,0.0,0.71389204,0.2855023,0.0,0.15154476,0.5841129,0.24665359,0.0080025345,0.0,0.68173516,0.44717106,0.0,0.2110801,0.47499734,0.6390464,0.26727828,0.20412661,0.58549464
coldpursuitmovie,0.46379104,0.681452,0.42928815,0.71387446,0.44484332,0.38502753,0.08619091,0.7304065,0.45501113,0.011768894,0.29872224,0.6230402,0.42376578,0.4644188,0.43328205,0.394231,0.3797822,0.7123016,0.37264556,0.5679984
countdown,0.77287954,1.1612668,0.8751423,2.0255015,1.0859759,0.3091759,0.15950146,0.9991103,1.1242385,0.004863221,0.81956005,1.4957173,1.2953156,0.9998587,0.81212574,1.1678066,1.2501018,1.2842857,1.1184345,1.4387974
currentwarmovie,1.0737929,1.1161298,0.93233275,1.5585046,0.851165,0.2288536,0.56419235,1.3178478,0.94899017,0.0,0.73987937,1.1577265,0.74672604,1.0715809,0.8712066,0.6884407,1.0981036,0.8613515,0.97853714,0.9237898
darkwatersmovie,0.9850121,1.3013734,1.0179732,2.037548,0.80988896,0.42253938,0.40392548,1.4105823,0.89328855,0.0,0.7618441,1.7311437,0.91779697,1.0191053,0.9786719,0.90358186,1.1880989,1.1016113,0.94956756,0.7709115
detectivepikachumovie,1.0479966,1.3031931,0.7817273,1.6580726,0.74254334,0.5013622,0.16007239,1.3798846,1.0882126,0.26495582,0.86443734,1.3878919,1.0598931,0.89291066,0.94954747,0.63697875,0.98285913,0.96953624,0.74800515,0.9970568
disneyaladdin,0.8472167,1.1418289,0.9040974,1.5739763,0.75262344,0.3192445,0.0,1.3262935,1.1595734,0.10051419,0.6822862,1.1972522,0.8319053,0.94146633,1.0595846,0.58489865,0.96600807,1.2238595,0.720586,0.68685204
disneyfrozen,0.67579913,1.2299666,0.65690666,1.4816884,1.0889431,0.3989092,0.04775929,1.6015704,1.0286324,0.23257333,0.5411764,1.6326668,0.6337337,0.9743335,0.8716917,0.93636066,0.60072017,1.4162041,0.38060412,0.9300022
disneymaleficent,0.8340791,1.1198659,0.7152711,1.5180129,0.70707774,0.2567721,0.14844066,1.2224863,0.90964526,0.20424294,0.5295353,1.3088094,0.6781896,0.627286,0.8723215,0.5756018,0.9302045,0.94810843,0.6256507,0.61195624
doctorsleepmovie,0.68003273,0.88203233,0.7046158,1.2763201,0.6865693,0.39927202,0.22165658,1.1176684,0.8766634,0.0,0.432995,0.8008253,0.85208654,0.7891409,0.6177524,0.59426194,0.75491697,0.74244744,0.7178208,0.7330814
dolemiteismyname,0.83323014,1.5014988,0.96527314,1.7096547,0.9011646,0.47060123,0.21605946,1.4783565,1.2393292,0.19063857,0.72549105,1.4499857,0.9603064,0.94647604,1.0656335,0.9039395,1.2039939,1.5040882,1.0248564,1.2881305
dontletgomovie,0.83850425,1.1917797,0.96941733,1.4185292,0.6755518,0.6014925,0.20632486,1.3609641,1.1307524,0.0,0.90160674,1.1731341,1.3251661,1.0066103,0.70091033,0.8956808,0.8236425,1.2246106,0.8847361,1.0853337
doramovie,1.1274004,1.1839436,0.68120855,1.27869,0.8345347,0.41641667,0.15966062,0.99878186,0.8240421,0.0,0.67940474,0.83186805,0.87132615,0.95717436,0.43908045,0.56739527,0.58463657,0.86945367,0.6361771,1.114841
downtonabbey_official,1.3954397,1.7435848,1.0768789,2.3143187,1.2468345,0.0,0.31478572,1.3519382,1.3325772,0.07208939,1.0278322,1.433979,1.1148463,1.1412303,1.3691826,1.1054413,1.3319938,1.0562817,1.1649922,1.1982296
dumbo,0.6573301,0.8325013,0.5982444,1.2506909,0.6078006,0.3024692,0.05450368,1.0601209,0.8297437,0.0734712,0.5416673,0.9832945,0.5955767,0.61654156,0.7675761,0.5205029,0.782526,0.87651294,0.58524024,0.5599207
escaperoom,1.1085135,1.1938154,0.94865596,1.5970801,0.74112076,0.20016848,0.23786211,1.3096416,1.0209156,0.0,0.71640253,1.1859586,0.96906054,0.9424556,0.79495186,0.5227834,1.0015033,0.8863486,0.66986674,0.9173914
everybodyknowsmovie,0.72013414,0.84636074,0.68105334,1.2245517,0.5389831,0.24942845,0.17892835,0.7811922,0.68916565,0.07019915,0.5268962,0.840488,0.635785,0.6415007,0.6158226,0.6333642,0.69125175,0.75585335,0.6805901,0.68153775
fastandfuriousmovie,0.96879154,1.8378278,0.99308115,2.0024889,0.76495725,1.0427554,0.0,1.3180721,1.0450768,0.0,0.9152922,1.5797427,1.0389373,1.5740955,0.9164969,0.9761954,1.2087163,1.429192,0.890989,1.0561846
fightingwmyfam,0.49909317,1.0705086,0.9005793,1.4664645,0.6250855,0.5944792,0.16947918,1.271222,1.1426347,0.0,0.6045672,1.1996937,1.0956868,1.1564565,0.54037523,0.7716338,0.90255433,1.148398,0.72522,0.74781233
fivefeetapartfilm,0.9465292,1.1891685,0.79721105,1.3887018,0.6628789,0.314007,0.285546,1.1598129,1.111372,0.03201355,0.5410224,1.1501583,1.2166342,0.5934544,0.89830554,0.7689647,0.9542325,0.72260535,0.9843076,1.2103814
fordvferrari,0.5765852,0.8311516,0.5561622,0.7326943,0.34063956,0.2834521,0.29291773,0.6991405,0.62175655,0.0,0.4332781,0.5928177,0.4853596,0.49119222,0.53950334,0.38995087,0.466501,0.6729369,0.5078439,0.54161876
freaksthefilm,1.1339566,1.1303756,0.8296688,2.0216315,0.82056344,0.39554527,0.06255959,1.5338932,0.98146975,0.11047037,0.7564758,1.477502,1.2939217,1.630654,1.1520721,0.7781169,1.1474557,1.066207,0.8436558,0.98720366
geminimanmovie,1.2777534,1.0055246,0.7488559,1.5055102,0.77979475,0.49429366,0.20624258,1.2398163,1.1095891,0.0,0.95874137,1.1421797,1.0370657,0.9166358,1.1476836,0.53063726,0.7996904,1.309996,0.8356087,1.0225915
glassmovie,1.0539516,0.71210563,0.7578978,1.5373937,0.5105076,0.12622672,0.27016476,1.220343,0.8300148,0.0,0.661956,1.1633301,0.8545839,0.900147,0.64359534,0.6502643,0.80703163,0.86435455,0.747463,0.96936405
gloriabellmovie,0.7204387,0.9049959,0.6597225,1.0363718,0.5169588,0.37481213,0.20688061,0.94581956,0.6521575,0.0,0.4802568,0.82400095,0.5988621,0.72161984,0.5005121,0.5501693,0.6147023,0.80475354,0.48941475,0.6464818
godzillamovie,1.3192997,1.5426158,1.1819447,1.8572159,0.846716,0.6846681,0.22678672,1.7904284,1.2284359,0.0,0.85965484,1.5937219,1.4498256,0.8958634,0.9494803,0.8831264,1.0683932,1.4508545,0.9735478,1.2219601
goldfinchmovie,0.76401204,1.0854925,0.93765664,1.7604455,0.45444632,0.5084731,0.27712473,1.3144673,0.9720881,0.0,0.62783927,1.3550147,0.78141344,0.7911966,0.49561307,0.61589056,1.1072574,1.1401896,0.5764266,1.0737796
goodboysmovie,0.76082903,1.1286443,0.8544761,1.1921505,0.69180876,0.4430812,0.36835817,1.0524538,0.91264796,0.0,0.4973233,0.80830055,1.1553493,0.6917421,0.75714517,0.717843,1.1168052,0.92394483,0.8246546,0.68146056
goodliarmovie,1.2733829,1.264232,0.94092286,1.7786107,0.88544565,0.64767736,0.09530362,1.5507028,1.2192533,0.0,0.7577947,1.2501397,1.1537601,0.97231656,1.0890551,0.7914551,0.81442875,1.4404639,0.7761655,1.0618895
gretafilm,0.97767323,1.2966827,0.94304305,1.9376291,0.9284611,0.28288794,0.18710385,0.949956,1.0195706,0.0,0.70958215,1.0607772,1.0251994,1.0208826,1.0078918,0.9673002,1.0447937,1.2161894,0.8825609,0.9765473
halathemovie,1.18297,1.8256047,0.898592,2.148526,0.7522288,0.22593193,0.42871657,0.98606896,1.3118908,0.035611283,0.7547031,1.3001353,0.81311846,0.9443287,0.9397181,0.6495225,1.3031352,0.84278065,0.609485,0.77492297
happydeathdaymovie,0.5151133,0.54600865,0.19958803,0.59956473,0.24705127,0.28437147,0.19354528,0.53297573,0.5170762,0.0,0.44123432,0.4984777,0.38410205,0.6005779,0.21110864,0.34851682,0.26828158,0.4443107,0.4516813,0.46573794
harrietfilm,0.77918726,1.0135336,0.66156346,1.3774816,0.5774747,0.16068646,0.21493019,0.6711444,0.74227506,0.069992825,0.5520101,0.71789205,0.82012606,0.8210364,0.53288376,0.7161077,0.64028645,0.7569905,0.8779091,0.8087621
hellboymovie,1.0019535,0.8321401,0.90128607,0.9425634,0.5668545,0.53425556,0.239595,1.331598,0.7888797,0.0,0.48062727,0.9177529,0.845355,0.8682965,0.6803551,0.61759514,0.74244505,0.8566379,0.723999,0.78827536
hersmellmovie,0.912905,1.4116449,0.7500493,1.8949878,0.73840183,0.39989886,0.0,0.92387784,1.1213065,0.22838965,0.6291308,1.4011964,1.0121583,0.7576111,1.3090737,0.9779794,1.2132633,1.1876956,0.5674747,0.6635526
highlifemovie,0.73294586,0.8940377,0.68612236,1.0370853,0.4610344,0.38007852,0.15748438,0.96907353,0.76677024,0.0,0.53948677,0.91125315,0.52541506,0.7086025,0.51205987,0.5584695,0.5739597,0.8700569,0.53683436,0.6711738
highstrungmovie,0.0,0.0,0.0,0.0,0.0,0.0,0.061736338,0.4307207,0.0,0.26629022,0.0,0.60871434,0.0,0.0,0.14833985,0.22764078,0.68995124,0.0,0.0,0.0
honeyboymovie,0.8764722,1.005498,0.57620734,1.1531138,0.58059883,0.46954015,0.6141638,1.1566694,0.89700407,0.0,0.80580586,1.2847382,0.86602837,0.46033937,0.038252737,0.7435318,0.8917891,0.7156918,0.37705064,1.1896254
hotelmumbaifilm,0.8727649,1.015248,0.48870385,1.35193,0.5385797,0.2494035,0.37172887,0.9402176,0.7790236,0.0,0.37674367,0.97254324,0.73674625,0.7189992,0.6817557,0.59871864,0.77248394,0.6820385,0.6824873,0.7278055
httydragon,0.696443,0.6391131,0.54916376,1.788253,0.4128997,0.26764506,0.11530604,1.031164,0.9710047,0.07144953,0.5043812,1.218148,0.7824877,0.8051215,0.8499927,0.92310756,1.0522634,0.7534422,0.49752784,1.0087258
hustlemovie,0.397462,0.64749736,0.5587452,0.8702282,0.49715486,0.25725672,0.0,0.45247027,0.6356757,0.0,0.27786696,0.63415563,0.7130983,0.50006443,0.27299258,0.49886447,0.33617342,0.49273646,0.5956609,0.6889666
hustlersmovie,0.0,0.30004355,0.0,0.35781533,0.10011041,0.17876361,0.11488718,0.04658744,0.04745207,0.21435101,0.053479176,0.82935697,0.200515,0.0,0.22564064,0.33607936,0.42254108,0.16827637,0.23501934,0.011660513
isntitromantic,0.38837877,0.698753,0.44380552,0.8636459,0.6055508,0.29157424,0.0,0.62716323,0.54522896,0.0,0.48664096,0.74527156,0.65976244,0.7531548,0.39873973,0.49841264,0.34240192,0.49950406,0.53684545,0.6665102
itmovieofficial,1.070984,1.3022684,0.81763667,2.154918,0.59548324,0.42081997,0.39047477,1.5068458,0.9390678,0.0,0.813634,1.8592998,1.2399876,1.0265673,0.55926204,1.0213484,1.4110266,1.1448742,0.89662665,1.2766467
