movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
amazinggracemov,0.0,0.70601714,0.0,0.60937333,0.92552495,0.0,0.6824815,0.0,0.0,0.0,1.5395888,0.0,0.0,0.32448423,0.0,0.0,0.44703928,0.0,0.0,0.0,0.64882475,0.0,0.4600167,0.0,1.1363088,1.0618093,0.0,0.0,0.0,0.0,0.0,0.28231135,0.41325054,0.0,0.0,0.27352437,0.0,0.16372995,0.005243386,0.0,0.0,1.0210174,0.7607308,0.8860128,0.0,0.0,0.0,0.3204376,0.5037179,0.23660225,0.0,0.0,0.0,0.85287446,0.0,0.1438312,1.2895925,0.7500987,0.28782818,0.0,0.0,0.5066055,1.8078417,0.24415258,0.0,0.0,0.0,0.0,0.0,1.9536645,0.0,0.0,0.0,0.0,0.43017617,1.0925647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77307636,0.0,0.0,0.2782575,0.9406552,1.0489876,0.0,0.0,0.33966634,0.0,0.0,0.0,0.0,0.0,1.1090271,0.0,0.13926812
angelhasfallen,2.5980096,2.0966756,2.78416,2.4032204,0.0,1.6470615,2.4412968,0.8469831,2.185156,2.0818977,2.6477697,2.0504632,2.518431,0.9544357,1.5554038,1.6893278,1.095793,2.3116112,2.18204,1.9591304,2.3285277,1.4591424,1.7848519,1.5904865,2.7442348,0.0,0.0,1.6979527,1.9405496,1.0401363,0.0,1.8656436,1.8457024,2.1999948,1.3777386,1.915355,2.124122,1.3564311,1.2711607,1.9860905,2.254665,2.3547246,1.8541893,2.1632743,1.3364049,1.7072551,1.6348556,1.6918901,1.909072,2.4162176,2.094124,2.019106,1.2780921,2.6742237,0.0,0.79235333,1.4191293,1.7712629,1.1319811,0.55071604,1.811138,2.3772624,2.6573112,1.9027417,1.6050432,2.3351321,2.2772944,2.7481577,1.7426459,1.879306,2.8254662,2.3976471,0.0,1.7577922,1.5089006,2.613995,1.9850684,2.2194476,2.1479046,2.2320793,2.1124485,2.6717472,2.0558481,2.13894,2.382143,2.1116323,1.8751799,1.3425709,2.5983145,2.053034,2.0355923,1.7909037,1.8614808,1.6190348,2.077356,1.7663152,0.6599884,2.0135734,2.0008893,1.7410065
angrybirdsmovie,1.5744524,1.5294672,1.6973712,1.702959,0.0,1.033847,2.0077355,0.664248,1.486165,1.4590915,1.490837,1.4364333,1.7696989,0.3830294,1.3515369,1.0417581,0.75062054,1.56206,1.554709,1.4311612,1.6344956,1.0140905,1.1896982,0.9820492,1.8044534,0.0,0.0,1.2021315,1.1398621,0.8787381,0.0,1.2034417,1.3501295,1.5268952,0.76676345,1.1176785,1.5364138,0.82912624,0.80035824,1.6032412,1.4823021,1.6086088,1.3049613,1.3942443,0.7491506,1.1523206,0.90590155,1.3568472,1.3179134,1.6819354,1.5186322,1.2836226,0.95295537,1.809434,0.0,0.57401407,1.074301,1.3973364,0.7860399,0.3902001,1.3249773,1.6304345,1.9254094,1.3506147,1.0490253,1.5609783,1.5259683,1.7884413,1.3271769,1.1048487,1.8608851,1.3927684,0.0,1.0899122,0.91341656,1.6359186,1.0781242,1.5783447,1.4579375,1.3745819,1.4789722,1.8094646,1.3730563,1.6363677,1.6499076,1.4695203,1.2836663,0.9868011,1.8678362,1.2656606,1.3303119,1.1048682,1.1760392,1.1880777,1.2101172,1.2433436,0.38732684,1.1644622,1.1518615,1.3674601
annabellemovie,2.5846786,2.3470407,2.754037,2.5579555,0.0,1.6485982,2.7596352,1.1751822,2.1318176,1.9863058,2.6862123,2.22918,2.701764,0.8584997,2.0796196,1.8371949,1.0207516,2.4464927,2.227186,2.1567101,2.822869,1.5296193,1.6637286,1.5880239,3.052932,0.0,0.0,1.7641618,1.8335052,1.1129295,0.0,2.0113292,1.8869596,2.5493186,1.3865072,1.9220139,2.35191,1.3695955,1.1995364,2.428274,2.3267672,2.6074083,2.4184647,2.0745285,1.4943347,1.7679081,1.5111704,2.024228,2.1089053,2.44409,2.2544398,2.0951498,1.5018914,2.5854323,0.0,1.0587114,1.5418072,1.7244822,1.3038263,0.30509943,1.9757261,2.254088,2.9669302,2.2828085,1.5818925,2.5580308,2.274685,2.767575,1.9003935,1.8855346,3.0018613,2.4262362,0.0,1.5812801,1.4898524,2.6128874,2.0217543,2.31679,2.3187978,2.2449367,2.1102436,3.122661,1.900739,2.3517337,2.734992,2.3983712,1.9149989,1.6739161,2.9073558,1.9914283,2.148902,1.7300956,1.6515489,1.8567259,1.7875543,2.020124,0.8127001,2.0500731,1.8555535,2.2252312
annamovie,0.9217444,0.90905106,1.1095912,0.93564594,0.0,0.67559445,1.0972857,0.45098674,0.91795605,0.9135496,1.0041766,0.9815231,1.0463879,0.31888032,0.852591,0.76310766,0.52252823,0.92965466,0.7979951,0.77983,1.0087144,0.6803676,0.758103,0.61429584,1.0950072,0.0,0.0,0.7652348,0.74145657,0.57373816,0.0,0.80375284,0.78956604,0.8741653,0.5317673,0.6390557,0.9278005,0.5741766,0.5291677,0.98755795,0.9681166,1.0675309,0.81234914,0.88133746,0.66775256,0.72833204,0.530318,0.7527341,0.8908414,0.9079179,0.90314513,0.8049998,0.5974491,1.0573989,0.0,0.39578107,0.53377676,0.784918,0.4131171,0.21857478,0.69558996,1.0924513,1.0703261,0.9314013,0.68566185,1.0567735,0.92086375,1.0770602,0.7060647,0.67828363,1.1767954,0.9270055,0.0,0.7689908,0.659374,0.98386973,0.7923808,0.9423544,0.9565615,0.9032737,0.8117103,1.1662055,0.83147377,0.887516,1.1039147,0.8603286,0.762766,0.7084751,1.0993431,0.7903511,0.9276505,0.78106135,0.73737806,0.7565342,0.8402629,0.82754695,0.31552094,0.79228705,0.8195009,0.93940496
apollo11movie,0.52947044,0.47112092,0.5820958,0.52509654,0.0,0.39252734,0.6204153,0.2394801,0.4702371,0.47054195,0.52504283,0.45117497,0.53567046,0.14923717,0.4339121,0.3612526,0.21313004,0.5029724,0.46396738,0.4392476,0.56584334,0.35728607,0.38965037,0.3788791,0.6160423,0.0,0.0,0.40165618,0.3865896,0.2635515,0.0,0.4579857,0.42602628,0.45792168,0.25972897,0.36685646,0.47599778,0.2866865,0.27193892,0.5182595,0.52422714,0.5786829,0.47827494,0.43834984,0.33946976,0.3661576,0.34249702,0.37925056,0.43166617,0.524449,0.47728637,0.4820065,0.31403878,0.5783198,0.0,0.22108917,0.31833985,0.42479068,0.2918127,0.105773956,0.41880235,0.56834686,0.5998574,0.48021293,0.35957283,0.55135715,0.50581217,0.57199234,0.4208838,0.36225286,0.64839077,0.4973108,0.0,0.36998728,0.3143475,0.5283359,0.44257158,0.50465167,0.4874855,0.4861304,0.48170105,0.56602603,0.45130038,0.4997548,0.59062016,0.4646418,0.41977328,0.3708326,0.5970848,0.451012,0.4576184,0.37987873,0.3739171,0.36673817,0.44122908,0.40411678,0.08023493,0.42627382,0.4154342,0.5015396
arcticdogsmovie,0.6320091,0.5442536,0.7435846,0.6024113,0.0,0.4265188,0.6494012,0.25977162,0.51939887,0.5708064,0.5969515,0.5347008,0.63083845,0.26037025,0.522047,0.4272213,0.32756937,0.6206034,0.53667074,0.5493843,0.6625258,0.34367657,0.51664984,0.41692564,0.7610725,0.0,0.0,0.45510778,0.5294601,0.3183852,0.0,0.54203707,0.5166973,0.5792326,0.39003897,0.4994354,0.52444583,0.35436147,0.2853917,0.6733565,0.548222,0.67755216,0.57766813,0.6070118,0.3582909,0.468863,0.3961022,0.5314098,0.5648725,0.67547184,0.5732284,0.5643606,0.4476054,0.7132357,0.0,0.25880733,0.36706945,0.47306457,0.2883633,0.13825856,0.52038217,0.6546626,0.7260795,0.61664075,0.47079456,0.62444496,0.6006995,0.7344289,0.5707649,0.45432502,0.664854,0.59975016,0.0,0.47385675,0.39540032,0.65625745,0.556076,0.6066331,0.57293046,0.58580685,0.5805154,0.7555019,0.5391162,0.5679826,0.7204533,0.5170558,0.51661664,0.44202414,0.6749023,0.52208585,0.5799175,0.40452626,0.47072765,0.49733073,0.5466402,0.5166309,0.14592431,0.5002192,0.4022938,0.5646856
arcticmovie,0.8560569,0.83694124,0.9491596,0.9336672,0.0,0.68478453,0.9604604,0.42139092,0.8407354,0.8525766,0.88583946,0.8729261,0.9554572,0.3244256,0.7913379,0.65593576,0.45877385,0.91609097,0.8790739,0.8261129,0.9910029,0.5822354,0.71156055,0.5288103,1.1900696,0.0,0.0,0.7024759,0.72159815,0.4457782,0.0,0.758229,0.8129316,0.88857627,0.49173275,0.6835152,0.8822567,0.528214,0.4257692,0.9455895,0.8914154,1.0730604,0.8582543,0.84476125,0.5964898,0.69389105,0.6212868,0.7856893,0.73664194,0.9905699,0.7867252,0.81767493,0.55252004,1.0359493,0.0,0.38909402,0.52447,0.73507506,0.48244965,0.15898763,0.7254591,0.9874434,1.0745668,0.7344134,0.6185366,0.921709,0.8780584,1.0235482,0.76003844,0.6059005,0.98431134,0.814863,0.0,0.68527126,0.49088514,0.95355433,0.71100235,0.90855813,0.81186366,0.88584787,0.77743554,1.1341839,0.6785081,0.8690689,0.9525431,0.84735405,0.7744298,0.6556939,1.0711685,0.73123676,0.673176,0.6462537,0.6638234,0.7375441,0.82166135,0.6770512,0.25262743,0.7735412,0.75206995,0.8369288
artofracingmovie,0.65643454,0.66490376,0.7587537,0.6226815,0.0,0.4319377,0.75675946,0.35324004,0.59458834,0.66726935,0.6723921,0.62265,0.7017281,0.272393,0.49462584,0.48016736,0.27551183,0.68311673,0.6397323,0.5164405,0.7259764,0.37495986,0.52330565,0.4430169,0.7935356,0.0,0.0,0.5216676,0.5471631,0.34251025,0.0,0.6081003,0.594986,0.64492625,0.3335923,0.49481505,0.59346086,0.38507813,0.36108878,0.68754965,0.6647641,0.75723904,0.5960387,0.5679266,0.4287238,0.46104723,0.4142368,0.5345771,0.59231895,0.7077231,0.683139,0.5972398,0.43369913,0.72362936,0.0,0.27414447,0.42120656,0.57022357,0.3404697,0.15394238,0.56276876,0.6196196,0.80499214,0.57159567,0.44035628,0.6719254,0.61314493,0.7472749,0.5561175,0.46672815,0.7825115,0.71059006,0.0,0.49866587,0.3384876,0.6847734,0.53772557,0.65048254,0.6368059,0.6712777,0.6456733,0.83804613,0.55239904,0.5815331,0.6636888,0.6352671,0.5443974,0.43806762,0.77792126,0.58137965,0.52312315,0.5095723,0.48587343,0.5004107,0.60802805,0.59268504,0.14739265,0.5345039,0.55144304,0.6227069
avengers,0.6890936,0.6729592,0.8570443,0.7224215,0.0,0.4658137,0.82462966,0.25873503,0.64755636,0.65255105,0.6723018,0.61201656,0.7704357,0.23261863,0.56632334,0.4878788,0.31885144,0.67178243,0.6719733,0.6045666,0.82278115,0.4895567,0.54776764,0.4740139,0.8513651,0.0,0.0,0.50477993,0.53941286,0.38466924,0.0,0.59276754,0.62732106,0.7285792,0.3853345,0.49235433,0.6461065,0.35175484,0.35359907,0.6778493,0.69238317,0.7380737,0.6517771,0.5825938,0.43788362,0.56741256,0.43593568,0.62088466,0.6354021,0.7634032,0.637958,0.63167405,0.3769032,0.80650127,0.0,0.28703097,0.40463984,0.5816329,0.38477916,0.15185672,0.55143774,0.74417895,0.7698447,0.66733396,0.47680914,0.7159146,0.71276855,0.7958006,0.64608806,0.50093955,0.8251416,0.6853721,0.0,0.49648908,0.3700321,0.7206884,0.55767787,0.7018619,0.58174765,0.598394,0.59790105,0.87509364,0.5933819,0.66571486,0.7097286,0.60669196,0.53748566,0.45472184,0.84960175,0.5933827,0.5586725,0.52504575,0.49833477,0.55904204,0.5586396,0.5856829,0.14864264,0.54954076,0.5650452,0.5840343
