1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10-5dim,0.6749994627487657,0.5031369792479536,0.11968416713293135,0.11358466787763098,-0.021528101761192363,-0.01916137551067725,-0.04578559998062193,-0.09096888114391177,-0.09105515532404276,-0.09219948638760984,-0.13086132151760874,-0.13051592196809564,-0.13041575479463685,-0.12934504686562445,-0.13086269570788342,-0.12744347251257904,-0.12687775665741544,-0.12720372553825457,-0.19377167900177197,-0.14245538712985606,-0.19271866359780238,-0.19186183279880958,-0.19104886931101062,-0.18895864032033016,-0.1889801281158277,-0.18692195761295896,-0.18522714529484013,-0.18593731506385358
100-10dim,0.6749994627487657,0.5031369792479536,0.13507790898939423,-0.03309999287936539,-0.03097919570457723,-0.02860835450941418,-0.05501396740312292,-0.054961584004658726,-0.084343750913055,-0.07108301915221306,-0.0810642949942229,-0.1407427575149942,-0.173896565596139,-0.13844667901575963,-0.17621811475208937,-0.1261408831870981,-0.13594622182729674,-0.18973435665444302,-0.18873213910222783,-0.12176973693000982,-0.11846698414154579,-0.18785974798467978,-0.18490733276371707,-0.18303050898796674,-0.18401239091421726,-0.18401255524101678,-0.18170027252281173,-0.18117938601332428
100-15dim,0.5864209706753843,0.5031369792479536,0.12159730645011568,0.12328269675022238,-0.012419983293682912,-0.009380209877235982,-0.05902691587415144,-0.04978360215968198,-0.07413442725993272,-0.0719179217942843,-0.07551730923774136,-0.1394897900860927,-0.13624168873434755,-0.13516752830923007,-0.13152875813934226,-0.14706110656962285,-0.12846396947740285,-0.13816904623146736,-0.14705734040212343,-0.14606352768108058,-0.1334959724588884,-0.1436038098279418,-0.14033760952631052,-0.2091615048952811,-0.14079974052642197,-0.13655431454800765,-0.13685227207841072,-0.13649586202975797
100-20dim,0.6749994627487657,0.5031369792479536,0.12212962750817905,0.12448992927443399,-0.03963192666257614,-0.0019571806610604067,-0.06254286488484899,-0.062317349493635474,-0.08987701883103283,-0.06734295263876885,-0.1310071339437681,-0.12981045463445975,-0.12758859372232018,-0.12773159440869514,-0.12482510161281493,-0.1276045623806039,-0.12665594043271863,-0.13073968322909035,-0.13200995684936018,-0.11979566252052146,-0.2014686070195445,-0.2270550609634112,-0.20483031470514543,-0.20253388083655519,-0.228743231953344,-0.24644249190248832,-0.2482206107784139,-0.1974534879911493
100-25dim,0.5864209706753843,0.5031369792479536,0.1326129603687435,-0.0004910694954663584,-0.022654051526175462,-0.020283693670586155,-0.03068020691538439,-0.08099708612705635,-0.08635220573165248,-0.09393906048270673,-0.08582415402770341,-0.12858334592476434,-0.13394857586184503,-0.08888385385781852,-0.0834870829292717,-0.13987516421894391,-0.15390921276953853,-0.13697506300621096,-0.15137007829278573,-0.10717966082496884,-0.15149140767228514,-0.1486146898060164,-0.14860033041587173,-0.21431431807267948,-0.1318453925682711,-0.2077706402453162,-0.21057070943811956,-0.20862786497350902
100-30dim,0.5864209706753843,0.24765307889194144,0.12010572370182294,0.12104751648812032,-0.018418652594802742,-0.015376366618536934,-0.055008094758342764,-0.04261594849225805,-0.13605355287750698,-0.06456437214438843,-0.11073046312840815,-0.13354779813575104,-0.11429904535441296,-0.13719309892743645,-0.11189568281262058,-0.11023327206129417,-0.13441186909724315,-0.13223880200937474,-0.1343010187447442,-0.19765991646948097,-0.19252131019903743,-0.19610501925532545,-0.19626029804869297,-0.1345791422689106,-0.19452945531470103,-0.19238961732192555,-0.19287476813337648,-0.19148582392216093
100-35dim,0.5864209706753843,0.5031369792479536,0.129039949296986,0.039452322740868226,0.0401401068356642,0.04316619396111512,-0.09805773584767999,-0.09287146299049188,-0.0738042931245417,-0.0970076742170684,-0.09846522484805068,-0.09469226125326294,-0.09712030577461918,-0.10027915422343724,-0.11362253438253214,-0.0926932405757612,-0.1099800764722541,-0.11053950211584027,-0.15258756097855888,-0.11831803524052184,-0.12000870612959247,-0.17897818405958352,-0.25144684677113716,-0.24966434740950608,-0.21361342784464482,-0.2487678860995011,-0.17126435007521826,-0.24711473252446306
100-40dim,0.5864209706753843,0.5031369792479536,0.12789749497362088,0.1263536444116111,-0.006426533848666544,-0.021399016792581348,-0.026274826783330252,-0.06568785147769579,-0.08717561106500668,-0.08645936499395582,-0.086813468443868,-0.08592158808034708,-0.11336801154507713,-0.11308074021933072,-0.1579895481364878,-0.1125737197193396,-0.1608610194780717,-0.11143968851653642,-0.11317813560244233,-0.10940727367609648,-0.1103256964234358,-0.1801486384343222,-0.18242559195818975,-0.1551313137290876,-0.13676641047621269,-0.17911463402988662,-0.1281970529093031,-0.16883065199547576
100-45dim,0.6031539714998905,0.46864455707815483,0.15027065454557229,0.13815290067527972,-0.04112654575414435,-0.014795005408257058,-0.036859645625428226,-0.04988195715033984,-0.11606812635759729,-0.11391078547975142,-0.07956156808651502,-0.1318668245536353,-0.11908079889119054,-0.1288667011290513,-0.11547382640788466,-0.12494295616514076,-0.15070988549705677,-0.12726801706911395,-0.1142324713308245,-0.11674453551358337,-0.12389061002778323,-0.11975431838096917,-0.13363465843570788,-0.16913124480292022,-0.1463498580491335,-0.14605797511039809,-0.13133564021738015,-0.21163767142251022
100-50dim,0.5864209706753843,0.21606330110946723,0.13224452975768933,0.13318375830420753,-0.042566444780214215,-0.004067484329946883,-0.03982496588357265,-0.07859787705578712,-0.08244224855842,-0.1098907511715129,-0.07657962255798408,-0.1380532756852612,-0.07208247663022954,-0.12824468085242377,-0.08083842495296854,-0.1451203432631432,-0.12349184776240234,-0.1429737140593324,-0.10272650960568507,-0.2548038396477484,-0.25400893781060374,-0.15116171395861944,-0.14045709662837108,-0.14590089600404782,-0.12223602237459577,-0.1637669496231229,-0.13727083379056473,-0.2455096587218158
