movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
amazinggracemov,0.5583098,0.4622974,0.5167681,0.5649107,0.37227434,0.12515089,0.87656623,0.0,0.42661744,0.0,0.6142892,0.45712048,0.43679124,0.6742851,0.6869588,0.25061926,0.12946516,0.0,0.9580108,0.87081206,0.108772546,0.16783877,0.41282418,0.49189827,0.024747986,0.44673342,0.23448223,0.15958913,0.23283145,0.35315853,0.46325764,0.36413807,0.17437673,0.399876,0.026019339,0.0,0.0,0.25302187,0.38929337,0.08090085,0.02068532,0.3359532,0.053700376,0.8213471,0.30244058,0.528059,0.4230441,0.0,0.3757056,0.2027911
angelhasfallen,0.8621923,0.4569558,0.42997268,0.57790935,0.30125237,0.513903,0.80582917,0.0,0.38984072,0.09276059,0.49345657,0.52603745,0.5012572,0.6963007,0.71921706,0.9746518,0.027590849,0.25484908,0.92095244,0.86054,0.6009394,0.54135317,0.6507724,0.5178179,0.4029588,0.7634375,0.47649866,0.33405685,0.44903818,0.7151519,0.544607,0.5194857,0.47816026,0.738282,0.09797941,0.19472516,0.46508032,0.5154695,0.8152792,0.47723454,0.2233839,0.47286332,0.31115597,0.6859495,0.90442544,0.5149399,0.43904713,0.0,0.6156857,0.36433947
angrybirdsmovie,1.3885795,0.4054253,0.8007877,0.73590654,0.5364019,0.76570046,1.1283183,0.0,0.91107035,0.6796117,1.2345066,1.3744292,0.42472512,0.9799602,0.82027364,0.8190683,0.2590139,0.0,1.1466202,0.73502684,0.7347927,0.7428514,0.68356675,0.68705463,0.73318636,1.0970432,0.64544123,0.54213715,0.3079214,0.7102065,0.93512946,0.6781078,0.69077164,0.84652793,0.6716432,0.37192136,0.4819033,0.9003249,0.7562847,0.21488918,0.5849357,0.9898669,0.57984185,1.1944648,1.0063964,0.5064274,0.76198965,0.0,1.4921243,0.8086864
annabellemovie,1.4720083,0.91835606,0.62455827,0.94196725,0.5997277,0.5767315,1.4361374,0.0,0.42077225,0.32759473,1.0689573,1.3191069,0.8073379,1.0190915,1.1734607,1.1173342,0.29956847,0.33046564,1.5502391,1.105612,0.38411513,0.8212561,0.8221333,1.201352,0.7706498,1.0250533,0.69625264,0.93974996,0.9148863,0.7622641,0.93726796,0.2248272,0.48606017,0.89329416,0.0,0.36633697,0.3677285,0.9465524,0.9956779,0.47525272,0.43814072,0.7909105,0.28588042,1.6707218,0.85662496,0.04050583,0.77447015,0.029731585,0.9634192,0.70941675
annamovie,0.9791572,0.57937175,0.60549563,0.447941,0.50203055,0.3114874,0.607872,0.0,0.32748353,0.5048469,0.5569145,0.59222645,0.43653423,0.72434175,0.7445533,0.55828524,0.20516753,0.02346253,0.9017216,0.97392374,0.1866327,0.38733807,0.6093706,0.6268353,0.29703307,0.5814719,0.40521523,0.6239414,0.38748536,0.3788412,0.6147188,0.28780952,0.5226388,0.580595,0.0748788,0.25398466,0.1998882,0.42568046,0.5369217,0.23189773,0.21791607,0.5923645,0.11608758,0.7031282,0.6824532,0.29904613,0.37880665,0.055170633,0.63588935,0.3968709
apollo11movie,0.40029946,0.23241977,0.28387713,0.18686053,0.33478183,0.25164086,0.38505974,0.0,0.2722242,0.1914271,0.3550449,0.3016879,0.22670364,0.29053888,0.39401448,0.38787705,0.11277273,0.0,0.4997981,0.3199932,0.1958596,0.32821172,0.27214572,0.20897691,0.24130623,0.48878682,0.21361984,0.22776787,0.2459957,0.24414673,0.34644678,0.25214425,0.2035841,0.24725254,0.13289735,0.11961275,0.2284978,0.29115325,0.42342702,0.19927257,0.12843046,0.32259706,0.22270653,0.34379837,0.3616637,0.11756322,0.2934854,0.0,0.3274697,0.27607155
arcticdogsmovie,0.7153041,0.36234042,0.47373387,0.54647416,0.21785305,0.23318207,0.6605863,0.0,0.26674867,0.22865137,0.64710873,0.62087625,0.39097184,0.57373375,0.5226836,0.43968084,0.21870075,0.0,0.6789904,0.68000793,0.38760903,0.24755669,0.4159584,0.3790439,0.30340832,0.466337,0.52434707,0.2486497,0.15580781,0.31801987,0.43762267,0.26935795,0.5780127,0.4588949,0.22963583,0.10505296,0.28899863,0.33139235,0.7025183,0.42051914,0.28301525,0.4040751,0.29676485,0.6967925,0.61961335,0.16586298,0.34505892,0.0,0.52964604,0.45186383
arcticmovie,0.9540772,0.4111069,0.529219,0.48233578,0.36988485,0.4147065,0.7064089,0.0,0.28433183,0.25658253,0.49629414,0.702927,0.4633749,0.6318678,0.75073314,0.5597024,0.3392655,0.12455997,0.81482345,0.8747816,0.34439093,0.32855347,0.55635196,0.55529547,0.46281356,0.7340722,0.36369988,0.43635607,0.40251115,0.53752834,0.50097513,0.265429,0.5286021,0.5228018,0.0160005,0.118845776,0.34285364,0.43300006,0.498257,0.29030204,0.16451293,0.61287016,0.22075073,0.6671566,0.49882,0.20346802,0.5429083,0.0,0.59644383,0.29344887
artofracingmovie,0.7033128,0.33691835,0.44522497,0.37352234,0.4082999,0.27057603,0.7009689,0.0,0.33347133,0.26320052,0.47476447,0.4337077,0.28663474,0.52676135,0.40511668,0.54590833,0.15682639,0.06692079,0.6086059,0.61211514,0.24613924,0.3866358,0.32928425,0.47714534,0.335454,0.566028,0.43044728,0.24969773,0.19720095,0.34145075,0.46350512,0.37099576,0.38164595,0.37342805,0.18065181,0.14130849,0.12017138,0.39670745,0.5234159,0.19564417,0.13359474,0.43044496,0.22426564,0.54304695,0.564519,0.22161858,0.35503694,0.0,0.4799981,0.5034923
avengers,0.6907351,0.30707285,0.38300574,0.33789894,0.34889227,0.31191435,0.514771,0.0,0.30289653,0.25704,0.4797899,0.6646324,0.3141481,0.30367586,0.3466067,0.5180177,0.2725827,0.0,0.43779495,0.52657366,0.21231641,0.33863866,0.3958442,0.27334234,0.295963,0.4257509,0.22003433,0.40065545,0.20974934,0.33633006,0.4459561,0.28274968,0.18662047,0.44538242,0.06125433,0.05826965,0.33499414,0.35767564,0.37557903,0.30447325,0.34736675,0.46935883,0.19843292,0.49691156,0.46792382,0.24808732,0.3212264,0.011341715,0.5188222,0.31246153
beachbummovie,0.68649566,0.5498061,0.5465483,0.3460226,0.6137251,0.5905356,0.67543966,0.0,0.6194426,0.30356884,0.74290675,0.6847507,0.27695462,0.5509574,0.8217633,0.6652352,0.080646254,0.0,0.9683093,0.7021439,0.4602354,0.5522541,0.5929592,0.5703387,0.4626072,0.8100387,0.33698082,0.44716316,0.34847754,0.5116742,0.5856264,0.62592167,0.62336934,0.6067779,0.64879674,0.18085161,0.5510148,0.6134709,0.79602736,0.31002393,0.45724204,0.6642844,0.26963213,0.68872756,0.8539416,0.2273474,0.4091844,0.0,0.8728327,0.5008348
bernadettefilm,0.95280933,0.19535552,0.73876023,0.6129593,0.36582288,0.43322966,0.7108874,0.0,0.18113333,0.43283185,0.577404,0.6013313,0.37480488,0.8548342,0.5432321,0.8554262,0.4478493,0.24494801,0.75607306,0.7649446,0.42888987,0.33542472,0.3731068,0.40868947,0.54199797,0.7080394,0.3585313,0.45616513,0.42886165,0.56732565,0.51607734,0.37001485,0.6804096,0.39792764,0.4069474,0.23161703,0.42338762,0.6259552,0.6513977,0.39551565,0.44116247,0.72056854,0.47184315,0.7029642,0.3638113,0.22822085,0.7031603,0.0,0.559052,0.4911977
