movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.9650856,0.9064422,0.9295411,1.4297575,0.0,1.0651422,1.2673538,1.609835,1.4492613,1.003502,0.83394134,0.93428123,1.0653908,1.0083158,1.3689061,0.20751813,1.204514,1.2427602,0.10439521,0.0
47metersdown,0.08355893,1.1695055,0.66584027,0.5590719,0.0025293813,0.29489332,1.0473876,0.98293614,1.2168466,0.683784,0.9147959,0.57634896,0.8875951,0.3825661,1.580279,0.23777273,0.85327435,0.56301796,0.037079126,0.0
abeautifuldaymovie,1.1842666,0.8527403,0.66491824,0.9034507,0.26814064,1.1618593,1.0329571,1.1684796,1.1367841,0.6148051,0.82872236,0.7948548,1.3173888,0.4933986,1.116646,0.0,0.8631914,0.9462499,0.08074516,0.0
abominablemovie,0.34621507,0.4100626,1.3173828,0.3836841,0.018054578,0.40736312,0.859194,0.7953328,1.6497564,0.8556952,0.74016213,0.59724796,0.69158083,0.770496,1.0846632,1.1754816,0.614425,0.41378522,0.31622615,0.0
adastramovie,0.89146113,0.7490952,0.72247154,0.92165124,0.0,0.8036605,1.020273,1.2148519,1.1122044,1.3877261,1.0175812,1.0252485,1.0622264,0.83498275,0.7863339,0.0,1.2128396,0.92127186,0.0,0.0
adogsjourneymovie,0.14402415,0.14710513,1.1575743,0.031037949,0.867529,0.42087007,0.3760363,1.4934452,0.6118991,0.06619828,1.0346589,0.12734722,1.426334,0.47420675,2.0398335,0.0,0.6062204,0.0,0.0,0.0
aftermathmovie,1.0909351,0.8634755,0.4625218,0.95190054,0.0,0.97070247,0.99695814,1.446102,0.8986266,1.092009,0.67326987,0.9043417,1.1251857,0.64220405,0.6246926,0.044933103,0.9532777,1.248395,0.052991077,0.0
aftermovie,1.212067,1.1143674,0.64227045,1.2300904,0.106802285,1.3638219,1.347977,1.4204857,1.0120878,0.932034,0.8597704,1.0583651,1.1332675,0.4974872,0.7654543,0.03943149,1.2552111,1.0147936,0.09674773,0.0
ahiddenlifefilm,0.68635654,0.53382796,0.5213546,0.7510474,0.07011686,0.65498203,0.7042311,0.8863545,0.69919217,0.64927864,0.5098427,0.55492103,0.73756933,0.47798496,0.6208552,0.069291465,0.68532574,0.69149566,0.024227701,0.0
alitamovie,0.51065147,0.49284565,0.18333063,0.27591985,0.31441277,0.78895974,0.7470062,0.9517201,1.0337433,0.7800074,0.8128712,0.8370773,1.0009338,0.48783833,0.80361015,0.0,0.96295387,0.788246,0.35986423,0.0
