movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
amazinggracemov,0.20083229,0.3880269,0.59281135,0.8314454,0.0,0.17299134,0.25381824,0.21104228,0.9247236,0.28634444,0.113144904,0.31792605,0.0,0.062073037,0.26791912,0.6527325,1.0467896,0.019228924,0.22795588,0.45010185,0.31712413,0.16065499,0.0,0.56565875,0.4659244,0.18556379,0.7671829,0.97098625,0.22943617,0.97849405,0.53090006,0.0,0.1391631,0.20158286,0.0,0.0,0.40617314,0.74218833,0.7764298,0.8386116,0.0,0.6886793,0.015877955,1.1731871,0.0,0.6014209,0.09481342,0.36453694,0.28160158,0.32721382
angelhasfallen,0.45684317,0.46462253,0.54932415,0.7570297,0.13319805,0.44728735,0.55826014,0.34538695,0.6655017,0.29930672,0.55872846,0.24452561,0.5005028,0.51169384,0.55791986,0.49303672,0.88969094,0.5346711,0.5105799,0.37760547,0.29977506,0.7138108,0.4330144,0.6096293,0.40965915,0.5366532,0.61867434,0.43434456,0.6161709,0.70139676,0.8559201,0.0,0.39927453,0.20858674,0.0,0.49828026,0.8453018,0.7495278,0.8062078,0.82637453,0.0,0.4116076,0.48891875,0.9291128,0.0,0.7375133,0.0,0.3548442,0.81414413,0.16653498
angrybirdsmovie,0.68887615,0.17649066,1.3606838,1.1679058,0.2615034,0.8975816,0.874012,0.56241596,0.51345605,0.7974733,0.6026325,0.47015187,0.7809349,0.6221125,0.87012804,0.5759387,0.7071572,0.63947207,0.7371025,0.4173735,0.3953743,1.0062318,0.88906616,0.43937474,0.5257221,0.6862562,0.65087014,0.3709082,1.0318121,1.0072811,0.6755626,0.0,0.5992707,0.5009738,0.08186039,0.62368286,0.83048916,0.7607738,1.0614669,0.9847733,0.10572519,0.74947774,0.3758494,1.2474667,0.032648046,0.8670057,0.0,0.5584161,0.62062436,0.40417138
annabellemovie,0.7877126,0.5301993,0.8717012,1.4008762,0.5340317,0.6856278,1.1600287,0.117494404,1.1922548,0.7372742,0.71528,0.57448435,0.50243616,0.6129416,0.82718515,0.8409779,0.90261817,0.2717749,0.9497761,0.66607875,0.3040765,0.935049,0.62862986,1.0237702,0.96722347,0.7451442,1.1228261,0.5785843,0.74480027,1.2051157,1.0320874,0.0,0.5091993,0.31846845,0.0,0.74663997,0.9074286,1.0147864,1.018796,1.0273072,0.0,0.60129607,0.60073185,1.1273075,0.0,1.0364298,0.0,0.7284348,0.9032045,0.5894803
annamovie,0.5666611,0.27682287,0.6887733,0.69609094,0.2831802,0.46091825,0.4541594,0.27073917,0.39412874,0.23915422,0.49833962,0.10065968,0.42384967,0.2817713,0.4848983,0.42501247,0.82449776,0.33228934,0.59719944,0.37093946,0.30606133,0.6928651,0.38401276,0.32959187,0.43593943,0.5243968,0.6432866,0.35390586,0.57813597,0.823096,0.6966229,0.0,0.41698882,0.3468889,0.0,0.5066775,0.6577876,0.54868364,0.6646395,0.62099314,0.0,0.22449654,0.42989674,0.60646105,0.0,0.38823083,0.0,0.43908834,0.42490846,0.19875127
apollo11movie,0.16075295,0.14080301,0.40762296,0.38589817,0.08715913,0.0993277,0.2509671,0.09163891,0.3458721,0.15016645,0.23720664,0.17322683,0.24157597,0.1811187,0.2651416,0.30987734,0.41705176,0.10088178,0.2478678,0.18492964,0.23105241,0.24895287,0.1748541,0.18810621,0.3045036,0.24764962,0.24736881,0.34817022,0.26263988,0.3952541,0.3593502,0.0,0.30131865,0.12307114,0.0,0.18698165,0.25897017,0.30751276,0.34750304,0.40562552,0.0,0.3530672,0.2068604,0.3983493,0.0,0.2565816,0.0,0.2223251,0.2543447,0.11727293
arcticdogsmovie,0.41331863,0.21489775,0.5843837,0.49207735,0.052164674,0.25916728,0.47505158,0.012624411,0.42882764,0.23224944,0.15783992,0.03725034,0.26494533,0.27573094,0.4944677,0.5474648,0.6933904,0.18101402,0.42654622,0.28302625,0.2678193,0.5011325,0.38836583,0.24488378,0.3945332,0.37072286,0.3881359,0.37050316,0.41724005,0.5371174,0.49169898,0.056053452,0.40076882,0.19314675,0.0,0.47709188,0.5642219,0.5537581,0.5394913,0.40293616,0.0,0.42748508,0.2700908,0.707157,0.0,0.5810182,0.0,0.21960929,0.30678293,0.22382756
arcticmovie,0.48349962,0.45662013,0.577818,0.62406284,0.10917698,0.19610299,0.3521195,0.0630001,0.5104794,0.34451798,0.15149544,0.33129597,0.5601059,0.355549,0.3397538,0.53461844,0.7188629,0.47911036,0.44061044,0.32795012,0.37578183,0.5909936,0.32181796,0.65585124,0.4604361,0.25985798,0.6497702,0.44816163,0.516736,0.7563732,0.65315366,0.0,0.5165543,0.3251585,0.0,0.534141,0.83767396,0.524832,0.5959425,0.6950753,0.0,0.5145529,0.33909094,0.7098056,0.0,0.7501882,0.0,0.26343095,0.36547476,0.119798765
artofracingmovie,0.25340143,0.2802873,0.48747635,0.55496037,0.0,0.24158978,0.3801523,0.111561574,0.3848458,0.15018477,0.088864855,0.30635226,0.44958073,0.22167517,0.4306405,0.31651604,0.51881766,0.38344327,0.37683982,0.25264245,0.33032322,0.2508698,0.22991872,0.33568603,0.252827,0.27018324,0.34770977,0.377537,0.62787384,0.35456383,0.39321196,0.0,0.3236513,0.1509955,0.0,0.46021,0.3896003,0.47523403,0.48072675,0.27728775,0.0,0.2553469,0.07322749,0.64099,0.0,0.66792434,0.0,0.046018448,0.311415,0.0
avengers,0.25287616,0.31525466,0.55667883,0.54881185,0.07341472,0.29462284,0.147497,0.1600917,0.44793737,0.22216928,0.29317948,0.21183166,0.39777213,0.25497663,0.27819234,0.32377908,0.73571354,0.27547443,0.29044893,0.2722232,0.27577704,0.37385935,0.289823,0.31851524,0.3902094,0.29662997,0.43476003,0.39723366,0.3013185,0.62787694,0.44982648,0.0,0.34181848,0.30142212,0.0,0.20252086,0.52305907,0.3850445,0.4798724,0.47155192,0.0,0.31996375,0.3127113,0.6398128,0.0,0.6485491,0.0,0.067501396,0.25090057,0.12920527
beachbummovie,0.3239321,0.35474324,0.811748,0.88318956,0.24987881,0.22232872,0.3074652,0.18632323,0.71888983,0.12863024,0.30849722,0.22841239,0.5745718,0.3538726,0.53431606,0.3630128,0.923615,0.0,0.50816834,0.37289622,0.5031994,0.6999852,0.3719377,0.39876533,0.5096308,0.24069123,0.689938,0.49363515,0.583155,0.997126,0.7510253,0.03492462,0.59800106,0.641675,0.0,0.5265931,0.5839414,0.66297364,0.57273304,0.7292918,0.0,0.86255753,0.4107601,0.8616116,0.0,0.75267607,0.0,0.3187675,0.5812473,0.028195472
bernadettefilm,0.60743165,0.35090634,0.7425063,0.7107466,0.25559306,0.22140507,0.59587103,0.1522727,0.6134946,0.45611855,0.351168,0.37361145,0.5557637,0.37484014,0.27535957,0.40215346,0.7579288,0.26094458,0.41067353,0.087976545,0.4121328,0.49958837,0.4564498,0.44728202,0.38707426,0.5693379,0.47672397,0.43297952,0.5927926,0.7186353,0.78602284,0.13627186,0.56507295,0.21161285,0.0,0.38342568,0.631234,0.6193239,0.77085996,0.5761869,0.0,0.48243383,0.51973975,0.82100844,0.0054689916,0.49733302,0.0,0.31457216,0.41040534,0.14118333
blackandbluemovie,1.0537663,0.7710882,1.4615676,1.4155233,0.055196084,0.30188107,0.9645065,0.0,1.1128632,0.19407162,0.34711504,0.548706,0.648269,0.28014112,1.0221722,0.9423388,1.5900261,0.22091326,0.77391315,0.6107426,0.821765,0.8695577,0.7687749,0.5624094,0.5393767,0.4119868,0.9267345,0.4134024,0.9056346,1.3146477,1.3045187,0.24322505,0.8408581,0.20975177,0.0,1.0023347,0.95726615,1.1894952,1.1559324,1.1989765,0.0,1.0965987,0.29233742,1.4279854,0.0,1.3320792,0.0,0.45446795,0.50911516,0.31970552
blackchristmas,0.46565205,0.4365864,0.7856648,0.7955906,0.19969252,0.42258453,0.50022185,0.2176075,0.5774783,0.17975599,0.17939389,0.36307088,0.42196083,0.10936557,0.42195478,0.36912373,0.677606,0.21991238,0.41817883,0.3519182,0.48429006,0.42527685,0.4981036,0.41811103,0.4616698,0.48367086,0.55514437,0.47048163,0.7277334,0.5355548,0.6131257,0.0,0.49053118,0.23941937,0.0,0.56162447,0.4771984,0.5358592,0.63603806,0.5955781,0.0,0.5785186,0.20776013,0.64823544,0.0,0.5819753,0.0,0.1783181,0.52559257,0.101698875
blindedbythelightmovie,0.14659253,0.09763676,0.27162993,0.3635426,0.09758413,0.1708296,0.17058316,0.07382484,0.1697199,0.20320156,0.08152417,0.15470994,0.0828415,0.20033096,0.22229014,0.24713738,0.25709993,0.19733056,0.12514338,0.17045003,0.19489262,0.28190032,0.12264803,0.1609734,0.21094161,0.22840543,0.2651291,0.24484059,0.25959623,0.28084272,0.22064978,0.0,0.16538551,0.16317068,0.0,0.279988,0.32685786,0.26628318,0.29619834,0.3258393,0.0,0.2133455,0.1678182,0.3581217,0.0051995693,0.30520776,0.0,0.13814113,0.1553799,0.028421491
bombshellmovie,0.6806015,0.628303,0.8457403,1.1102674,0.052608117,0.65995795,0.60634524,0.07917091,0.7907298,0.24279943,0.30718994,0.5655743,0.67078334,0.3981342,0.25653723,0.7554138,1.0399995,0.19913273,0.38577226,0.4364887,0.63533163,0.5505889,0.5615461,0.41917944,0.56010556,0.5030772,1.2355405,0.38370973,0.7040416,0.8496433,0.445453,0.0,0.6625653,0.43779758,0.0,0.5776222,0.7098779,0.9064012,0.9374231,0.9146308,0.0,0.35577527,0.3127938,0.84444475,0.0,0.98454744,0.0,0.38670748,0.46009985,0.12635289
booksmart,0.28074765,0.0,0.07488519,0.0,0.0,0.05709503,0.0,0.13351989,0.0,0.0066004917,0.04799297,0.17483243,0.0,0.038631298,0.0,0.31834632,0.14849383,0.16733043,0.0,0.0,0.0,0.2718178,0.0,0.0,0.07914486,0.07710422,0.17233028,0.26719376,0.0,0.0,0.2948194,0.0,0.0253248,0.14868492,0.0,0.0,0.45975593,0.28730437,0.0,0.18971907,0.103032075,0.22660443,0.0,0.11117925,0.0,0.009837456,0.0,0.2524675,0.20067199,0.0
breakthroughmovie,0.7790023,0.161413,1.5272214,1.2186159,0.08152874,0.46292996,1.0052239,0.0,1.1304034,0.4653255,0.33688238,0.6027719,0.69553256,0.37028977,0.8263472,0.91698587,1.240484,0.68099844,0.44952422,0.35483426,0.7027798,0.8816487,0.5171892,0.27556616,0.58414537,0.5087404,0.6359731,0.6752153,0.57284856,0.96518284,0.6890445,0.0,0.81343496,0.50939107,0.0,1.0642724,1.1899033,1.159006,1.0915183,0.57401156,0.0,0.7415123,0.23966876,1.462871,0.0,1.1326494,0.0041376306,0.06407218,0.16070427,0.30195302
brianbanksmovie,0.8822738,0.6281439,0.8645568,0.89984435,0.23173876,0.2126895,0.45578015,0.2093252,0.8088425,0.4936016,0.3081401,0.5862667,0.847676,0.35086635,0.86714447,0.81242645,1.1333914,0.79629356,0.7105933,0.2973823,0.5611759,0.99124616,0.20895776,0.98096806,0.64440745,0.72593796,1.0172079,0.8572442,0.9415124,1.1310556,0.70666,0.0,0.37911868,0.78060126,0.0,0.985751,1.2111803,0.7131288,1.0094831,1.0982838,0.0,0.59376323,0.4882465,1.0061592,0.17348081,1.2416322,0.0,0.5412082,0.4603327,0.31925252
brightburnmovie,0.4998918,0.3349628,0.6536655,0.64887923,0.028597618,0.31047565,0.6521724,0.13393009,0.6112887,0.3536103,0.31299657,0.20458874,0.5331902,0.2633577,0.45960164,0.545344,0.7414848,0.16504659,0.61222446,0.18563244,0.30039582,0.59847313,0.36909008,0.43816888,0.54196036,0.41790724,0.68197626,0.20460656,0.6763583,0.71280956,0.6678853,0.0,0.5171745,0.4199925,0.0,0.53360456,0.6836906,0.71966517,0.7733128,0.85212374,0.0,0.53871363,0.32312205,0.8553227,0.0,0.694477,0.0,0.3814671,0.3224918,0.19449365
brittanyrunsmov,0.34173372,0.19846654,0.27422857,0.5406591,0.102647364,0.2139567,0.31663096,0.035629783,0.27217793,0.1388793,0.13827991,0.2636287,0.23952992,0.22300941,0.36485118,0.27955782,0.3201971,0.08588539,0.37953475,0.28290528,0.27171063,0.29455414,0.237845,0.35943902,0.27172965,0.11376343,0.36474192,0.16387363,0.36234686,0.28331646,0.3964175,0.0,0.31878534,0.18111812,0.0,0.35494792,0.4326143,0.30441922,0.30832893,0.30237272,0.0,0.20921865,0.19382599,0.40127638,0.0,0.44089824,0.0,0.17909174,0.25681573,0.15079872
captainmarvelofficial,0.50328374,0.28863993,0.61157984,0.5146288,0.03247308,0.23539773,0.1476531,0.17093265,0.55712956,0.21113291,0.39753953,0.43144166,0.48197427,0.29559302,0.6252685,0.47278345,1.0681581,0.2215467,0.3821008,0.37005985,0.4470874,0.65576965,0.46557024,0.1965112,0.31986862,0.35418302,0.7436639,0.46463194,0.19869448,0.8756916,0.5395194,0.02137596,0.34561744,0.56113183,0.0,0.40767702,0.74911636,0.3613292,0.6566671,0.6878537,0.0,0.39251626,0.29847193,0.76458573,0.0,0.71328264,0.0,0.14201018,0.38033077,0.25538334
captivestatemovie,0.48565546,0.5671854,1.0923675,0.91730034,0.059696637,0.39249387,0.86701196,0.08760006,0.82058764,0.31250077,0.15529528,0.34863797,0.5274784,0.5466206,0.65362716,0.5254507,1.1081023,0.32013112,0.3832646,0.44876906,0.43342763,0.46463996,0.2625568,0.7412493,0.4069827,0.33880997,0.68536824,0.64195156,0.5767143,1.0267563,0.9826164,0.0,0.5886645,0.36125162,0.0,0.6859149,0.7995645,0.6780761,0.6285969,0.98060274,0.0,0.34903967,0.5735834,1.1112636,0.0,1.0519869,0.059852563,0.43538862,0.37078136,0.1244044
catsmovie,0.6940063,0.41137677,1.0726798,1.01386,0.4115942,0.36894047,0.8057987,0.009331446,0.89855975,0.23585445,0.24431801,0.6802189,0.76760626,0.097463034,0.7992599,0.6701554,0.8540187,0.2388268,0.81311613,0.60700566,0.6381911,0.6034402,0.43148288,0.53833324,0.71214694,0.5847813,0.5590519,0.74950224,0.73537946,0.69513994,0.94028366,0.0,0.5855205,0.099052206,0.0,0.7476973,0.8156993,0.7648854,0.5455495,0.59284425,0.0,0.5306791,0.36826295,0.9323406,0.0,0.6574098,0.0,0.27612355,0.7635631,0.25096813
charliesangels,0.6437056,0.4247091,1.0319848,1.1858505,0.015464827,0.22941515,0.99648046,0.15687543,0.8658851,0.60042703,0.34097698,0.3851699,0.9264456,0.20392226,0.4831064,0.9905622,1.1246517,0.43641183,0.8646247,0.49385124,0.49764997,0.97516954,0.3212808,0.58097124,1.1309704,1.1428397,0.884119,0.585274,1.0657223,1.2630274,0.53259635,0.0,0.9158508,0.67749727,0.0,0.9670222,0.8539245,0.7827198,0.8783102,1.093741,0.0,0.53084743,0.021741126,1.2845379,0.0,1.1408161,0.0,0.8439696,0.27664936,0.6168122
