movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
amazinggracemov,0.5575821,0.42929423,0.019093674,0.65842813,0.21384455,0.0,0.114667945,0.5815073,0.20228586,0.3224838,0.24433373,0.5168385,0.6471232,0.31511557,0.013415069,0.13638003,0.54893136,0.9062955,0.0,0.53889215,0.48018616,0.0,0.06186626,0.0,0.4315783,0.12670036,0.9295984,0.16621356,0.21065024,0.10223549,0.0,0.6105095,0.4596452,0.19327274,0.24560545,0.06056144,0.36385423,0.9071115,0.30725506,0.41735223,0.30853024,0.2726052,0.25618225,0.0,0.14172432,0.061018623,0.28889906,0.5213745,0.0,0.31212983,0.0,0.12045578,0.2740436,0.0,0.27652684,0.19368505,0.0,0.0,0.0,0.5578658,0.0,0.16172823,0.40530783,0.38726085,0.00074682385,0.465718,0.26682666,0.20001815,0.51870537,0.783278,0.0,0.72551566,0.5123324,0.33754048,0.2153017,0.19766892,0.0,0.29664135,0.1633581,0.86973625,0.5898095,0.0,0.59646237,0.31785578,0.0,0.043732602,0.29182002,0.0,0.11403155,0.6235766,0.0,0.17423676,0.14892869,0.7061257,0.0,0.17907873,0.20959422,0.20094606,0.0,0.39305484
angelhasfallen,0.5408921,0.4512925,0.07801269,0.6817268,0.4140982,0.0,0.37186158,0.47746047,0.58945656,0.38685524,0.6100614,0.06508683,0.48694676,0.64293915,0.32102272,0.29404768,0.7043707,0.7955083,0.36613795,0.5212115,0.7480608,0.0,0.2507184,0.0,0.5651104,0.013631061,0.87651163,0.66442853,0.4945414,0.6786004,0.0,0.3157001,0.55663663,0.33217233,0.5032257,0.036036793,0.46574023,0.6389192,0.4285091,0.33211556,0.3316737,0.45732406,0.2609566,0.0,0.5707312,0.5277069,0.39988726,0.7107011,0.0,0.76216924,0.21452087,0.06264091,0.44927347,0.0,0.29066703,0.56422156,0.0,0.20798486,0.09022265,0.3063738,0.0,0.45034114,0.4540865,0.32811153,0.16679299,0.7416931,0.50413215,0.42075956,0.5917711,0.49361548,0.0,0.40813148,0.45704073,0.6411303,0.56768835,0.49266505,0.3392259,0.5271509,0.017732032,0.6543597,0.56888056,0.0,0.38404906,0.6458682,0.6604671,0.35636142,0.55349535,0.0,0.29265594,0.2751117,0.0,0.29332936,0.119093224,0.5142478,0.16525611,0.346865,0.26225322,0.6094068,0.67454493,0.32690752
angrybirdsmovie,0.60544264,0.39477372,0.0,0.77258366,0.33300546,0.0,0.8631726,0.6935909,0.76335377,0.5716496,0.44340762,0.13901345,0.6681452,0.5779614,0.5185291,0.31682363,1.0080142,1.0784295,0.23548357,0.5852212,1.0147862,0.0,0.5316457,0.0,0.49727145,0.37216967,0.9639929,0.9782092,0.5938183,0.7438011,0.0,0.9967967,0.67553085,0.2545166,0.37907133,0.07549463,0.689132,0.83952755,0.6590875,0.8882658,0.60469633,0.5829601,0.0,0.0,0.96943545,0.64659125,0.6252579,0.83689284,0.0,0.7280371,0.52991277,0.105823874,0.9409672,0.0,0.8027785,0.65311235,0.0,0.37826812,0.005613648,0.7210807,0.0,0.64428854,0.6328959,0.38657415,0.36426735,0.78178006,0.8118179,0.57972836,0.2868547,0.9054404,0.09623773,0.51759917,0.67637086,0.52545744,0.74752724,0.26088294,0.17681098,0.83027136,0.2333403,0.79983747,0.9009081,0.010900719,0.24816078,0.8372154,0.56809497,0.6271544,0.855124,0.0,0.606216,0.117955625,0.0,0.59685564,0.36822802,0.4862007,0.19232401,0.38154155,0.33355182,0.7306042,0.56210005,0.6119408
annabellemovie,0.87582237,0.5233132,0.0,0.7931851,0.44387358,0.021610217,0.478185,0.4870088,0.8839254,0.9593232,0.40365073,0.21978323,0.42678046,0.6991719,0.64505947,0.14865945,0.6808482,0.923352,0.66266465,0.75048107,0.9367217,0.14973101,0.6928658,0.0,0.8491854,0.32149366,1.15866,0.55193806,0.41707528,0.59645754,0.0,0.57842636,0.6223812,0.20333472,0.63240814,0.0,0.73268026,0.49425632,0.6897054,0.55999184,0.5082342,0.56559575,0.5017741,0.0,0.69871795,0.7676111,0.7177866,0.6478016,0.0,0.73280764,0.30941996,0.26919946,0.66514343,0.0,0.6596237,0.39455265,0.0,0.24596012,0.0,0.6231011,0.0,0.6676731,0.68169963,0.25074255,0.5248384,0.8765985,0.37184054,0.45460954,0.6053575,0.7165485,0.0,0.7438878,0.5343982,0.32802215,0.91148835,0.3378866,0.5771853,0.5600428,0.57435614,0.5922331,0.6465475,0.0,0.46439284,0.7867955,1.0029346,0.58461493,0.65076685,0.0,0.7386335,0.17039524,0.0,0.34237984,0.46167904,0.60594696,0.36351323,0.43263787,0.0838174,0.5782053,0.6679177,0.48639417
annamovie,0.39023447,0.45819917,0.029872276,0.6131737,0.32236338,0.0,0.49486583,0.40611643,0.6117414,0.6084445,0.48799786,0.115522005,0.4426466,0.58088166,0.24750036,0.15919128,0.6041717,0.75261253,0.49576387,0.6246643,0.68169063,0.0,0.39001295,0.0,0.4260385,0.14210357,0.68263763,0.37873334,0.5720383,0.38554934,0.0,0.6915759,0.623546,0.42082095,0.2905002,0.0,0.6020994,0.54486793,0.6471829,0.22397703,0.44854677,0.3403948,0.20080595,0.0,0.51440835,0.28960484,0.50862426,0.5773371,0.0,0.42420483,0.2917377,0.0,0.26123485,0.0,0.61220175,0.44050106,0.0,0.30652094,0.17663473,0.4377953,0.0,0.35163164,0.40016565,0.38351017,0.30299705,0.69577765,0.32135117,0.42862865,0.32407573,0.328261,0.0,0.36080143,0.48981202,0.4129706,0.55796874,0.27632824,0.19861373,0.31501666,0.24886057,0.5607861,0.55064285,0.0,0.19527271,0.55878603,0.30314878,0.54675907,0.591944,0.0,0.46441785,0.42958155,0.0,0.31203854,0.19100758,0.5490073,0.21116523,0.45477706,0.36399615,0.6323105,0.22831847,0.30652866
apollo11movie,0.22195712,0.3465667,0.0,0.34707963,0.13212502,0.0,0.20246005,0.1664983,0.31457344,0.31964874,0.22318909,0.0,0.19100474,0.23060064,0.21944547,0.037348207,0.2371527,0.44917637,0.26703218,0.25471315,0.3603699,0.0,0.3047313,0.0,0.32983688,0.11132937,0.341628,0.25830615,0.1594809,0.23192021,0.0,0.24472705,0.3135294,0.06695178,0.2523614,0.0,0.2796597,0.27851054,0.3133168,0.22724305,0.24947904,0.21116081,0.04964879,0.0,0.31940693,0.18502696,0.18131296,0.31119633,0.0,0.24005102,0.10503736,0.039605983,0.31629956,0.0,0.284947,0.28060496,0.0,0.14504509,0.0,0.33825755,0.0,0.26764345,0.29210594,0.14893347,0.24856108,0.39114204,0.27205798,0.22740933,0.19509068,0.23191571,0.0,0.24757421,0.21917465,0.2073602,0.23724964,0.14163578,0.2045919,0.2942836,0.18853314,0.24988294,0.29200637,0.0,0.22245467,0.28618234,0.29920205,0.36532623,0.27388215,0.0,0.24986604,0.30432975,0.0,0.24341682,0.11488716,0.35054374,0.15166938,0.21490088,0.11398787,0.25739408,0.17653666,0.19597965
arcticdogsmovie,0.3247721,0.55891824,0.0,0.6291199,0.49294534,0.021289216,0.4387638,0.3124582,0.49590126,0.5251116,0.46344027,0.075034685,0.62053895,0.42280197,0.4631743,0.30578542,0.4890288,0.54060274,0.32110572,0.5222668,0.5718329,0.0,0.43972966,0.0,0.383425,0.006434994,0.5953597,0.37322366,0.37963945,0.5419684,0.0,0.4513676,0.44713667,0.2748811,0.389649,0.09101322,0.4577885,0.40459496,0.44782287,0.47840747,0.369204,0.3701336,0.23933722,0.0,0.5084842,0.042181592,0.47146773,0.3088795,0.0,0.34071404,0.24780717,0.049122907,0.393604,0.0,0.4700184,0.4198881,0.0,0.16406068,0.17224252,0.26556933,0.0,0.5298701,0.14187299,0.34693915,0.26735967,0.72310007,0.4401981,0.31866422,0.3100055,0.5764747,0.0,0.32064894,0.41420826,0.30757943,0.45215863,0.14714003,0.3643054,0.5740548,0.40759683,0.7022025,0.48780167,0.0,0.041106112,0.65381575,0.34131557,0.47693962,0.47263277,0.0,0.29033014,0.097016126,0.0,0.2768144,0.14773974,0.5514371,0.17196594,0.5218346,0.25306705,0.44960812,0.32747957,0.13890496
arcticmovie,0.33773136,0.5213309,0.0,0.4020999,0.29729635,0.0,0.5268397,0.2738163,0.4325244,0.5520228,0.55839443,0.005542783,0.2917046,0.47121406,0.40830556,0.119079866,0.5854689,0.46023324,0.4816018,0.49172157,0.53489834,0.0,0.38023502,0.0,0.4976887,0.12733941,0.671298,0.42556876,0.33927065,0.5056455,0.0,0.34686762,0.40694007,0.14624856,0.39698747,0.17045338,0.35251725,0.53529066,0.51056564,0.34810752,0.3253149,0.47160918,0.11778258,0.0,0.50381327,0.25976247,0.30061507,0.55199254,0.0,0.34535527,0.2310569,0.1303619,0.39639503,0.0,0.38795382,0.46457013,0.0,0.07357561,0.0,0.45306933,0.0,0.49932003,0.5266821,0.31809884,0.20236573,0.42777815,0.41766125,0.2692471,0.16290715,0.37237844,0.15108168,0.33803377,0.3897629,0.3002372,0.49197462,0.11601262,0.4111382,0.51823854,0.20579468,0.20840895,0.58757836,0.0,0.3437219,0.5813167,0.44156164,0.63131076,0.47840616,0.0,0.40963653,0.16502266,0.0,0.30996367,0.29116946,0.58246404,0.29177555,0.26224053,0.13954282,0.5261204,0.38535845,0.23540595
artofracingmovie,0.31206062,0.42221916,0.0,0.43337375,0.17667243,0.09520385,0.15682039,0.34755164,0.42501166,0.46516216,0.32825032,0.08656672,0.3217291,0.2278595,0.35883424,0.08814044,0.3095054,0.4774848,0.39163697,0.31914127,0.36802733,0.031590234,0.4002615,0.0,0.3702808,0.018658876,0.3989897,0.29437542,0.28460717,0.22958,0.0,0.42220035,0.30711815,0.15272193,0.1923038,0.111098275,0.2530744,0.39096358,0.35763636,0.36212152,0.25431988,0.078297466,0.09295615,0.0,0.36296877,0.26893938,0.22714181,0.46173215,0.0,0.3143665,0.005924806,0.14879306,0.34539062,0.0,0.32716036,0.38921234,0.0,0.09534752,0.08030052,0.30812815,0.0,0.34987536,0.21957844,0.14589718,0.18576612,0.40365425,0.1419614,0.23868631,0.25092208,0.26483673,0.0,0.4201553,0.44052124,0.3352571,0.31452978,0.15835638,0.16346966,0.33464655,0.18801141,0.29283607,0.27773792,0.0,0.21151838,0.4182639,0.30616012,0.3336008,0.3285802,0.0,0.31729504,0.30918235,0.0,0.16922632,0.052838415,0.34985268,0.17186031,0.19990796,0.09121496,0.51606536,0.19280289,0.24752975
avengers,0.34991884,0.4564267,0.0,0.45949864,0.31230146,0.005307434,0.3075632,0.33820757,0.4057739,0.2767392,0.28147942,0.092013545,0.42430237,0.5144906,0.17570773,0.06912052,0.37587076,0.5622325,0.31333354,0.5266798,0.5544532,0.0,0.37412658,0.0,0.29042497,0.107869394,0.62192965,0.18208078,0.31411892,0.40192717,0.0,0.28862134,0.31672156,0.037416708,0.49245912,0.067066416,0.35566443,0.3086101,0.26239043,0.27321666,0.3017625,0.365073,0.09031932,0.0,0.4151538,0.15723422,0.45474643,0.36577362,0.0,0.31557298,0.21397193,0.1900831,0.32507545,0.0,0.2941684,0.3775716,0.0,0.012451548,0.07008263,0.15168603,0.0,0.30670375,0.3313229,0.22396956,0.24418889,0.45676908,0.47968712,0.3639861,0.25966236,0.3724796,0.0,0.47454417,0.28414714,0.2664171,0.29238048,0.38445938,0.3135114,0.45665482,0.17888953,0.3711264,0.44351697,0.0,0.27613318,0.5600945,0.28720838,0.32294145,0.31685755,0.0,0.2623027,0.200049,0.0,0.12840773,0.13131748,0.51688606,0.2775442,0.18656564,0.05178193,0.3851131,0.33678418,0.21968752
