Unnamed: 0,Distance_x,Distance_y,Distance
100-10dim,155.49184691343902,146.35553905699751,155.49184691343902
100-20dim,153.9708764429943,154.20797093191769,153.9708764429943
100-30dim,153.73150773473338,153.1289409378189,153.73150773473338
100-40dim,152.84833051690032,151.42667128383118,152.84833051690032
100-50dim,152.18775751582496,151.62604601961002,152.18775751582496
20-10dim,153.0879002944064,151.98018216369942,153.0879002944064
30-10dim,152.85813508205482,149.71654079975667,152.85813508205482
30-20dim,152.53645869716618,152.35978953171542,152.53645869716618
40-10dim,148.97362452411738,148.18781913970713,148.97362452411738
40-20dim,143.30158570398459,152.68695789249827,143.30158570398459
40-30dim,144.73415522249766,146.6624995026076,144.73415522249766
50-10dim,147.76289228762155,154.45319486382627,147.76289228762155
50-20dim,145.93446472273476,145.33704518482017,145.93446472273476
50-30dim,152.74215219843563,144.64804496491502,152.74215219843563
50-40dim,151.32193219643258,143.10244151773063,151.32193219643258
60-10dim,149.26850947879447,143.167184724215,149.26850947879447
60-20dim,146.22646636286404,151.55245796102713,146.22646636286404
60-30dim,153.46824220960542,153.27314337129548,153.46824220960542
60-40dim,152.039535636828,150.57688722484627,152.039535636828
60-50dim,151.45533491841385,146.8817599255686,151.45533491841385
70-10dim,143.6516292698789,144.89008871580162,143.6516292698789
70-20dim,151.67663363690497,154.58507020521455,151.67663363690497
70-30dim,143.36904161516068,151.04294840135177,143.36904161516068
70-40dim,149.92903969348794,150.86439890846574,149.92903969348794
70-50dim,152.05757815415149,151.37660138919532,152.05757815415149
80-10dim,140.98962905622628,155.59005365094137,140.98962905622628
80-20dim,151.5099655731764,154.90930315162083,151.5099655731764
80-30dim,150.2628671466002,151.8953791148692,150.2628671466002
80-40dim,152.0072413154187,153.5536342833046,152.0072413154187
80-50dim,151.38248131352492,151.50016269147983,151.38248131352492
90-10dim,145.24238398933062,152.33803668894626,145.24238398933062
90-20dim,152.736309196763,141.78769249328556,152.736309196763
90-30dim,152.59031025010285,153.3743081095234,152.59031025010285
90-40dim,151.98882152646766,151.48153462858514,151.98882152646766
90-50dim,151.0688099206622,152.0587143436268,151.0688099206622
10-5dim,,140.21591069436045,140.21591069436045
100-15dim,,154.87761849659012,154.87761849659012
100-25dim,,152.98378976394199,152.98378976394199
100-35dim,,151.85166464892686,151.85166464892686
100-45dim,,151.9095949926583,151.9095949926583
100-5dim,,151.9978139486411,151.9978139486411
20-15dim,,148.8943549780939,148.8943549780939
20-5dim,,157.36903601277217,157.36903601277217
30-15dim,,146.32359132732114,146.32359132732114
30-25dim,,151.84834318552012,151.84834318552012
30-5dim,,150.09636289628858,150.09636289628858
40-15dim,,149.12852462792722,149.12852462792722
40-25dim,,150.38969130781456,150.38969130781456
40-35dim,,149.3451827330165,149.3451827330165
40-5dim,,147.99729802733586,147.99729802733586
50-15dim,,148.05667940258508,148.05667940258508
50-25dim,,145.25879785338492,145.25879785338492
50-35dim,,151.231092523717,151.231092523717
50-45dim,,148.3440989442512,148.3440989442512
50-5dim,,146.78773815309938,146.78773815309938
60-15dim,,153.0310415440515,153.0310415440515
60-25dim,,151.60389137814832,151.60389137814832
60-35dim,,145.47831584573737,145.47831584573737
60-45dim,,151.63123069950018,151.63123069950018
60-5dim,,141.9537218518569,141.9537218518569
70-15dim,,154.66765116981918,154.66765116981918
70-25dim,,153.77689941909046,153.77689941909046
70-35dim,,150.34130915776538,150.34130915776538
70-45dim,,152.45960508926447,152.45960508926447
70-5dim,,152.6075410453689,152.6075410453689
80-15dim,,141.0221170497197,141.0221170497197
80-25dim,,151.08826662380494,151.08826662380494
80-35dim,,151.98934552390233,151.98934552390233
80-45dim,,152.47756091713458,152.47756091713458
80-5dim,,146.9585113911551,146.9585113911551
90-15dim,,153.69801534055108,153.69801534055108
90-25dim,,153.4542041699019,153.4542041699019
90-35dim,,151.14986516478737,151.14986516478737
90-45dim,,152.913141916422,152.913141916422
90-5dim,,157.12850542954226,157.12850542954226
