,Distance
270-100dim,154.6009675361017
270-10dim,156.23683857729276
270-110dim,153.45260081123186
270-120dim,154.01592769185422
270-130dim,153.8177866951024
270-140dim,153.81356642389602
270-150dim,154.13457935618305
270-160dim,154.06331638846035
270-170dim,154.03968381881424
270-180dim,154.35751291870127
270-190dim,153.47034524851685
270-200dim,154.03694960818714
270-20dim,156.2157439625234
270-210dim,153.82736517884857
270-220dim,153.71530341211897
270-230dim,153.30135550401042
270-240dim,152.87133908461132
270-250dim,153.349673195539
270-260dim,153.23224760047765
270-30dim,156.28895839878268
270-40dim,155.84183928863973
270-50dim,155.23069544016903
270-60dim,155.18749558388203
270-70dim,154.8075466586335
270-80dim,154.73435214038727
270-90dim,155.11588560945302
280-100dim,155.2357019369219
280-10dim,157.9816454073985
280-110dim,153.39982069518393
280-120dim,154.44064667994232
280-130dim,154.39761447663992
280-140dim,153.25008358997437
280-150dim,154.30804111652986
280-160dim,153.6261338221902
280-170dim,153.8080741942613
280-180dim,153.9523251197049
280-190dim,153.78151736347687
280-200dim,152.54938755594802
280-20dim,156.85589054630296
280-210dim,153.7634912651633
280-220dim,153.58389317342673
280-230dim,153.17960651229663
280-240dim,153.62738129804555
280-250dim,153.51035000320252
280-260dim,153.2908159514029
280-270dim,153.74369816280762
280-30dim,156.64842413605876
280-40dim,155.4473962499979
280-50dim,155.50075704575053
280-60dim,155.13009054711122
280-70dim,155.1067734919027
280-80dim,155.37273289099704
280-90dim,154.31441024958585
290-100dim,154.32706406688368
290-10dim,157.32203459676055
290-110dim,154.7732431089121
290-120dim,153.9187504871712
290-130dim,153.77110127396804
290-140dim,154.68828397287726
290-150dim,154.26058063070548
290-160dim,154.43515641798214
290-170dim,153.5719642780322
290-180dim,153.24540678029754
290-190dim,153.73439276181682
290-200dim,154.0472435897155
290-20dim,157.71185816349185
290-210dim,153.67579527238195
290-220dim,153.24834045866723
290-230dim,153.20102369676832
290-240dim,153.911004863049
290-250dim,152.92683939378088
290-260dim,153.3254810005892
290-270dim,153.173775751817
290-280dim,153.58386793027364
290-30dim,155.20829165473538
290-40dim,156.15371137497252
290-50dim,155.2488426670682
290-60dim,155.95603357338243
290-70dim,155.34523932744557
290-80dim,155.70486935819912
290-90dim,154.57133860291714
30-10dim,152.85813508205482
30-20dim,152.5364586971662
300-100dim,153.8179559359169
300-10dim,155.51058480343104
300-110dim,154.6017251235093
300-120dim,154.7126211921666
300-130dim,154.41027131544107
300-140dim,154.67637864798976
300-150dim,153.97286042712432
300-160dim,154.58321435887564
300-170dim,154.62985616714838
300-180dim,153.66941858630346
300-190dim,153.78588664902801
300-200dim,154.0864299955681
300-20dim,157.3972091378388
300-210dim,153.13717445666887
300-220dim,153.2008499390321
300-230dim,154.12813279266652
300-240dim,154.01255814411795
300-250dim,153.63106282374815
300-260dim,153.91072971829408
300-270dim,153.61577735067755
300-280dim,152.97972837373823
300-290dim,153.19179583195574
300-30dim,156.2115309328796
300-40dim,155.69623039556618
300-50dim,155.32005725195043
300-60dim,154.66541590489044
300-70dim,155.00608161665025
300-80dim,155.77472091724857
300-90dim,154.05264809499516
310-100dim,155.2557773421377
310-10dim,157.3093639644897
310-110dim,155.28086953967536
310-120dim,155.13014112509495
310-130dim,154.4889619679214
310-140dim,154.46494269033934
310-150dim,154.44439960269435
310-160dim,154.02518113516925
310-170dim,154.25021204156033
310-180dim,154.22156782718204
310-190dim,153.9938666013632
310-200dim,153.44032523625904
310-20dim,157.1293774432388
310-210dim,154.36279784306603
310-220dim,153.69435378378267
310-230dim,153.0731818410368
310-240dim,153.40542722326626
310-250dim,153.95292609953626
310-260dim,153.937998928168
310-270dim,153.65261820319225
310-280dim,153.22720634876995
310-290dim,153.54010797878587
310-300dim,153.31497927632216
310-30dim,155.83921602543464
310-40dim,155.40055624178325
310-50dim,155.64620998441242
310-60dim,155.3253748381742
310-70dim,155.48196729950604
310-80dim,154.55504120456888
310-90dim,154.84948674960162
320-100dim,154.2878174579849
320-10dim,156.033790644303
320-110dim,154.95204816583936
320-120dim,154.97032733449691
320-130dim,154.82318091764924
320-140dim,155.00494977314972
320-150dim,153.7976429508925
320-160dim,154.67951286501966
320-170dim,153.43977337533542
320-180dim,153.48224991009727
320-190dim,154.01213560917694
320-200dim,154.23780572036495
320-20dim,157.76263384887153
320-210dim,153.86330924393022
320-220dim,153.95920509016509
320-230dim,153.82179166041055
320-240dim,153.2948348644047
320-250dim,153.63436751049625
320-260dim,154.0967161738121
320-270dim,153.88914984491143
320-280dim,153.71263879385722
320-290dim,153.76450315951828
320-300dim,153.71726211592426
320-30dim,157.0892939828056
320-310dim,154.17405013674323
320-40dim,156.38219943147945
320-50dim,156.03112557383673
320-60dim,155.29706622589333
320-70dim,155.34432117477806
320-80dim,155.7120883044899
320-90dim,155.3739863107788
330-100dim,154.8647660094242
330-10dim,158.12105134524344
330-110dim,154.86440602755002
330-120dim,155.01263624113247
330-130dim,155.17571217879416
330-140dim,153.47220271564439
330-150dim,154.3662121558262
330-160dim,154.62125786168895
330-170dim,155.2042422166294
330-180dim,153.73157930871622
330-190dim,154.12984323361977
330-200dim,154.29493726450826
330-20dim,155.9269226967132
330-210dim,154.15527127354625
330-220dim,153.65210749343873
330-230dim,153.50988014750965
330-240dim,154.14070633571555
330-250dim,154.1714639232409
330-260dim,153.48990430351668
330-270dim,153.5759235274215
330-280dim,153.9834161673275
330-290dim,153.4936047598747
330-300dim,153.68279209073478
330-30dim,156.94952954477645
330-310dim,154.28991157987676
330-320dim,153.84924375441392
330-40dim,156.79547757053098
330-50dim,155.7386713260355
330-60dim,155.87183204409186
330-70dim,155.59925462735515
330-80dim,155.52430204210137
330-90dim,155.99533945628514
340-100dim,154.70024768210686
340-10dim,155.9248916862794
340-110dim,154.8117892420451
340-120dim,154.91116934808377
340-130dim,155.20757156170808
340-140dim,155.02482699634984
340-150dim,154.6073390081799
340-160dim,154.36571641579116
340-170dim,153.97531868399597
340-180dim,154.51584615236118
340-190dim,154.62972812571996
340-200dim,154.00386005665732
340-20dim,157.5867816428204
340-210dim,154.55513805952143
340-220dim,154.27644075977196
340-230dim,154.5372232195953
340-240dim,154.19289588853374
340-250dim,153.9097730226351
340-260dim,153.8064697990143
340-270dim,153.84291758457525
340-280dim,154.21828548078062
340-290dim,154.13007861519966
340-300dim,153.82663461511103
340-30dim,156.48863965953262
340-310dim,153.83365764090595
340-320dim,153.83147814846947
340-330dim,153.5750487602617
340-40dim,156.0376176062269
340-50dim,156.64601322807772
340-60dim,156.1003076883247
340-70dim,155.5216621006032
340-80dim,156.3578711540578
340-90dim,155.68324628571273
350-100dim,155.61581584931642
350-10dim,158.58485330267413
350-110dim,155.07525342696334
350-120dim,154.73416335539395
350-130dim,155.45369279116863
350-140dim,154.36811013351266
350-150dim,154.75068556067424
350-160dim,154.41305482141593
350-170dim,155.23870432635465
350-180dim,154.1779351889958
350-190dim,154.46096678783536
350-200dim,154.10882889412997
350-20dim,157.0541054631528
350-210dim,154.5418229468359
350-220dim,154.31326066513063
350-230dim,154.67076197568147
350-240dim,154.0278300379152
350-250dim,154.22887264275656
350-260dim,154.44903668121847
350-270dim,153.94707286979718
350-280dim,153.68713874568155
350-290dim,154.28361838415225
350-300dim,154.31863855246365
350-30dim,156.52899144631436
350-310dim,153.6485666047374
350-320dim,154.26569439044036
350-330dim,153.48682009552047
350-340dim,153.92025461746604
350-40dim,155.47443909971838
350-50dim,157.30007525168352
350-60dim,155.8622461828402
350-70dim,155.81837924739415
350-80dim,155.58794337996412
350-90dim,155.79183834079078
360-100dim,155.72390940803868
360-10dim,157.3969463883704
360-110dim,155.53292237054856
360-120dim,154.8093392696868
360-130dim,155.24995213034617
360-140dim,154.98876327214575
360-150dim,155.3650370698083
360-160dim,154.62344303174106
360-170dim,154.62565364017365
360-180dim,154.75383380518915
360-190dim,153.8145742466927
360-200dim,154.5370171019612
360-20dim,157.37382308197786
360-210dim,154.2364323211819
360-220dim,155.0099748146747
360-230dim,154.87806147741185
360-240dim,154.48799684869047
360-250dim,154.08177455434216
360-260dim,153.8301182565747
360-270dim,154.0397779395203
360-280dim,154.21059839609345
360-290dim,153.75693278242863
360-300dim,154.35137703204742
360-30dim,157.6557622782583
360-310dim,153.36962648845608
360-320dim,154.50822648984467
360-330dim,153.45311710842586
360-340dim,154.14206187163828
360-350dim,154.65384535479023
360-40dim,155.8980661573421
360-50dim,157.2604836774845
360-60dim,156.8964379957901
360-70dim,155.49371298374098
360-80dim,156.7506771443553
360-90dim,155.48742006402216
370-100dim,155.35311126798706
370-10dim,157.9514247244827
370-110dim,155.3515559793746
370-120dim,155.60204847658116
370-130dim,155.5959555241667
370-140dim,154.72584981265584
370-150dim,155.00060953576997
370-160dim,154.3736469550957
370-170dim,154.2661921744279
370-180dim,154.5918569529886
370-190dim,154.27784787816228
370-200dim,154.7475390702785
370-20dim,158.05338926261848
370-210dim,153.95360319123182
370-220dim,154.00025789095935
370-230dim,154.41136151282464
370-240dim,154.5027108296852
370-250dim,154.76024238268676
370-260dim,154.24194821032722
370-270dim,154.57247125297144
370-280dim,153.71301569083266
370-290dim,154.24241468432982
370-300dim,154.16903818093238
370-30dim,157.9277329500617
370-310dim,154.6550810284413
370-320dim,153.90550978074478
370-330dim,154.51952750834738
370-340dim,153.78533480024842
370-350dim,153.79337074078148
370-360dim,154.38843103826747
370-40dim,157.00876793092027
370-50dim,156.4587593947691
370-60dim,156.60014915600397
370-70dim,155.86090448056288
370-80dim,155.56887087733827
370-90dim,155.4814011958235
380-100dim,155.66992074163738
380-10dim,158.20003760028013
380-110dim,156.2888054753494
380-120dim,155.4434721227666
380-130dim,155.4586001373872
380-140dim,155.3477371170333
380-150dim,155.32526008600396
380-160dim,155.42400850555092
380-170dim,154.79380903094008
380-180dim,154.97096606659377
380-190dim,154.54773977835836
380-200dim,154.61385036252247
380-20dim,158.41733335520138
380-210dim,154.7860742109627
380-220dim,154.14671524030146
380-230dim,153.80274242244096
380-240dim,153.79127356183844
380-250dim,154.16909257602052
380-260dim,154.13080995879568
380-270dim,154.2082032452087
380-280dim,154.68798531226076
380-290dim,153.84442990167767
380-300dim,153.8901424294043
380-30dim,157.8159259942099
380-310dim,154.20998036266596
380-320dim,154.54412350939782
380-330dim,153.44453344952885
380-340dim,154.32510176569497
380-350dim,154.74913949643556
380-360dim,154.34069049785512
380-370dim,154.19637850762163
380-40dim,155.92299252188164
380-50dim,156.55918283644368
380-60dim,156.08762550836124
380-70dim,155.98669380531092
380-80dim,156.06019576392237
380-90dim,156.3033485422997
390-100dim,155.2836013127195
390-10dim,158.15584004781323
390-110dim,155.7003360217643
390-120dim,155.92299821752067
390-130dim,155.06299385937965
390-140dim,154.99752828860218
390-150dim,155.43425818387684
390-160dim,154.25777363004744
390-170dim,154.288538657493
390-180dim,154.65505101120405
390-190dim,154.08470285532076
390-200dim,154.55584700050858
390-20dim,157.79302919670485
390-210dim,154.16330418523864
390-220dim,154.1022941849208
390-230dim,154.26850584317566
390-240dim,154.52934516132535
390-250dim,154.6896540579091
390-260dim,154.2011230842627
390-270dim,154.2114147358425
390-280dim,154.83842180415292
390-290dim,154.8092370742217
390-300dim,153.66035012100187
390-30dim,156.7298511950592
390-310dim,154.72989957110457
390-320dim,154.29139965172675
390-330dim,154.50027304571378
390-340dim,154.67841678247848
390-350dim,154.57066192034904
390-360dim,154.52883401940963
390-370dim,154.0686975002404
390-380dim,154.1346844462479
390-40dim,156.4354419625197
390-50dim,156.73746837975386
390-60dim,156.49101591679093
390-70dim,156.3340006700111
390-80dim,157.0418803272135
390-90dim,156.1164413449892
40-10dim,148.97362452411738
40-20dim,143.30158570398459
40-30dim,144.73415522249766
400-100dim,156.43025648948935
400-10dim,159.28289626535025
400-110dim,155.9527567361603
400-120dim,155.61667275811516
400-130dim,155.0120120164695
400-140dim,155.56814782548602
400-150dim,155.48798116729787
400-160dim,155.03415914967894
400-170dim,154.98988446429647
400-180dim,155.03773239539902
400-190dim,154.936257513265
400-200dim,154.71399678446073
400-20dim,157.4913475575643
400-210dim,155.20223768194438
400-220dim,154.6351136957249
400-230dim,154.04711995794904
400-240dim,154.47433792409365
400-250dim,154.91079941037967
400-260dim,154.93826875687557
400-270dim,153.96159490309475
400-280dim,154.87828431872987
400-290dim,154.8376173155493
400-300dim,154.5603358672967
400-30dim,157.6694547969014
400-310dim,154.43490243525977
400-320dim,154.73499870654004
400-330dim,154.74138607358913
400-340dim,153.8697919488237
400-350dim,153.59746182345845
400-360dim,153.82427071451286
400-370dim,154.04894585690369
400-380dim,154.3106191381715
400-390dim,154.55095760556972
400-40dim,157.36145268228267
400-50dim,157.09808016396974
400-60dim,156.08575798859084
400-70dim,156.8817145166826
400-80dim,156.27106565541743
400-90dim,155.90670231866076
50-10dim,147.76289228762155
50-20dim,145.93446472273476
50-30dim,152.74215219843563
50-40dim,151.32193219643258
60-10dim,149.26850947879447
60-20dim,146.22646636286404
60-30dim,153.46824220960542
60-40dim,152.039535636828
60-50dim,151.45533491841388
70-10dim,143.6516292698789
70-20dim,151.67663363690497
70-30dim,143.3690416151607
70-40dim,149.92903969348794
70-50dim,152.0575781541515
70-60dim,150.45974573902353
80-10dim,140.98962905622628
80-20dim,151.5099655731764
80-30dim,150.2628671466002
80-40dim,152.00724131541867
80-50dim,151.3824813135249
80-60dim,150.48962955679795
80-70dim,151.14086755851014
90-10dim,145.24238398933062
90-20dim,152.736309196763
90-30dim,152.59031025010285
90-40dim,151.98882152646766
90-50dim,151.0688099206622
90-60dim,151.46210507984233
90-70dim,150.87469662774927
90-80dim,153.2709041084016
