,Distance
10-5dim,153.2144058539926
100-10dim,144.489362618886
100-15dim,152.7988730500385
100-20dim,152.9872589245992
100-25dim,153.5454270939003
100-30dim,153.90767488519344
100-35dim,151.72831846912908
100-40dim,152.7187485325746
100-45dim,152.1372182255932
100-50dim,151.62617276847936
100-5dim,157.95336568008852
20-10dim,153.61751034905092
20-15dim,155.16730447050583
20-5dim,140.40890370391892
30-10dim,146.5367383816669
30-15dim,150.29873873543036
30-20dim,145.08015138945217
30-25dim,147.79676040673172
30-5dim,154.11045874246548
40-10dim,146.70088242090472
40-15dim,147.54719094721884
40-20dim,147.0531436898804
40-25dim,148.3474332406591
40-30dim,149.02955073419224
40-35dim,154.65604870980354
40-5dim,150.10020023532837
50-10dim,153.18651950081033
50-15dim,146.3635179781525
50-20dim,150.94298375925075
50-25dim,142.28019273602138
50-30dim,148.21484847328466
50-35dim,147.4014661080551
50-40dim,153.01115413739248
50-45dim,145.12146277246615
50-5dim,152.9627510520083
60-10dim,148.0962816973372
60-15dim,142.8372673623438
60-20dim,151.53827089899468
60-25dim,140.2484627665104
60-30dim,144.84083302584918
60-35dim,150.52428101784227
60-40dim,151.09704894749245
60-45dim,151.0889622374709
60-50dim,148.3006464617595
60-5dim,151.3119494396503
70-10dim,152.03821997334381
70-15dim,148.28934932066878
70-20dim,142.6146851689629
70-25dim,152.2939039970234
70-30dim,154.65255208128931
70-35dim,151.6248787222204
70-40dim,151.21986898555008
70-45dim,152.2295874926532
70-50dim,151.86408206242828
70-5dim,154.30878658280108
80-10dim,147.20825260996875
80-15dim,142.2323234478241
80-20dim,153.83548823271207
80-25dim,152.26375549954614
80-30dim,153.9811529371777
80-35dim,151.88428549435957
80-40dim,151.86989780076993
80-45dim,151.3501902202982
80-50dim,153.13548722604975
80-5dim,156.03668931222728
90-10dim,155.69242594865304
90-15dim,153.3368620908733
90-20dim,154.15886782957932
90-25dim,152.32152843031133
90-30dim,152.7038711639269
90-35dim,151.6476474338506
90-40dim,152.48486419139974
90-45dim,151.86767335391065
90-50dim,151.9143161952337
90-5dim,156.3112929249669
