,Distance
10-5dim,159.9831161053422
100-10dim,160.18788152497268
100-15dim,159.08018731573412
100-20dim,158.70200696975547
100-25dim,158.85521849663976
100-30dim,158.27509035470894
100-35dim,157.76261922305034
100-40dim,157.97441802049508
100-45dim,156.92853455798453
100-50dim,157.5500637632117
100-5dim,160.3126951509872
20-10dim,160.97482399556708
20-15dim,158.79446519170256
20-5dim,160.81003422602367
30-10dim,159.13639727436293
30-15dim,157.94662556051318
30-20dim,158.99599713857208
30-25dim,158.10918577591053
30-5dim,160.70705734459733
40-10dim,158.2454215285361
40-15dim,158.34136411115543
40-20dim,159.26601837429445
40-25dim,157.1823559735781
40-30dim,156.9924482730899
40-35dim,156.5667266418014
40-5dim,160.03913210566392
50-10dim,160.46776465544627
50-15dim,158.86050869940613
50-20dim,157.3988393228475
50-25dim,158.1337282074677
50-30dim,155.5861622881254
50-35dim,157.266031303055
50-40dim,157.6174619922749
50-45dim,157.1890719948435
50-5dim,160.50288150925527
60-10dim,160.39152459031152
60-15dim,158.69335917184983
60-20dim,157.6818741213238
60-25dim,158.24264314110246
60-30dim,157.64755918344432
60-35dim,158.06943504142453
60-40dim,157.17991641964178
60-45dim,156.7004828720883
60-50dim,157.5067251589296
60-5dim,160.96277108335818
70-10dim,159.26930834637616
70-15dim,159.5255955899187
70-20dim,158.85269508409988
70-25dim,158.38197498786596
70-30dim,157.37852237899085
70-35dim,157.7572821676832
70-40dim,156.75593593907826
70-45dim,156.08830616793745
70-50dim,156.6216921886862
70-5dim,160.689533497142
80-10dim,158.61713088353997
80-15dim,159.6733370102587
80-20dim,158.17479854093156
80-25dim,156.50859476000747
80-30dim,157.79406323123985
80-35dim,156.80995638626314
80-40dim,157.32145284834547
80-45dim,156.50679880765028
80-50dim,157.01671361920737
80-5dim,160.48304716152134
90-10dim,159.7316875698769
90-15dim,159.11436704808725
90-20dim,158.71594856889504
90-25dim,158.52225441135317
90-30dim,157.59264919283802
90-35dim,156.5328270241052
90-40dim,158.4824276152159
90-45dim,157.18374955562484
90-50dim,157.4919289402368
90-5dim,160.74962681024715
