,Distance
10-5dim,140.21591069436045
100-10dim,146.35553905699751
100-15dim,154.87761849659012
100-20dim,154.20797093191769
100-25dim,152.98378976394199
100-30dim,153.12894093781892
100-35dim,151.85166464892683
100-40dim,151.42667128383118
100-45dim,151.90959499265833
100-50dim,151.62604601961002
100-5dim,151.9978139486411
20-10dim,151.98018216369945
20-15dim,148.89435497809393
20-5dim,157.36903601277217
30-10dim,149.71654079975667
30-15dim,146.32359132732117
30-20dim,152.3597895317154
30-25dim,151.84834318552012
30-5dim,150.0963628962886
40-10dim,148.18781913970713
40-15dim,149.12852462792722
40-20dim,152.68695789249827
40-25dim,150.38969130781456
40-30dim,146.6624995026076
40-35dim,149.3451827330165
40-5dim,147.99729802733586
50-10dim,154.45319486382624
50-15dim,148.0566794025851
50-20dim,145.33704518482017
50-25dim,145.25879785338492
50-30dim,144.64804496491504
50-35dim,151.231092523717
50-40dim,143.10244151773063
50-45dim,148.34409894425121
50-5dim,146.78773815309935
60-10dim,143.167184724215
60-15dim,153.0310415440515
60-20dim,151.55245796102713
60-25dim,151.6038913781483
60-30dim,153.27314337129548
60-35dim,145.47831584573737
60-40dim,150.57688722484627
60-45dim,151.63123069950018
60-50dim,146.8817599255686
60-5dim,141.9537218518569
70-10dim,144.89008871580165
70-15dim,154.66765116981918
70-20dim,154.58507020521455
70-25dim,153.77689941909043
70-30dim,151.04294840135177
70-35dim,150.34130915776535
70-40dim,150.86439890846574
70-45dim,152.45960508926447
70-50dim,151.3766013891953
70-5dim,152.60754104536892
80-10dim,155.59005365094137
80-15dim,141.0221170497197
80-20dim,154.90930315162083
80-25dim,151.08826662380494
80-30dim,151.8953791148692
80-35dim,151.98934552390233
80-40dim,153.5536342833046
80-45dim,152.47756091713458
80-50dim,151.5001626914798
80-5dim,146.95851139115507
90-10dim,152.33803668894623
90-15dim,153.6980153405511
90-20dim,141.78769249328556
90-25dim,153.4542041699019
90-30dim,153.3743081095234
90-35dim,151.14986516478737
90-40dim,151.48153462858514
90-45dim,152.913141916422
90-50dim,152.0587143436268
90-5dim,157.12850542954226
