Epoch,Loss,Acc,Val_loss,Val_acc
1,0.7144483905850034,0.4719223380088806,0.6610390038201304,0.6267045736312866
2,0.6067681565429225,0.7345170378684998,0.5556321162166018,0.801325798034668
3,0.494860491066268,0.8312026858329773,0.4430162689902566,0.8829545378684998
4,0.3951571357972694,0.8903409242630005,0.36863556594559643,0.8895833492279053
5,0.3437674849322348,0.8910037279129028,0.3391512849114158,0.8895833492279053
6,0.3264148515282255,0.8910036087036133,0.32979895942138904,0.8897728323936462
7,0.32128766450014984,0.8909091949462891,0.3265793865377253,0.8897728323936462
8,0.31964755419528845,0.8910036683082581,0.32551871285294043,0.88958340883255
9,0.3190504357670293,0.8908144235610962,0.3247719569639726,0.88958340883255
10,0.3188401885104902,0.8910511136054993,0.3244650400046146,0.88958340883255
11,0.31872687014666473,0.8910036683082581,0.3240638230786179,0.8899621963500977
12,0.3186108406746026,0.8913354277610779,0.32414305210113525,0.8895833492279053
