Epoch,Loss,Acc,Val_loss,Val_acc
1,0.5411315517917646,0.8549821972846985,0.4363661308729776,0.8923487663269043
2,0.3887568702689269,0.8922598958015442,0.3742318244591302,0.8909252285957336
3,0.34608208348318353,0.8908362984657288,0.33863854896131357,0.8889679312705994
4,0.3291187799698093,0.8912811875343323,0.33066613235083336,0.8886120915412903
5,0.32252916492177075,0.8926602005958557,0.32641711926545114,0.8907473087310791
6,0.31800618672286063,0.8933274149894714,0.32399422598479055,0.8895018100738525
7,0.3163523803402096,0.8915480971336365,0.3235334038098088,0.8886121511459351
8,0.3127503606136159,0.8933719396591187,0.3207603235898069,0.8891458511352539
9,0.31036115763874667,0.8929269909858704,0.3193484562783903,0.889323890209198
10,0.30861083044276116,0.8924378156661987,0.3190660352596609,0.8886120915412903
11,0.3068036545213855,0.8927490711212158,0.31901024881206796,0.89039146900177
12,0.30607050726210094,0.8932830095291138,0.3177341877141457,0.8887900114059448
13,0.30548006656755333,0.8936831951141357,0.31711892428347227,0.8886120915412903
14,0.3049220574283939,0.893282949924469,0.3179302480721389,0.8886120915412903
