Epoch,Loss,Acc,Val_loss,Val_acc
1,0.6597270151050065,0.6582740333156654,0.6238257212570978,0.8062277714128596
2,0.5821600950909679,0.859564056812232,0.527400801402394,0.886832720868528
3,0.47550074740236764,0.8917259660904093,0.4173955304342657,0.8884341538588771
4,0.3795018084744966,0.89217080764499,0.3490911122955037,0.8884341538588771
5,0.33530877143462784,0.8921708059480606,0.32868911914553933,0.8884341538588771
6,0.32396945367928504,0.8921708093419194,0.325177773992362,0.8884341538588771
7,0.32151690592120974,0.8921708038268988,0.3246423738919119,0.8884341538588771
8,0.3209036521852229,0.8921708036147827,0.3242964785930525,0.8884341538588771
9,0.3205235548503034,0.8921708133721267,0.32422422715777605,0.8884341538588771
10,0.3203727709016766,0.8921708053117121,0.3242392324680111,0.8884341538588771
