1,27,1
1,39,1
1,42,1
1,49,1
1,51,1
1,52,1
1,70,1
2,1,1
2,37,1
2,43,1
2,47,1
2,49,1
2,51,1
2,63,1
2,70,1
3,35,1
3,36,1
3,42,1
3,43,1
3,57,1
3,64,1
3,68,1
3,70,1
4,5,1
4,9,1
4,10,1
4,15,1
4,24,1
4,31,1
4,36,1
4,43,1
4,49,1
4,50,1
4,51,1
4,57,1
4,60,1
4,64,1
4,67,1
4,72,1
5,10,1
5,29,1
5,30,1
5,37,1
5,44,1
5,64,1
5,70,1
6,9,1
6,11,1
6,24,1
6,31,1
6,36,1
6,43,1
6,61,1
6,64,1
6,68,1
7,2,1
7,9,1
7,21,1
7,36,1
7,37,1
7,43,1
7,47,1
7,49,1
7,64,1
7,68,1
8,1,1
8,28,1
8,39,1
8,50,1
8,60,1
8,66,1
8,70,1
8,73,1
9,17,1
9,44,1
9,49,1
9,51,1
9,52,1
9,64,1
9,72,1
10,1,1
10,4,1
10,13,1
10,16,1
10,49,1
10,51,1
10,66,1
10,73,1
11,1,1
11,2,1
11,11,1
11,33,1
11,49,1
11,62,1
11,70,1
12,1,1
12,4,1
12,12,1
12,16,1
12,19,1
12,21,1
12,26,1
12,27,1
12,42,1
12,57,1
12,67,1
12,71,1
13,10,1
13,16,1
13,42,1
13,44,1
13,46,1
13,56,1
13,63,1
13,73,1
14,1,1
14,2,1
14,9,1
14,25,1
14,51,1
14,60,1
14,62,1
14,63,1
14,68,1
15,5,1
15,11,1
15,14,1
15,24,1
15,42,1
15,44,1
15,57,1
15,64,1
15,72,1
16,15,1
16,21,1
16,27,1
16,28,1
16,35,1
16,52,1
16,67,1
17,4,1
17,6,1
17,10,1
17,11,1
17,14,1
17,37,1
17,43,1
17,49,1
17,60,1
17,61,1
17,64,1
17,70,1
18,1,1
18,4,1
18,8,1
18,11,1
18,12,1
18,15,1
18,19,1
18,21,1
18,22,1
18,25,1
18,28,1
18,33,1
18,35,1
18,36,1
18,40,1
18,42,1
18,46,1
18,47,1
18,50,1
18,51,1
18,52,1
18,54,1
18,56,1
18,57,1
18,61,1
18,63,1
18,64,1
18,66,1
18,67,1
18,69,1
18,72,1
18,73,1
19,10,1
19,27,1
19,37,1
19,40,1
19,42,1
19,44,1
19,49,1
19,64,1
20,5,1
20,9,1
20,28,1
20,31,1
20,43,1
20,51,1
20,58,1
21,12,1
21,13,1
21,35,1
21,53,1
21,63,1
21,72,1
21,73,1
22,2,1
22,5,1
22,9,1
22,10,1
22,15,1
22,37,1
22,62,1
22,64,1
23,4,1
23,15,1
23,19,1
23,21,1
23,32,1
23,33,1
23,51,1
23,58,1
