Epoch,Loss,Val_loss
1,0.6909477096615415,0.6860285401344299
2,0.682625870813023,0.6760282516479492
3,0.670230692986286,0.6604759693145752
4,0.6503400405248007,0.6369985342025757
5,0.6201584023056608,0.6029152870178223
6,0.5786511320056338,0.5552167296409607
7,0.5239817662672563,0.4925882816314697
8,0.4584211783878731,0.4158511459827423
9,0.38310019039746485,0.331943541765213
10,0.3068689929716515,0.2525040805339813
11,0.24156376719474792,0.18701519072055817
12,0.1914165552818414,0.1417989730834961
13,0.15995018432537714,0.11535752564668655
14,0.13885610821572217,0.1007087379693985
15,0.12280051286021869,0.09341736882925034
16,0.11107938499613242,0.08986234664916992
17,0.10216298642935175,0.0879199206829071
18,0.0969105851695393,0.08704011887311935
19,0.0930508900095116,0.08683021366596222
20,0.08972292777263757,0.08698934316635132
