Epoch,Loss,Val_loss
1,0.6914848685264587,0.6870865225791931
2,0.6836569498885762,0.6772094368934631
3,0.6701195249051759,0.6608304977416992
4,0.6473001458428123,0.6351449489593506
5,0.6144726601513949,0.5969520807266235
6,0.5677474556547223,0.5431100130081177
7,0.5089865570718591,0.4722452759742737
8,0.4340887146465706,0.38872775435447693
9,0.35765616731210187,0.2996377646923065
10,0.27992545113419043,0.2211756706237793
11,0.21792673545353342,0.16159304976463318
12,0.17498197948390787,0.12432436645030975
13,0.1479280139460708,0.10416838526725769
14,0.13141616320971286,0.09496810287237167
15,0.11456915533000772,0.09013992547988892
16,0.10621747329379573,0.08766605705022812
17,0.09798405816157658,0.08634836226701736
18,0.09357068574789798,0.08582271635532379
19,0.09033778637196078,0.08559363335371017
20,0.08832384295987361,0.08561694622039795
