Epoch,Loss,Val_loss
1,0.6920968492825826,0.6884753704071045
2,0.6869490697528376,0.6820639967918396
3,0.6792210963639346,0.6728976964950562
4,0.6678759455680847,0.6596688628196716
5,0.6519606149557865,0.6408267021179199
6,0.6285454179301406,0.6145967841148376
7,0.5978892012075945,0.5792511105537415
8,0.5595465004444122,0.5336073637008667
9,0.5093839845874093,0.47780513763427734
10,0.45268681148688,0.4118843078613281
11,0.3899486791906935,0.3402937352657318
12,0.3247656181003108,0.26919615268707275
13,0.2648540690089717,0.20639556646347046
14,0.21412937027035336,0.15812747180461884
15,0.17609349457603513,0.12523753941059113
16,0.1499762065482862,0.10533647984266281
17,0.1291587439676126,0.09484034031629562
18,0.11587805786367619,0.0895453467965126
19,0.10832180331150691,0.08750565350055695
20,0.09968553968902791,0.08659809827804565
21,0.09492830096772223,0.08618088811635971
22,0.09247803247787735,0.08624686300754547
