userId,movieId
0,1
0,12
0,13
0,21
0,22
0,37
0,50
0,64
0,66
0,87
0,93
0,99
0,141
0,147
0,158
1,9
1,24
1,25
1,55
1,98
1,100
1,108
1,117
1,118
1,134
1,142
2,2
2,58
2,74
2,80
2,81
2,86
2,127
2,129
2,157
2,161
2,164
3,2
3,24
3,25
3,29
3,48
3,77
3,83
3,90
3,104
3,143
4,0
4,26
4,27
4,45
4,53
4,57
4,72
4,129
4,144
4,149
4,152
5,4
5,8
5,24
5,64
5,70
5,72
5,86
5,98
5,103
5,137
5,146
6,0
6,21
6,28
6,45
6,58
6,67
6,68
6,86
6,112
6,125
7,0
7,3
7,45
7,50
7,85
7,114
7,117
7,124
7,143
7,153
7,158
8,10
8,70
8,72
8,85
8,88
8,95
8,99
8,101
8,111
8,117
8,141
8,161
9,28
9,66
9,87
9,99
9,103
9,112
9,119
9,122
9,137
9,147
10,2
10,4
10,20
10,48
10,70
10,76
10,81
10,83
10,90
10,98
10,100
10,108
10,138
11,12
11,22
11,24
11,34
11,37
11,66
11,76
11,87
11,99
11,119
11,122
12,40
12,79
12,80
12,84
12,85
12,96
12,126
12,131
12,156
12,161
13,14
13,19
13,24
13,25
13,51
13,59
13,81
13,85
13,88
13,96
13,107
13,124
13,137
14,44
14,68
14,91
14,103
14,108
14,121
14,132
14,144
14,151
14,164
15,2
15,23
15,39
15,44
15,55
15,68
15,91
15,104
15,111
15,135
15,150
15,164
16,4
16,9
16,28
16,44
16,58
16,79
16,80
16,81
16,84
16,144
16,152
16,154
16,156
16,161
17,9
17,24
17,53
17,66
17,74
17,84
17,101
17,104
17,129
17,138
17,143
18,2
18,20
18,48
18,59
18,83
18,86
18,88
18,98
18,143
18,156
18,161
19,4
19,9
19,12
19,25
19,44
19,68
19,87
19,125
19,126
19,134
19,144
19,150
20,0
20,15
20,57
20,66
20,90
20,99
20,101
20,134
20,161
20,164
21,32
21,42
21,71
21,83
21,86
21,94
21,101
21,129
21,145
21,146
22,2
22,50
22,62
22,66
22,99
22,107
22,125
22,137
22,144
22,149
22,156
23,2
23,9
23,28
23,36
23,44
23,53
23,68
23,87
23,112
23,118
24,49
24,64
24,75
24,89
24,95
24,98
24,101
24,119
24,133
24,150
24,159
25,2
25,10
25,44
25,45
25,57
25,88
25,107
25,125
25,131
25,142
25,162
26,10
26,21
26,27
26,57
26,85
26,93
26,111
26,147
26,149
26,156
26,158
27,57
27,68
27,80
27,86
27,102
27,126
27,127
27,129
27,152
27,161
27,164
28,3
28,21
28,36
28,68
28,93
28,101
28,102
28,114
28,118
28,120
28,128
28,131
28,134
28,144
28,159
29,44
29,49
29,58
29,60
29,66
29,87
29,112
29,123
29,134
29,156
29,161
30,4
30,5
30,30
30,75
30,77
30,84
30,119
30,133
30,135
30,148
30,150
31,34
31,44
31,82
31,103
31,111
31,119
31,120
31,131
31,138
31,146
31,147
31,156
32,12
32,17
32,42
32,49
32,56
32,72
32,84
32,87
32,106
32,122
32,150
32,159
33,18
33,30
33,44
33,58
33,60
33,68
33,80
33,108
33,126
33,129
34,0
34,4
34,9
34,40
34,52
34,57
34,68
34,70
34,80
34,152
34,155
35,9
35,40
35,75
35,102
35,114
35,126
35,129
35,134
35,144
35,151
35,159
35,161
35,164
36,4
36,10
36,18
36,52
36,78
36,86
36,108
36,127
36,129
36,134
36,142
36,144
36,161
37,44
37,50
37,58
37,66
37,68
37,75
37,77
37,112
37,119
37,122
38,4
38,25
38,44
38,58
38,68
38,80
38,86
38,156
38,161
38,164
39,3
39,9
39,30
39,40
39,43
39,68
39,78
39,87
39,134
39,161
40,9
40,18
40,28
40,34
40,60
40,68
40,87
40,112
40,122
40,156
41,9
41,24
41,44
41,70
41,81
41,124
41,125
41,129
41,149
41,153
42,10
42,53
42,68
42,80
42,86
42,106
42,118
42,131
42,134
42,161
42,164
43,19
43,23
43,25
43,56
43,75
43,79
43,87
43,88
43,106
43,111
43,132
43,137
43,145
44,19
44,31
44,36
44,73
44,85
44,106
44,109
44,124
44,125
44,159
45,40
45,44
45,72
45,80
45,85
45,100
45,120
45,134
45,139
45,142
45,156
46,28
46,34
46,58
46,62
46,79
46,81
46,83
46,86
46,91
46,119
46,160
47,32
47,42
47,44
47,49
47,92
47,94
47,98
47,129
47,151
47,156
48,3
48,9
48,30
48,40
48,41
48,47
48,77
48,93
48,106
48,123
48,129
48,159
49,25
49,28
49,34
49,58
49,68
49,79
49,86
49,103
49,122
49,137
49,156
49,163
50,18
50,28
50,34
50,68
50,79
50,102
50,127
50,128
50,129
50,144
50,156
50,161
50,164
51,33
51,75
51,81
51,86
51,101
51,125
51,126
51,127
51,156
51,164
52,0
52,10
52,21
52,34
52,57
52,102
52,105
52,111
52,114
52,118
52,131
52,134
53,9
53,40
53,44
53,52
53,57
53,66
53,84
53,102
53,118
53,152
53,161
54,12
54,18
54,30
54,44
54,52
54,58
54,121
54,127
54,129
54,161
55,21
55,23
55,24
55,37
55,85
55,89
55,95
55,98
55,102
55,104
55,107
55,114
55,120
56,3
56,34
56,52
56,80
56,84
56,114
56,121
56,129
56,131
56,161
57,34
57,44
57,55
57,62
57,80
57,81
57,91
57,128
57,129
57,154
57,156
57,163
58,1
58,5
58,18
58,30
58,34
58,58
58,60
58,66
58,81
58,112
58,127
58,129
58,134
58,144
58,147
59,2
59,32
59,34
59,43
59,79
59,83
59,84
59,101
59,107
59,108
59,121
59,163
59,164
60,3
60,22
60,33
60,43
60,84
60,102
60,112
60,126
60,127
60,147
61,0
61,9
61,49
61,68
61,74
61,78
61,102
61,128
61,134
61,152
62,5
62,12
62,30
62,31
62,68
62,87
62,112
62,141
62,156
62,159
63,9
63,40
63,44
63,53
63,58
63,66
63,68
63,81
63,101
63,118
63,122
63,126
63,144
63,164
64,5
64,12
64,17
64,49
64,50
64,54
64,58
64,108
64,156
64,161
65,5
65,17
