Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_robnorm,A_std_robnorm,B_avg_robnorm,B_std_robnorm,C_avg_robnorm,C_std_robnorm,D_avg_robnorm,D_std_robnorm
47metersdown,34.80487804878049,23.842183882819985,11937779.160579428,30622012.29551432,0.2456085760468996,0.24974261700357556,3832.149222456684,3285.912168339273,-0.1632562716188991,-0.4800213656968822,0.9110540508165184,0.680380686194345,0.04744731416680578,-0.34999340940260865,0.13057909137062432,1.240679622373111
adogsjourneymovie,34.63247863247863,29.10975349530181,2688809.223522822,4606428.453921334,0.3359944296817529,0.349168693945698,3225.348524584389,2086.338315789782,-0.18066546933802077,-0.22998085538920557,-0.20798672767231152,-0.37309915107782576,1.0913389003079195,1.5413361225007958,-0.2491410379469934,-0.42386471985854257
aftermathmovie,35.692307692307686,26.611910622543594,737843.0010296162,1447867.703815384,0.20429768996170852,0.2599513991686895,3212.997036429973,2613.398541739849,-0.07364205796678361,-0.34854823133672413,-0.44403579857230774,-0.5010024910642228,-0.42966370117615343,-0.1557971604156518,-0.25687027869392304,0.30749093219734047
aftermovie,58.276595744680854,54.90405640467415,5730162.1264876025,14299287.334890012,0.212973970075358,0.2316550068940771,3180.640515062546,2106.905406681398,2.2069592600849264,0.9944207447733211,0.15998915973511024,0.01940525930944248,-0.32945890755621804,-0.6940644239068118,-0.27711815006419194,-0.39532555596542923
alitamovie,35.784313725490186,29.192272497163273,2531454.7904955284,6295080.15899654,0.2673263193152564,0.2696369020701653,2845.366840575144,2350.3135919548176,-0.06435112614470788,-0.22606385099184004,-0.22702517502719272,-0.30471857832943144,0.2982716252298861,0.028445024655783427,-0.486923714691183,-0.057569179575065174
angelhasfallen,36.421568627450974,27.8171326366979,1209756.4450619791,4667335.491197369,0.2507026365795701,0.28292585750320864,3686.115581034615,2869.075018383901,0.0,-0.2913388635214207,-0.386938587598198,-0.3706327703074007,0.10628004866562277,0.2812337761751048,0.03919502836616661,0.6622709498970191
angrybirdsmovie,34.65,30.910529489695467,369915511.078566,751228830.3413737,0.3415629566501276,0.34148056657907155,7726.730432469832,2614.321826955031,-0.17889613068228652,-0.14450178596768926,44.22308582661162,29.860765721354284,1.1556513808092344,1.3950889529378272,2.567706942227826,0.30877209481849244
annabellemovie,52.36363636363637,45.78825983035402,4579331.774892684,34055753.87676357,0.092468661458162,0.13234750118080255,1387.4944020693085,1821.0507450331907,1.6098581725180212,0.5617129506697572,0.020749211792627342,0.8194272493725961,-1.7212085308880054,-2.5831384382070763,-1.3992224526773602,-0.7919812172536415
annamovie,37.91011235955056,33.61267833617541,9961093.345247297,30478166.89014458,0.3236956404202224,0.29021756294467305,4568.54899177322,2762.1518072336157,0.1503157765935067,-0.01623643283402434,0.6718931443944308,0.6745557838910191,0.9492967320533541,0.4199400216946817,0.5913989563029285,0.5139029058660621
apollo11movie,65.6829268292683,58.86505403510321,6274530.625040619,15502910.006607102,0.18749989547658708,0.23665064533322386,4119.307187002707,2746.299971683731,2.9548636613335884,1.182441016302936,0.22585276968856904,0.06814497716695163,-0.6236661431908654,-0.5990350432728944,0.31027509339293535,0.4919066918585062
arcticmovie,72.625,94.80177863385715,419908.7930152336,1445080.847051207,0.2592962563654242,0.31775367317583825,2704.271821942177,2309.402487760581,3.655886478013368,2.88828215719016,-0.48250293016273305,-0.5011153425546333,0.20553017496514026,0.9437448430824025,-0.5752173157190734,-0.11433796198578086
