Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_stdnorm,A_std_stdnorm,B_avg_stdnorm,B_std_stdnorm,C_avg_stdnorm,C_std_stdnorm,D_avg_stdnorm,D_std_stdnorm
tt0328810,74.32432432432431,77.63255588122531,7429596.013007359,6754839.757017302,0.3364244009408313,0.3359432686965244,8309.913009225189,4659.362101477487,-0.10076545709469382,0.005804662305485814,-0.2775565583316652,-0.24272556806040668,0.6913147616185625,1.1812333686442793,2.1741069117072866,2.411867770219889
tt10005184,128.11111111111111,168.8131409079574,1056263.439652535,2578889.373085464,0.09973185055368892,0.17080273013066433,5180.699115383695,2028.1505587613974,0.015400737036816249,0.5503567675864312,-0.3516216588216306,-0.2590470903527835,-1.5478147722842142,-1.4082072674236161,0.468625615823843,-0.7672893685578664
tt10017502,31.970588235294123,14.597512467616339,3220427.9363187305,6070315.314554977,0.2683491626613395,0.3252183696876087,3663.7550480056293,2106.268326334429,-0.19223908142954038,-0.3706555850957892,-0.3264716985649633,-0.2454010023735908,0.04731782842501496,1.0130645498152488,-0.35813785308004803,-0.6729037008099877
tt10043732,41.670731707317074,28.350616149388536,5971662.823106107,17101600.83285153,0.31592309889581943,0.33043643883629714,4184.885639883502,3340.76894051458,-0.1712891638570087,-0.2885187841325087,-0.2944993377919958,-0.2022856978447739,0.49737088456217193,1.0948850429102095,-0.07411173428083222,0.8186796921182288
tt10048096,28.48,27.72885861336525,11678228.086752085,22263503.22996316,0.2964252601856748,0.31429400334713725,4229.213104438426,2424.4736619376613,-0.19977789114096103,-0.2922320677785448,-0.22818280325690798,-0.18211062455613827,0.3129198469957217,0.8417680385468936,-0.04995242007059437,-0.2884326129262937
tt10059624,69.64285714285714,93.3403963556869,31720023.728180297,40676136.5176146,0.290058813022098,0.28828806803563617,7731.5612618379,2196.564903677925,-0.11087627162574895,0.09961561556135207,0.004724799021309119,-0.11014564005294399,0.25269277247782984,0.4339891475527992,1.8588941710404476,-0.5638030056327211
tt10077620,50.43589743589744,49.14332511828832,30357812.959164944,64114598.02058001,0.3501840260471298,0.2977930994863327,6235.588053172121,3338.317183572193,-0.152358567618617,-0.1643397887883923,-0.011105581134504255,-0.01853742234239789,0.8214818619373087,0.5830301698195465,1.043560220381637,0.8157173607133228
tt10116528,132.35714285714286,99.4532245709058,2780284.691670873,4707617.573627054,0.2041477224019584,0.19442820906642425,3903.8223714004384,2354.606719077968,0.024571118417903853,0.13612287719870939,-0.3315866448304558,-0.2507270478270776,-0.5600326807851139,-1.0377544656215634,-0.2272965799384339,-0.37284923490860983
tt10160782,26.62903225806452,14.973346072667349,2243784.000355879,3978417.2039359314,0.2236024705030461,0.24535867921597865,1643.5244026477815,1164.242535836768,-0.2037755249630592,-0.3684110175619677,-0.33782137009511654,-0.2535770960784453,-0.37598928365861606,-0.23915328528992005,-1.4592021126403354,-1.8111048557357299
tt10178206,100.26666666666668,76.16280807148155,157144.88512865934,580153.1773766062,0.05641373666065714,0.07546037068076808,1368.821693054663,1850.536791534539,-0.04473639574338513,-0.002973020616743517,-0.36207040056337053,-0.2668590647240228,-1.9576074252942206,-2.9031968202140903,-1.608920332306177,-0.9818909187781885
