Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
47metersdown,3.5497575507725285,3.1714564438245776,16.29521864867712,17.237229664372613,0.24560857604689956,0.24974261700357553,8.251181079474705,8.097399569189248
adogsjourneymovie,3.5447919305708178,3.37107328967983,14.80460898573631,15.342963375861899,0.33599442968175286,0.349168693945698,8.07879629302934,7.643165806393914
aftermathmovie,3.5749351947647185,3.28135888333438,13.511486345218927,14.185602482985402,0.20429768996170855,0.2599513991686895,8.074959436746921,7.868406776561414
aftermovie,4.06520056755302,4.005587232938498,15.56125438261658,16.475720257267266,0.212973970075358,0.2316550068940771,8.064837875322961,7.652975518008252
alitamovie,3.5775096332922662,3.3739040337426505,14.744304711451484,15.655278959135911,0.2673263193152564,0.26963690207016533,7.953447280453775,7.762304041620457
angelhasfallen,3.5951611438675886,3.325652112768498,14.00592961223962,15.356098908184451,0.25070263657957015,0.28292585750320864,8.212328494502836,7.961744963560009
angrybirdsmovie,3.5452977256359124,3.4310968860424538,19.72878518909076,20.43722086417056,0.3415629566501276,0.34148056657907155,8.952441080883965,7.868760003268148
annabellemovie,3.958212387897521,3.8240277226787684,15.337063644767374,17.343509559448613,0.09246866145816199,0.13234750118080257,7.235254811067808,7.5071689459144055
annamovie,3.6352178933737735,3.5149033272313477,16.114197397155305,17.232521145574697,0.3236956404202224,0.29021756294467305,8.426950926201515,7.923765295251603
apollo11movie,4.184839026107291,4.075247604479339,15.652009239394063,16.556538306629832,0.18749989547658708,0.23665064533322383,8.32344026970886,7.918009819867809
arcticmovie,4.2853092151720755,4.551788171045492,12.947792807189476,14.18367582747996,0.2592962563654242,0.31775367317583825,7.9025879579766585,7.744744106749608
artofracingmovie,3.4723428168754675,3.2416351062096123,16.12643077599179,16.949355916011978,0.32656317688951997,0.34521141550011414,8.26916451393827,7.641521976667917
avengers,4.154327266823811,4.276482558134478,14.351750892921265,15.827708415239421,0.2627411998693503,0.26814156391658595,8.040896503249371,8.08369328164729
beachbummovie,3.515860289982295,3.023614330246787,16.172344460015754,16.39357632983868,0.19065556415466034,0.1999194087997236,8.434694037461089,7.779802131681529
bernadettefilm,3.5569341046450487,3.2107785121425256,15.926411117361605,16.336029676089908,0.19538465196635715,0.2678772859709604,8.462538823106227,7.590282798960707
blindedbythelightmovie,3.529268348706362,2.769076451791541,16.058567298628326,17.652316338883704,0.2198081136250925,0.2517577031617694,8.528863003036397,7.930413015755187
booksmart,4.177459468932607,4.525642131758265,14.919621223614104,15.317712126982162,0.25652478108508275,0.26504735826352016,8.293521054739381,7.83607797714562
breakthroughmovie,3.756041742551088,3.5649446260025246,15.629206080622572,16.494202990138415,0.2617181029821375,0.3021658648296213,8.398773940764611,7.930497225533449
brianbanksmovie,3.4424898537257866,3.403739128856021,16.147391876192422,16.881621116949546,0.34325343849115697,0.3194153474397913,8.23384050782032,7.721167106554288
brightburnmovie,4.087503030405384,3.9030519580791254,13.19978896657794,14.211541968541745,0.2075671531564025,0.2645344584359853,7.587276510531526,7.665585139486172
brittanyrunsmov,3.532875205637355,3.3203412077884957,17.742602619243712,18.498083439916254,0.2584162101962064,0.27952030258155425,8.752667600043116,7.658365439524096
captainmarvelofficial,3.8755020928072814,3.737051113098291,15.021622607862358,16.048248935465892,0.37948369103467444,0.3437300103811567,8.299381867440312,8.220001349600963
captivestatemovie,3.5644898214475083,3.623191767601447,15.159701511527912,16.96109254046902,0.39502609157898483,0.3629997148443964,7.683305244381316,7.483381223342428
