Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_stdnorm,A_std_stdnorm,B_avg_stdnorm,B_std_stdnorm,C_avg_stdnorm,C_std_stdnorm,D_avg_stdnorm,D_std_stdnorm
47metersdown,34.80487804878049,23.842183882819985,11937779.160579428,30622012.29551432,0.2456085760468996,0.24974261700357556,3832.149222456684,3285.912168339273,-0.45690814452460177,-0.6471708694137653,-0.1187223551530098,-0.0764680718210859,0.02972540512307707,-0.38548059115117267,0.01636026039229231,1.511191650889863
adogsjourneymovie,34.63247863247863,29.10975349530181,2688809.223522822,4606428.453921334,0.3359944296817529,0.349168693945698,3225.348524584389,2086.338315789782,-0.46917675794272834,-0.40709909518216186,-0.32206674566228294,-0.35464310121453874,1.3229061035561518,1.8144205294954543,-0.4275963409812369,-0.6588608787346898
aftermathmovie,35.692307692307686,26.611910622543594,737843.0010296162,1447867.703815384,0.20429768996170852,0.2599513991686895,3212.997036429973,2613.398541739849,-0.3937551973408487,-0.5209393696028162,-0.36495995864890785,-0.3884164247290775,-0.5613232863719,-0.15960110343343067,-0.436633121463144,0.29460136467499076
aftermovie,58.276595744680854,54.90405640467415,5730162.1264876025,14299287.334890012,0.212973970075358,0.2316550068940771,3180.640515062546,2106.905406681398,1.2134306353132471,0.768487469416237,-0.25520069932569,-0.25100094117163146,-0.4371888391552202,-0.7856870055395018,-0.46030628352265107,-0.6216546095904332
alitamovie,35.784313725490186,29.192272497163273,2531454.7904955284,6295080.15899654,0.2673263193152564,0.2696369020701653,2845.366840575144,2350.3135919548176,-0.387207689945145,-0.40333825581180777,-0.32552628131821243,-0.33658697222067036,0.34044843620295556,0.05470030865372231,-0.705604223319628,-0.181324448124102
angelhasfallen,36.421568627450974,27.8171326366979,1209756.4450619791,4667335.491197369,0.2507026365795701,0.28292585750320864,3686.115581034615,2869.075018383901,-0.3418581510158835,-0.4660108525509669,-0.35458464633813697,-0.353991844760419,0.10260783630652286,0.3487317021119296,-0.09048305630011348,0.7571251048579879
angrybirdsmovie,34.65,30.910529489695467,369915511.078566,751228830.3413737,0.3415629566501276,0.34148056657907155,7726.730432469832,2614.321826955031,-0.46792986923922947,-0.3250279466693131,7.751642043060239,7.62871448381881,1.4025768850403615,1.6443130433139277,2.8657720093130683,0.29627160566308236
annabellemovie,52.36363636363637,45.78825983035402,4579331.774892684,34055753.87676357,0.092468661458162,0.13234750118080255,1387.4944020693085,1821.0507450331907,0.7926414333585179,0.35303107906389086,-0.28050242460074415,-0.039752341314726325,-2.1612986737763737,-2.982964619484051,-1.772234659482053,-1.1387712758934525
annamovie,37.91011235955056,33.61267833617541,9961093.345247297,30478166.89014458,0.3236956404202224,0.29021756294467305,4568.54899177322,2762.1518072336157,-0.2359275858385093,-0.20187633871046184,-0.16218102947917523,-0.07800615761268236,1.1469432039705654,0.5100679578050954,0.5551360725895692,0.5636989274374663
apollo11movie,65.6829268292683,58.86505403510321,6274530.625040619,15502910.006607102,0.18749989547658708,0.23665064533322386,4119.307187002707,2746.299971683731,1.7404939796830412,0.9490116577650746,-0.24323241731114834,-0.23813104849029826,-0.801654961416547,-0.6751535223867695,0.22645506490423906,0.5350226473058934
arcticmovie,72.625,94.80177863385715,419908.7930152336,1445080.847051207,0.2592962563654242,0.31775367317583825,2704.271821942177,2309.402487760581,2.23451892407688,2.5868434984781494,-0.37194994112162705,-0.38844622355915615,0.22555963451196478,1.119331861388982,-0.8088342709492201,-0.25533343469691805
artofracingmovie,32.21212121212121,25.5755062460723,10083699.589024223,22962107.516971376,0.32656317688952,0.3452114155001141,3901.6878242191683,2082.9115481307167,-0.6414188116632971,-0.5681739494536999,-0.15948545450346235,-0.1583726045002864,1.1879700092174283,1.7268617968682134,0.06723713217406638,-0.6650599683623819
avengers,63.70909090909091,71.98678482945772,1709567.363935003,7479738.692924302,0.2627411998693503,0.26814156391658595,3105.3959403203803,3241.1817555333537,1.6000281337136568,1.5470402410657422,-0.34359599058946677,-0.3239198560604827,0.27484759570627926,0.021614460544480792,-0.5153578445895085,1.4302734604388658
