Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_maxabsnorm,A_std_maxabsnorm,B_avg_maxabsnorm,B_std_maxabsnorm,C_avg_maxabsnorm,C_std_maxabsnorm,D_avg_maxabsnorm,D_std_maxabsnorm
tt0328810,74.32432432432431,77.63255588122531,7429596.013007359,6754839.757017302,0.3364244009408313,0.3359432686965244,8309.913009225189,4659.362101477487,0.010480023170378498,0.023854155792341278,0.006341881954169687,0.0009352639127913435,0.44563792547303865,0.832754354289734,0.5401649520239745,0.6074367918654641
tt10005184,128.11111111111111,168.8131409079574,1056263.439652535,2578889.373085464,0.09973185055368892,0.17080273013066433,5180.699115383695,2028.1505587613974,0.018064172463495645,0.0518712145607297,0.0009016234577295823,0.0003570687466304832,0.13210782232216772,0.4233950505773495,0.33675828928717083,0.26440814042838867
tt10017502,31.970588235294123,14.597512467616339,3220427.9363187305,6070315.314554977,0.2683491626613395,0.3252183696876087,3663.7550480056293,2106.268326334429,0.00450797916459308,0.004485377721118878,0.002748948096005103,0.0008404857934742212,0.3554634081725203,0.8061688942397508,0.23815316328059596,0.2745922826111152
tt10043732,41.670731707317074,28.350616149388536,5971662.823106107,17101600.83285153,0.31592309889581943,0.33043643883629714,4184.885639883502,3340.76894051458,0.005875737691387066,0.008711293950840186,0.005097394343910354,0.0023678592957460517,0.4184812814029729,0.8191037264256,0.2720279440210725,0.43553300288605334
tt10048096,28.48,27.72885861336525,11678228.086752085,22263503.22996316,0.2964252601856748,0.31429400334713725,4229.213104438426,2424.4736619376613,0.004015792442188381,0.00852024650996946,0.009968502167599255,0.0030825677428789854,0.3926538551827061,0.7790889837739694,0.27490933913773297,0.31607642228594507
tt10059624,69.64285714285714,93.3403963556869,31720023.728180297,40676136.5176146,0.290058813022098,0.28828806803563617,7731.5612618379,2196.564903677925,0.009819917814841672,0.028680704005082366,0.027076121731974667,0.005631950418539239,0.38422066692800205,0.7146240639913581,0.5025706542817933,0.2863641651270871
tt10077620,50.43589743589744,49.14332511828832,30357812.959164944,64114598.02058001,0.3501840260471298,0.2977930994863327,6235.588053172121,3338.317183572193,0.007111660664960158,0.015100269728576986,0.025913342507011508,0.008877200935740596,0.4638643405918874,0.7381856503238968,0.40532868609379585,0.4352133695673539
tt10116528,132.35714285714286,99.4532245709058,2780284.691670873,4707617.573627054,0.2041477224019584,0.19442820906642425,3903.8223714004384,2354.606719077968,0.01866287970348884,0.03055899275807337,0.002373243078451657,0.0006518089237071521,0.2704202407638527,0.48195916627542956,0.2537581346058219,0.30696793260348787
tt10160782,26.62903225806452,14.973346072667349,2243784.000355879,3978417.2039359314,0.2236024705030461,0.24535867921597865,1643.5244026477815,1164.242535836768,0.003754798682750214,0.0046008601146214235,0.001915287619407406,0.0005508450495815344,0.2961905878615178,0.6082083718261986,0.10683316168543691,0.15178123861584916
tt10178206,100.26666666666668,76.16280807148155,157144.88512865934,580153.1773766062,0.05641373666065714,0.07546037068076808,1368.821693054663,1850.536791534539,0.01413799586388419,0.023402546376277224,0.0001341384254867595,8.032704700772447e-05,0.07472733994125198,0.18705525044317436,0.08897680437056557,0.24125279542500067
