Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_norm,A_std_norm,B_avg_norm,B_std_norm,C_avg_norm,C_std_norm,D_avg_norm,D_std_norm
tt0328810,74.32432432432432,77.63255588122531,7429596.013007359,6754839.757017302,0.3364244009408313,0.33594326869652436,8309.913009225189,4659.362101477487,0.007297926846394864,0.023854155792341278,0.006341881954169685,0.0009347294082575669,0.44563792547303865,0.8327543542897339,0.5334507958042486,0.4837337847672142
tt10005184,128.11111111111111,168.8131409079574,1056263.439652535,2578889.3730854634,0.09973185055368892,0.17080273013066433,5180.699115383694,2028.1505587613979,0.0149064652313457,0.0518712145607297,0.000901623457729582,0.0003568646813807353,0.13210782232216772,0.4233950505773495,0.3270741460780687,0.2105620736272651
tt10017502,31.970588235294116,14.59751246761634,3220427.9363187305,6070315.314554977,0.2683491626613395,0.3252183696876087,3663.755048005629,2106.268326334429,0.0013066779536718733,0.004485377721118878,0.002748948096005102,0.0008400054547580123,0.3554634081725203,0.8061688942397508,0.2270292641786189,0.2186722403287724
tt10043732,41.670731707317074,28.350616149388543,5971662.823106106,17101600.83285153,0.31592309889581943,0.33043643883629714,4184.885639883502,3340.7689405145798,0.002678834915547639,0.008711293950840186,0.005097394343910352,0.0023665060611011437,0.4184812814029729,0.8191037264256001,0.2613986583044857,0.34683777917054903
tt10048096,28.48,27.728858613365247,11678228.086752083,22263503.22996316,0.2964252601856748,0.31429400334713725,4229.213104438425,2424.4736619376613,0.0008129084582087723,0.008520246509969458,0.009968502167599251,0.003080806051433707,0.3926538551827061,0.7790889837739695,0.2643221253272115,0.2517082370965838
tt10059624,69.64285714285714,93.34039635568692,31720023.728180308,40676136.51761461,0.29005881302209796,0.28828806803563617,7731.561261837905,2196.5649036779246,0.006635698725401571,0.02868070400508237,0.02707612173197467,0.0056287317516030486,0.384220666928002,0.7146240639913581,0.495307575162165,0.22804680795382215
tt10077620,50.43589743589744,49.143325118288324,30357812.959164936,64114598.02058002,0.3501840260471298,0.2977930994863327,6235.588053172122,3338.317183572193,0.003918732367699258,0.015100269728576988,0.025913342507011494,0.008872127603943548,0.46386434059188736,0.7381856503238968,0.3966457548589326,0.3465832383902362
tt10116528,132.35714285714286,99.4532245709058,2780284.6916708727,4707617.573627054,0.2041477224019584,0.19442820906642425,3903.8223714004394,2354.606719077968,0.01550709779286058,0.030558992758073368,0.0023732430784516563,0.0006514364140656353,0.2704202407638527,0.48195916627542956,0.2428620872427306,0.24445466891202114
tt10160782,26.629032258064516,14.973346072667345,2243784.000355879,3978417.2039359314,0.2236024705030461,0.24535867921597865,1643.524402647781,1164.242535836768,0.0005510753955711364,0.004600860114621423,0.0019152876194074055,0.0005505302409244454,0.2961905878615178,0.6082083718261986,0.09379182934437688,0.12087136307107638
tt10178206,100.26666666666667,76.16280807148154,157144.88512865937,580153.1773766062,0.05641373666065713,0.07546037068076807,1368.821693054663,1850.5367915345382,0.010967662841030188,0.02340254637627722,0.0001341384254867595,8.028113999664097e-05,0.07472733994125198,0.18705525044317434,0.07567474729124347,0.19212225762323157
